Black	black	Black
Lives	live	Lives
Matter	matter	Matter
,	,	,
the	the	the
group	group	group
that	that	that
many	mani	many
believe	believ	believe
is	is	is
a	a	a
hate	hate	hate
group	group	group
or	or	or
domestic	domest	domestic
terror	terror	terror
group	group	group
has	has	ha
inspired	inspir	inspired
a	a	a
wave	wave	wave
of	of	of
professional	profession	professional
athletes	athlet	athlete
to	to	to
join	join	join
in	in	in
the	the	the
disrespect	disrespect	disrespect
our	our	our
flag	flag	flag
by	by	by
taking	take	taking
a	a	a
knee	knee	knee
during	dure	during
our	our	our
national	nation	national
anthem	anthem	anthem
.	.	.
Unbelievably	unbeliev	Unbelievably
,	,	,
this	this	this
cop	cop	cop
-hating	-hate	-hating
group	group	group
has	has	ha
now	now	now
found	found	found
an	an	an
unlikely	unlik	unlikely
ally	alli	ally
in	in	in
their	their	their
fight	fight	fight
against	against	against
cops	cop	cop
,	,	,
Cleveland	cleveland	Cleveland
,	,	,
OH	oh	OH
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
.	.	.
How	how	How
politically	polit	politically
correct	correct	correct
Colin	colin	Colin
Kaepernick	kaepernick	Kaepernick
,	,	,
the	the	the
former	former	former
San	san	San
Francisco	francisco	Francisco
quarterback	quarterback	quarterback
,	,	,
became	becam	became
the	the	the
poster	poster	poster
child	child	child
for	for	for
cop	cop	cop
hate	hate	hate
when	when	when
he	he	he
refused	refus	refused
to	to	to
stand	stand	stand
for	for	for
our	our	our
national	nation	national
anthem	anthem	anthem
prior	prior	prior
to	to	to
the	the	the
start	start	start
of	of	of
the	the	the
NFL	nfl	NFL
games	game	game
.	.	.
Kaepernick	kaepernick	Kaepernick
used	use	used
his	his	his
display	display	display
of	of	of
disrespect	disrespect	disrespect
for	for	for
our	our	our
flag	flag	flag
to	to	to
show	show	show
his	his	his
disrespect	disrespect	disrespect
for	for	for
our	our	our
law	law	law
enforcement	enforc	enforcement
.	.	.
Kaepernick	kaepernick	Kaepernick
was	was	wa
not	not	not
resigned	resign	resigned
by	by	by
SF	sf	SF
and	and	and
did	did	did
not	not	not
receive	receiv	receive
another	anoth	another
offer	offer	offer
to	to	to
play	play	play
in	in	in
the	the	the
NFL	nfl	NFL
.	.	.
He	he	He
is	is	is
now	now	now
the	the	the
center	center	center
of	of	of
a	a	a
huge	huge	huge
controversy	controversi	controversy
,	,	,
as	as	a
the	the	the
NAACP	naacp	NAACP
has	has	ha
joined	join	joined
forces	forc	force
with	with	with
BLM	blm	BLM
to	to	to
demand	demand	demand
that	that	that
an	an	an
NFL	nfl	NFL
owner	owner	owner
pick	pick	pick
up	up	up
the	the	the
lackluster	lacklust	lackluster
and	and	and
controversial	controversi	controversial
QB	qb	QB
.	.	.
The	the	The
Cleveland	cleveland	Cleveland
Brown	brown	Brown
players	player	player
have	have	have
been	been	been
known	known	known
to	to	to
display	display	display
their	their	their
over	over	over
-the-top	-the-top	-the-top
hate	hate	hate
for	for	for
law	law	law
enforcement	enforc	enforcement
before	befor	before
.	.	.
After	after	After
Beyonce	beyonc	Beyonce
s	s	s
racist	racist	racist
halftime	halftim	halftime
Super	super	Super
Bowl	bowl	Bowl
2016	2016	2016
show	show	show
,	,	,
Cleveland	cleveland	Cleveland
Browns	brown	Browns
running	run	running
back	back	back
Isaiah	isaiah	Isaiah
Crowell	crowel	Crowell
posted	post	posted
this	this	this
disgusting	disgust	disgusting
image	imag	image
on	on	on
his	his	his
Instagram	instagram	Instagram
account	account	account
Crowell	crowel	Crowell
apologized	apolog	apologized
for	for	for
posting	post	posting
the	the	the
ISIS	isi	ISIS
-like	-like	-like
image	imag	image
of	of	of
a	a	a
police	polic	police
officer	offic	officer
being	be	being
decapitated	decapit	decapitated
,	,	,
and	and	and
all	all	all
was	was	wa
forgiven	forgiven	forgiven
Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
Cleveland	cleveland	Cleveland
Browns	brown	Browns
have	have	have
decided	decid	decided
to	to	to
turn	turn	turn
up	up	up
the	the	the
disrespect	disrespect	disrespect
for	for	for
our	our	our
flag	flag	flag
a	a	a
notch	notch	notch
.	.	.
Several	sever	Several
players	player	player
are	are	are
now	now	now
taking	take	taking
a	a	a
knee	knee	knee
while	while	while
the	the	the
rest	rest	rest
of	of	of
the	the	the
fans	fan	fan
and	and	and
players	player	player
stand	stand	stand
to	to	to
honor	honor	honor
our	our	our
flag	flag	flag
and	and	and
