21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
Over	over	Over
the	the	the
past	past	past
month	month	month
,	,	,
more	more	more
than	than	than
12	12	12
million	million	million
declassified	declassifi	declassified
documents	document	document
from	from	from
the	the	the
CIA	cia	CIA
have	have	have
been	been	been
reportedly	report	reportedly
published	publish	published
online	onlin	online
.	.	.
While	while	While
the	the	the
intelligence	intellig	intelligence
docu	docu	docu
-dump	-dump	-dump
supposedly	suppos	supposedly
sheds	shed	shed
additional	addit	additional
light	light	light
on	on	on
covert	covert	covert
war	war	war
programs	program	program
,	,	,
psychic	psychic	psychic
research	research	research
and	and	and
the	the	the
Cold	cold	Cold
War	war	War
era	era	era
,	,	,
it	it	it
also	also	also
contains	contain	contains
more	more	more
evidence	evid	evidence
confirming	confirm	confirming
the	the	the
symbiotic	symbiot	symbiotic
relationship	relationship	relationship
between	between	between
the	the	the
CIA	cia	CIA
and	and	and
American	american	American
media	media	medium
.	.	.
In	in	In
late	late	late
January	januari	January
the	the	the
UK	uk	UK
s	s	s
Guardian	guardian	Guardian
reported	report	reported
that	that	that
the	the	the
CIA	cia	CIA
themselves	themselv	themselves
released	releas	released
millions	million	million
of	of	of
documents	document	document
online	onlin	online
The	the	The
CIA	cia	CIA
has	has	ha
published	publish	published
more	more	more
than	than	than
12	12	12
million	million	million
pages	page	page
of	of	of
declassified	declassifi	declassified
documents	document	document
online	onlin	online
,	,	,
making	make	making
decades	decad	decade
of	of	of
US	us	US
intelligence	intellig	intelligence
files	file	file
more	more	more
easily	easili	easily
accessible	access	accessible
and	and	and
searchable	searchabl	searchable
.	.	.
The	the	The
agency	agenc	agency
published	publish	published
the	the	the
roughly	rough	roughly
930	930	930
,	,	,
000	000	000
documents	document	document
that	that	that
make	make	make
up	up	up
the	the	the
CIA	cia	CIA
Records	record	Records
Search	search	Search
Tool	tool	Tool
Crest	crest	Crest
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
online	onlin	online
publication	public	publication
of	of	of
the	the	the
files	file	file
was	was	wa
first	first	first
reported	report	reported
by	by	by
BuzzFeed	buzzfe	BuzzFeed
News	news	News
.	.	.
Although	although	Although
all	all	all
of	of	of
the	the	the
documents	document	document
in	in	in
Crest	crest	Crest
were	were	were
part	part	part
of	of	of
the	the	the
public	public	public
record	record	record
before	befor	before
Tuesday	tuesday	Tuesday
,	,	,
they	they	they
could	could	could
only	onli	only
be	be	be
inspected	inspect	inspected
by	by	by
visiting	visit	visiting
the	the	the
National	nation	National
Archives	archiv	Archives
in	in	in
Maryland	maryland	Maryland
in	in	in
person	person	person
.	.	.
Once	onc	Once
at	at	at
the	the	the
archives	archiv	archive
,	,	,
just	just	just
four	four	four
computers	comput	computer
available	avail	available
only	onli	only
during	dure	during
business	busi	business
hours	hour	hour
provided	provid	provided
access	access	access
to	to	to
Crest	crest	Crest
.	.	.
A	a	A
lawsuit	lawsuit	lawsuit
from	from	from
the	the	the
open	open	open
-government	-govern	-government
nonprofit	nonprofit	nonprofit
MuckRock	muckrock	MuckRock
prompted	prompt	prompted
the	the	the
CIA	cia	CIA
to	to	to
make	make	make
the	the	the
documents	document	document
available	avail	available
online	onlin	online
.	.	.
Further	further	Further
pressure	pressur	pressure
to	to	to
publish	publish	publish
the	the	the
documents	document	document
came	came	came
from	from	from
the	the	the
transparency	transpar	transparency
advocate	advoc	advocate
and	and	and
journalist	journalist	journalist
Michael	michael	Michael
Best	best	Best
,	,	,
who	who	who
began	began	began
steadily	steadili	steadily
scanning	scan	scanning
and	and	and
uploading	upload	uploading
the	the	the
documents	document	document
one	one	one
by	by	by
one	one	one
.	.	.
Continuing	continu	Continuing
,	,	,
the	the	the
Guardian	guardian	Guardian
reported	report	reported
that	that	that
the	the	the
CIA	cia	CIA
also	also	also
kept	kept	kept
files	file	file
and	and	and
documents	document	document
on	on	on
media	media	medium
organizations	organ	organization
and	and	and
individual	individu	individual
reporters	report	reporter
.	.	.
In	in	In
2014	2014	2014
,	,	,
Best	best	Best
from	from	from
MuckRock	muckrock	MuckRock
,	,	,
filed	file	filed
a	a	a
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
FOIA	foia	FOIA
lawsuit	lawsuit	lawsuit
in	in	in
order	order	order
to	to	to
get	get	get
the	the	the
CIA	cia	CIA
to	to	to
post	post	post
all	all	all
of	of	of
its	it	it
documents	document	document
online	onlin	online
.	.	.
Along	along	Along
the	the	the
way	way	way
,	,	,
Best	best	Best
reportedly	report	reportedly
crowd	crowd	crowd
-funded	-fund	-funded
more	more	more
than	than	than
15000	15000	15000
to	to	to
print	print	print
out	out	out
and	and	and
then	then	then
publicly	public	publicly
upload	upload	upload
the	the	the
records	record	record
,	,	,
one	one	one
by	by	by
one	one	one
,	,	,
to	to	to
apply	appli	apply
pressure	pressur	pressure
to	to	to
the	the	the
CIA	cia	CIA
.	.	.
Although	although	Although
some	some	some
mainstream	mainstream	mainstream
outlets	outlet	outlet
have	have	have
been	been	been
somewhat	somewhat	somewhat
congratulatory	congratulatori	congratulatory
of	of	of
the	the	the
CIA	cia	CIA
,	,	,
many	mani	many
of	of	of
the	the	the
files	file	file
released	releas	released
remain	remain	remain
heavily	heavili	heavily
redacted	redact	redacted
.	.	.
In	in	In
the	the	the
early	earli	early
1950	1950	1950
s	s	s
,	,	,
the	the	the
CIA	cia	CIA
ran	ran	ran
a	a	a
wide	wide	wide
-scale	-scale	-scale
program	program	program
called	call	called
Operation	oper	Operation
Mockingbird	mockingbird	Mockingbird
that	that	that
was	was	wa
said	said	said
to	to	to
have	have	have
infiltrated	infiltr	infiltrated
the	the	the
American	american	American
news	news	news
media	media	medium
in	in	in
particular	particular	particular
,	,	,
which	which	which
propagandized	propagand	propagandized
the	the	the
public	public	public
through	through	through
various	various	various
front	front	front
organizations	organ	organization
,	,	,
magazines	magazin	magazine
and	and	and
cultural	cultur	cultural
groups	group	group
.	.	.
THE	the	THE
COMPANY	compani	COMPANY
The	the	The
Central	central	Central
Intelligence	intellig	Intelligence
Agency	agenc	Agency
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Image	imag	Image
Source	sourc	Source
zerohedge	zerohedg	zerohedge
.	.	.
com	com	com
In	in	In
recent	recent	recent
years	year	year
,	,	,
there	there	there
has	has	ha
been	been	been
a	a	a
series	seri	series
of	of	of
surreal	surreal	surreal
and	and	and
unreal	unreal	unreal
news	news	news
stories	stori	story
since	sinc	since
the	the	the
Smith	smith	Smith
-Mundt	-mundt	-Mundt
Act	act	Act
was	was	wa
effectively	effect	effectively
rendered	render	rendered
obsolete	obsolet	obsolete
by	by	by
US	us	US
lawmakers	lawmak	lawmaker
on	on	on
July	juli	July
2nd	2nd	2nd
2013	2013	2013
,	,	,
as	as	a
published	publish	published
by	by	by
RT	rt	RT
below	below	below
Until	until	Until
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
a	a	a
longstanding	longstand	longstanding
federal	feder	federal
law	law	law
made	made	made
it	it	it
illegal	illeg	illegal
for	for	for
the	the	the
US	us	US
Department	depart	Department
of	of	of
State	state	State
to	to	to
share	share	share
domestically	domest	domestically
the	the	the
internally	intern	internally
-authored	-author	-authored
news	news	news
stories	stori	story
sent	sent	sent
to	to	to
American	american	American
-operated	-oper	-operated
outlets	outlet	outlet
broadcasting	broadcast	broadcasting
around	around	around
the	the	the
globe	globe	globe
.	.	.
All	all	All
of	of	of
that	that	that
changed	chang	changed
effective	effect	effective
July	juli	July
2	2	2
,	,	,
when	when	when
the	the	the
Broadcasting	broadcast	Broadcasting
Board	board	Board
of	of	of
Governors	governor	Governors
BBG	bbg	BBG
was	was	wa
given	given	given
permission	permiss	permission
to	to	to
let	let	let
US	us	US
households	household	household
tune	tune	tune
-in	-in	-in
to	to	to
hear	hear	hear
the	the	the
type	type	type
of	of	of
programming	program	programming
that	that	that
has	has	ha
previously	previous	previously
only	onli	only
been	been	been
allowed	allow	allowed
in	in	in
outside	outsid	outside
nations	nation	nation
.	.	.
The	the	The
Smith	smith	Smith
-Mundt	-mundt	-Mundt
Act	act	Act
has	has	ha
ensured	ensur	ensured
for	for	for
decades	decad	decade
that	that	that
government	govern	government
-made	-made	-made
media	media	medium
intended	intend	intended
for	for	for
foreign	foreign	foreign
audiences	audienc	audience
doesn	doesn	doesn
t	t	t
end	end	end
up	up	up
on	on	on
radio	radio	radio
networks	network	network
broadcast	broadcast	broadcast
within	within	within
the	the	the
US	us	US
.	.	.
An	an	An
amendment	amend	amendment
tagged	tag	tagged
onto	onto	onto
the	the	the
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
removed	remov	removed
that	that	that
prohibition	prohibit	prohibition
this	this	this
year	year	year
.	.	.
More	more	More
from	from	from
Washington	washington	Washington
s	s	s
Blog	blog	Blog
below	below	below
Photo	photo	Photo
Illustration	illustr	Illustration
21WIRE	21wire	21WIRE
s	s	s
Shawn	shawn	Shawn
Helton	helton	Helton
Washington	washington	Washington
s	s	s
BlogNewly	blognewli	BlogNewly
-declassified	-declassifi	-declassified
documents	document	document
show	show	show
that	that	that
a	a	a
senior	senior	senior
CIA	cia	CIA
agent	agent	agent
and	and	and
Deputy	deputi	Deputy
Director	director	Director
of	of	of
the	the	the
Directorate	director	Directorate
of	of	of
Intelligence	intellig	Intelligence
worked	work	worked
closely	close	closely
with	with	with
the	the	the
owners	owner	owner
and	and	and
journalists	journalist	journalist
of	of	of
many	mani	many
of	of	of
the	the	the
largest	largest	largest
media	media	medium
outlets	outlet	outlet
The	the	The
United	unit	United
States	state	States
Senate	senat	Senate
Select	select	Select
Committee	committe	Committee
to	to	to
Study	studi	Study
Governmental	government	Governmental
Operations	oper	Operations
with	with	with
Respect	respect	Respect
to	to	to
Intelligence	intellig	Intelligence
Activities	activ	Activities
found	found	found
in	in	in
1975	1975	1975
that	that	that
the	the	the
CIA	cia	CIA
submitted	submit	submitted
stories	stori	story
to	to	to
the	the	the
American	american	American
press	press	press
Wikipedia	wikipedia	Wikipedia
adds	add	add
details	detail	detail
After	after	After
1953	1953	1953
,	,	,
the	the	the
network	network	network
was	was	wa
overseen	overseen	overseen
by	by	by
Allen	allen	Allen
W	w	W
.	.	.
Dulles	dull	Dulles
,	,	,
director	director	director
of	of	of
the	the	the
CIA	cia	CIA
.	.	.
By	by	By
this	this	this
time	time	time
,	,	,
Operation	oper	Operation
Mockingbird	mockingbird	Mockingbird
had	had	had
a	a	a
major	major	major
influence	influenc	influence
over	over	over
25	25	25
newspapers	newspap	newspaper
and	and	and
wire	wire	wire
agencies	agenc	agency
.	.	.
The	the	The
usual	usual	usual
methodology	methodolog	methodology
was	was	wa
placing	place	placing
reports	report	report
developed	develop	developed
from	from	from
intelligence	intellig	intelligence
provided	provid	provided
by	by	by
the	the	the
CIA	cia	CIA
to	to	to
witting	wit	witting
or	or	or
unwitting	unwit	unwitting
reporters	report	reporter
.	.	.
Those	those	Those
reports	report	report
would	would	would
then	then	then
be	be	be
repeated	repeat	repeated
or	or	or
cited	cite	cited
by	by	by
the	the	the
preceding	preced	preceding
reporters	report	reporter
which	which	which
in	in	in
turn	turn	turn
would	would	would
then	then	then
be	be	be
cited	cite	cited
throughout	throughout	throughout
the	the	the
media	media	medium
wire	wire	wire
services	servic	service
.	.	.
The	the	The
Office	offic	Office
of	of	of
Policy	polici	Policy
Coordination	coordin	Coordination
OPC	opc	OPC
was	was	wa
funded	fund	funded
by	by	by
siphoning	siphon	siphoning
off	off	off
funds	fund	fund
intended	intend	intended
for	for	for
the	the	the
Marshall	marshal	Marshall
Plan	plan	Plan
i	i	i
.	.	.
e	e	e
.	.	.
the	the	the
rebuilding	rebuild	rebuilding
of	of	of
