One	one	One
-third	-third	-third
of	of	of
precincts	precinct	precinct
in	in	in
Wayne	wayn	Wayne
County	counti	County
could	could	could
be	be	be
disqualified	disqualifi	disqualified
from	from	from
an	an	an
unprecedented	unpreced	unprecedented
statewide	statewid	statewide
recount	recount	recount
of	of	of
presidential	presidenti	presidential
election	elect	election
results	result	result
because	becaus	because
of	of	of
problems	problem	problem
with	with	with
ballots	ballot	ballot
.	.	.
Michigan	michigan	Michigan
s	s	s
largest	largest	largest
county	counti	county
voted	vote	voted
overwhelmingly	overwhelm	overwhelmingly
for	for	for
Democratic	democrat	Democratic
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
but	but	but
officials	offici	official
couldn	couldn	couldn
t	t	t
reconcile	reconcil	reconcile
vote	vote	vote
totals	total	total
for	for	for
610	610	610
of	of	of
1	1	1
,	,	,
680	680	680
precincts	precinct	precinct
during	dure	during
a	a	a
countywide	countywid	countywide
canvass	canvass	canvas
of	of	of
vote	vote	vote
results	result	result
late	late	late
last	last	last
month	month	month
.	.	.
Most	most	Most
of	of	of
those	those	those
are	are	are
in	in	in
heavily	heavili	heavily
Democratic	democrat	Democratic
Detroit	detroit	Detroit
,	,	,
where	where	where
the	the	the
number	number	number
of	of	of
ballots	ballot	ballot
in	in	in
precinct	precinct	precinct
poll	poll	poll
books	book	book
did	did	did
not	not	not
match	match	match
those	those	those
of	of	of
voting	vote	voting
machine	machin	machine
printout	printout	printout
reports	report	report
in	in	in
59	59	59
percent	percent	percent
of	of	of
precincts	precinct	precinct
,	,	,
392	392	392
of	of	of
662	662	662
.	.	.
According	accord	According
to	to	to
state	state	state
law	law	law
,	,	,
precincts	precinct	precinct
whose	whose	whose
poll	poll	poll
books	book	book
don	don	don
t	t	t
match	match	match
with	with	with
ballots	ballot	ballot
can	can	can
t	t	t
be	be	be
recounted	recount	recounted
.	.	.
If	if	If
that	that	that
happens	happen	happens
,	,	,
original	origin	original
election	elect	election
results	result	result
stand	stand	stand
.	.	.
