More	more	More
proof	proof	proof
that	that	that
Donald	donald	Donald
Trump	trump	Trump
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
is	is	is
helping	help	helping
the	the	the
fascist	fascist	fascist
arm	arm	arm
of	of	of
the	the	the
right	right	right
-wing	-wing	-wing
has	has	ha
just	just	just
come	come	come
in	in	in
.	.	.
During	dure	During
the	the	the
July	juli	July
broadcast	broadcast	broadcast
of	of	of
his	his	his
radio	radio	radio
program	program	program
,	,	,
Rocky	rocki	Rocky
Suhayda	suhayda	Suhayda
,	,	,
the	the	the
chairman	chairman	chairman
of	of	of
the	the	the
American	american	American
Nazi	nazi	Nazi
Party	parti	Party
declared	declar	declared
that	that	that
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
is	is	is
a	a	a
real	real	real
opportunity	opportun	opportunity
for	for	for
people	peopl	people
like	like	like
white	white	white
nationalists	nationalist	nationalist
.	.	.
Not	not	Not
only	onli	only
does	doe	doe
Suhayda	suhayda	Suhayda
think	think	think
that	that	that
Trump	trump	Trump
presents	present	present
an	an	an
opportunity	opportun	opportunity
to	to	to
build	build	build
new	new	new
,	,	,
politically	polit	politically
active	activ	active
white	white	white
nationalist	nationalist	nationalist
coalitions	coalit	coalition
,	,	,
he	he	he
also	also	also
believes	believ	belief
that	that	that
Trump	trump	Trump
will	will	will
win	win	win
the	the	the
election	elect	election
in	in	in
November	novemb	November
for	for	for
various	various	various
reasons	reason	reason
.	.	.
Suhayda	suhayda	Suhayda
believes	believ	belief
that	that	that
the	the	the
enemy	enemi	enemy
is	is	is
in	in	in
for	for	for
a	a	a
real	real	real
surprise	surpris	surprise
I	i	I
m	m	m
gonna	gonna	gonna
project	project	project
,	,	,
that	that	that
I	i	I
believe	believ	believe
that	that	that
Trump	trump	Trump
is	is	is
going	go	going
to	to	to
win	win	win
the	the	the
election	elect	election
this	this	this
November	novemb	November
,	,	,
for	for	for
various	various	various
reasons	reason	reason
which	which	which
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
go	go	go
into	into	into
again	again	again
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
gonna	gonna	gonna
surprise	surpris	surprise
the	the	the
enemy	enemi	enemy
,	,	,
because	becaus	because
,	,	,
I	i	I
think	think	think
that	that	that
they	they	they
feel	feel	feel
that	that	that
the	the	the
white	white	white
working	work	working
class	class	class
,	,	,
especially	especi	especially
the	the	the
male	male	male
