During	dure	During
a	a	a
segment	segment	segment
of	of	of
HBO	hbo	HBO
s	s	s
Real	real	Real
Time	time	Time
with	with	with
Bill	bill	Bill
Maher	maher	Maher
,	,	,
Prophets	prophet	Prophets
of	of	of
Rage	rage	Rage
guitarist	guitarist	guitarist
Tom	tom	Tom
Morello	morello	Morello
sat	sat	sat
down	down	down
with	with	with
the	the	the
show	show	show
s	s	s
host	host	host
Bill	bill	Bill
Maher	maher	Maher
where	where	where
they	they	they
discussed	discuss	discussed
the	the	the
legacy	legaci	legacy
of	of	of
Muhammed	muham	Muhammed
Ali	ali	Ali
.	.	.
Maher	maher	Maher
described	describ	described
the	the	the
influence	influenc	influence
that	that	that
the	the	the
late	late	late
boxing	box	boxing
champion	champion	champion
had	had	had
on	on	on
himself	himself	himself
and	and	and
the	the	the
world	world	world
,	,	,
saying	say	saying
He	he	He
invented	invent	invented
hip	hip	hip
-hop	-hop	-hop
.	.	.

It	it	It
was	was	wa
completely	complet	completely
revolutionary	revolutionari	revolutionary
.	.	.

For	for	For
everyone	everyon	everyone
who	who	who
is	is	is
younger	younger	younger
,	,	,
who	who	who
grew	grew	grew
up	up	up
in	in	in
a	a	a
world	world	world
of	of	of
hip	hip	hip
-hop	-hop	-hop
,	,	,
where	where	where
braggadocio	braggadocio	braggadocio
is	is	is
a	a	a
big	big	big
part	part	part
of	of	of
life	life	life
.	.	.

You	you	You
know	know	know
I	i	I
used	use	used
to	to	to
say	say	say
,	,	,
rap	rap	rap
is	is	is
affirmative	affirm	affirmative
action	action	action
for	for	for
the	the	the
ego	ego	ego
.	.	.

Morello	morello	Morello
agreed	agre	agreed
with	with	with
Maher	maher	Maher
,	,	,
saying	say	saying
that	that	that
Ali	ali	Ali
had	had	had
influenced	influenc	influenced
himself	himself	himself
,	,	,
saying	say	saying
that	that	that
he	he	he
was	was	wa
particularly	particular	particularly
attracted	attract	attracted
to	to	to
Ali	ali	Ali
because	becaus	because
of	of	of
how	how	how
unapologetic	unapologet	unapologetic
his	his	his
attitude	attitud	attitude
was	was	wa
.	.	.

Morello	morello	Morello
also	also	also
went	went	went
on	on	on
to	to	to
comment	comment	comment
on	on	on
how	how	how
Ali	ali	Ali
s	s	s
legacy	legaci	legacy
is	is	is
now	now	now
being	be	being
whitewashed	whitewash	whitewashed
.	.	.

I	i	I
was	was	wa
attracted	attract	attracted
to	to	to
Muhammad	muhammad	Muhammad
Ali	ali	Ali
by	by	by
how	how	how
he	he	he
used	use	used
his	his	his
vocation	vocat	vocation
to	to	to
inflict	inflict	inflict
his	his	his
worldview	worldview	worldview
on	on	on
the	the	the
public	public	public
,	,	,
and	and	and
it	it	it
was	was	wa
unapologetic	unapologet	unapologetic
.	.	.

In	in	In
the	the	the
same	same	same
way	way	way
with	with	with
Nelson	nelson	Nelson
Mandela	mandela	Mandela
,	,	,
there	there	there
s	s	s
been	been	been
a	a	a
sort	sort	sort
of	of	of
a	a	a
whitewash	whitewash	whitewash
of	of	of
who	who	who
Muhammad	muhammad	Muhammad
Ali	ali	Ali
was	was	wa
.	.	.

He	he	He
was	was	wa
a	a	a
person	person	person
who	who	who
said	said	said
,	,	,
You	you	You
might	might	might
not	not	not
like	like	like
my	my	my
religion	religion	religion
,	,	,
but	but	but
it	it	it
s	s	s
my	my	my
religion	religion	religion
.	.	.

You	you	You
might	might	might
not	not	not
like	like	like
the	the	the
color	color	color
of	of	of
my	my	my
skin	skin	skin
,	,	,
or	or	or
my	my	my
opinions	opinion	opinion
,	,	,
but	but	but
I	i	I
am	am	am
just	just	just
as	as	a
American	american	American
as	as	a
you	you	you
are	are	are
.	.	.

And	and	And
the	the	the
powers	power	power
that	that	that
be	be	be
can	can	can
shove	shove	shove
it	it	it
,	,	,
because	becaus	because
I	i	I
m	m	m
the	the	the
champion	champion	champion
of	of	of
the	the	the
world	world	world
and	and	and
I	i	I
m	m	m
the	the	the
peoples	peopl	people
champion	champion	champion
.	.	.

And	and	And
that	that	that
s	s	s
thing	thing	thing
,	,	,
as	as	a
a	a	a
kid	kid	kid
,	,	,
that	that	that
made	made	made
me	me	me
think	think	think
,	,	,
in	in	in
my	my	my
vocation	vocat	vocation
,	,	,
I	i	I
can	can	can
express	express	express
my	my	my
opinion	opinion	opinion
in	in	in
a	a	a
way	way	way
that	that	that
is	is	is
unapologetic	unapologet	unapologetic
as	as	a
well	well	well
.	.	.

Morello	morello	Morello
was	was	wa
spot	spot	spot
on	on	on
with	with	with
his	his	his
statement	statement	statement
that	that	that
Ali	ali	Ali
s	s	s
legacy	legaci	legacy
is	is	is
being	be	being
whitewashed	whitewash	whitewashed
.	.	.

That	that	That
s	s	s
why	whi	why
a	a	a
hate	hate	hate
-mongerer	-monger	-mongerer
like	like	like
Donald	donald	Donald
Trump	trump	Trump
feels	feel	feel
comfortable	comfort	comfortable
tweeted	tweet	tweeted
out	out	out
platitudes	platitud	platitude
to	to	to
The	the	The
Greatest	greatest	Greatest
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
flies	fli	fly
in	in	in
the	the	the
face	face	face
of	of	of
everything	everyth	everything
that	that	that
Ali	ali	Ali
stood	stood	stood
for	for	for
.	.	.

Ali	ali	Ali
was	was	wa
so	so	so
much	much	much
against	against	against
Trump	trump	Trump
s	s	s
stance	stanc	stance
on	on	on
banning	ban	banning
Muslim	muslim	Muslim
s	s	s
from	from	from
entering	enter	entering
the	the	the
United	unit	United
States	state	States
,	,	,
that	that	that
he	he	he
wrote	wrote	wrote
a	a	a
public	public	public
letter	letter	letter
lambasting	lambast	lambasting
the	the	the
idea	idea	idea
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
below	below	below
Muhammad	muhammad	Muhammad
Ali	ali	Ali
invented	invent	invented
hip	hip	hip
-hop	-hop	-hop
.	.	.
@BillMaher	@billmah	@BillMaher
and	and	and
@TMorello	@tmorello	@TMorello
reflect	reflect	reflect
on	on	on
Ali's	ali	Ali's
revolutionary	revolutionari	revolutionary
and	and	and
unapologetic	unapologet	unapologetic
persona	persona	persona
https://t.co/qj1YJc1D71	https://t.co/qj1yjc1d71	https://t.co/qj1YJc1D71
Real	real	Real
Time	time	Time
@RealTimers	@realtim	@RealTimers
June	june	June
11	11	11
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot

