Joy	joy	Joy
Villa	villa	Villa
,	,	,
the	the	the
singer	singer	singer
who	who	who
became	becam	became
an	an	an
overnight	overnight	overnight
sensation	sensat	sensation
when	when	when
she	she	she
bravely	brave	bravely
wore	wore	wore
a	a	a
Make	make	Make
America	america	America
Great	great	Great
Again	again	Again
pro	pro	pro
-Trump	-trump	-Trump
dress	dress	dress
to	to	to
the	the	the
Grammy	grammi	Grammy
s	s	s
designed	design	designed
by	by	by
Andre	andr	Andre
Soriano	soriano	Soriano
,	,	,
a	a	a
proud	proud	proud
Trump	trump	Trump
supporter	support	supporter
and	and	and
gay	gay	gay
legal	legal	legal
immigrant	immigr	immigrant
from	from	from
the	the	the
Philippines	philippin	Philippines
,	,	,
was	was	wa
the	the	the
headline	headlin	headline
speaker	speaker	speaker
at	at	at
a	a	a
March	march	March
4	4	4
Trump	trump	Trump
rally	ralli	rally
in	in	in
Wisconsin	wisconsin	Wisconsin
.	.	.

Villa	villa	Villa
thanked	thank	thanked
the	the	the
crowd	crowd	crowd
for	for	for
supporting	support	supporting
her	her	her
after	after	after
she	she	she
shocked	shock	shocked
the	the	the
nation	nation	nation
in	in	in
by	by	by
bravely	brave	bravely
showing	show	showing
her	her	her
support	support	support
for	for	for
Trump	trump	Trump
in	in	in
a	a	a
place	place	place
where	where	where
her	her	her
views	view	view
are	are	are
not	not	not
only	onli	only
shunned	shun	shunned
,	,	,
but	but	but
can	can	can
be	be	be
the	the	the
kiss	kiss	kiss
of	of	of
death	death	death
for	for	for
an	an	an
entertainer	entertain	entertainer
.	.	.

Villa	villa	Villa
then	then	then
went	went	went
on	on	on
to	to	to
make	make	make
a	a	a
powerful	power	powerful
speech	speech	speech
to	to	to
the	the	the
pro	pro	pro
-Trump	-trump	-Trump
attendees	attende	attendee
about	about	about
love	love	love
and	and	and
unity	uniti	unity
and	and	and
finally	final	finally
ended	end	ended
on	on	on
a	a	a
high	high	high
note	note	note
by	by	by
asking	ask	asking
everyone	everyon	everyone
to	to	to
join	join	join
her	her	her
in	in	in
singing	sing	singing
,	,	,
God	god	God
Bless	bless	Bless
America	america	America
.	.	.

Here	here	Here
s	s	s
a	a	a
short	short	short
excerpt	excerpt	excerpt
from	from	from
her	her	her
powerful	power	powerful
speech	speech	speech
Every	everi	Every
one	one	one
of	of	of
your	your	your
voices	voic	voice
are	are	are
not	not	not
being	be	being
heard	heard	heard
.	.	.

We	we	We
are	are	are
no	no	no
longer	longer	longer
the	the	the
silent	silent	silent
minority	minor	minority
.	.	.

We	we	We
re	re	re
not	not	not
gonna	gonna	gonna
be	be	be
silent	silent	silent
anymore	anymor	anymore
.	.	.

We	we	We
are	are	are
not	not	not
gonna	gonna	gonna
be	be	be
bullied	bulli	bullied
.	.	.

We	we	We
are	are	are
not	not	not
gonna	gonna	gonna
be	be	be
spit	spit	spit
on	on	on
.	.	.

We	we	We
re	re	re
not	not	not
gonna	gonna	gonna
be	be	be
told	told	told
we	we	we
can	can	can
t	t	t
support	support	support
our	our	our
president	presid	president
,	,	,
because	becaus	because
he	he	he
is	is	is
no	no	no
longer	longer	longer
campaigning	campaign	campaigning
.	.	.

He	he	He
is	is	is
elected	elect	elected
.	.	.

We	we	We
are	are	are
a	a	a
peaceful	peac	peaceful
protest	protest	protest
.	.	.

We	we	We
re	re	re
not	not	not
being	be	being
rude	rude	rude
.	.	.

We	we	We
re	re	re
not	not	not
hating	hate	hating
people	peopl	people
.	.	.

W	w	W
ere	ere	ere
not	not	not
hurting	hurt	hurting
anyone	anyon	anyone
.	.	.

We	we	We
re	re	re
just	just	just
joining	join	joining
together	togeth	together
.	.	.
being	be	being
beautiful	beauti	beautiful
and	and	and
being	be	being
unified	unifi	unified
.	.	.

And	and	And
that	that	that
s	s	s
what	what	what
this	this	this
country	countri	country
is	is	is
about	about	about
.	.	.

We	we	We
are	are	are
unified	unifi	unified
.	.	.

Immigrants	immigr	Immigrants
of	of	of
all	all	all
different	differ	different
nations	nation	nation
that	that	that
come	come	come
here	here	here
LEGALLY	legal	LEGALLY
,	,	,
because	becaus	because
they	they	they
respect	respect	respect
our	our	our
system	system	system
,	,	,
they	they	they
respect	respect	respect
our	our	our
president	presid	president
.	.	.

Yes	yes	Yes
,	,	,
we	we	we
love	love	love
immigrants	immigr	immigrant
.	.	.

The	the	The
country	countri	country
was	was	wa
built	built	built
on	on	on
immigration	immigr	immigration
LEGAL	legal	LEGAL
immigration	immigr	immigration
.	.	.

AMEN	amen	AMEN
!	!	!

And	and	And
ya	ya	ya
know	know	know
,	,	,
God	god	God
puts	put	put
America	america	America
first	first	first
,	,	,
because	becaus	because
we	we	we
put	put	put
God	god	God
first	first	first
.	.	.

We	we	We
ve	ve	ve
always	alway	always
put	put	put
God	god	God
first	first	first
and	and	and
that	that	that
s	s	s
why	whi	why
America	america	America
is	is	is
so	so	so
strong	strong	strong
.	.	.

Watch	watch	Watch

