Perhaps	perhap	Perhaps
Democrat	democrat	Democrat
Mayor	mayor	Mayor
Michael	michael	Michael
Nutter	nutter	Nutter
is	is	is
taking	take	taking
a	a	a
cue	cue	cue
from	from	from
the	the	the
reckless	reckless	reckless
DA	da	DA
in	in	in
Baltimore	baltimor	Baltimore
in	in	in
presuming	presum	presuming
guilt	guilt	guilt
of	of	of
the	the	the
engineer	engin	engineer
without	without	without
the	the	the
benefit	benefit	benefit
of	of	of
an	an	an
investigation	investig	investigation
.	.	.

The	the	The
Mayor	mayor	Mayor
basically	basic	basically
accused	accus	accused
the	the	the
engineer	engin	engineer
of	of	of
criminal	crimin	criminal
negligence	neglig	negligence
without	without	without
even	even	even
knowing	know	knowing
all	all	all
of	of	of
the	the	the
details	detail	detail
of	of	of
the	the	the
crash	crash	crash
.	.	.

From	from	From
Democrat	democrat	Democrat
Mayor	mayor	Mayor
Michael	michael	Michael
Nutter	nutter	Nutter
Clearly	clear	Clearly
it	it	it
was	was	wa
reckless	reckless	reckless
in	in	in
terms	term	term
of	of	of
the	the	the
driving	drive	driving
by	by	by
the	the	the
engineer	engin	engineer
.	.	.

There	there	There
s	s	s
no	no	no
way	way	way
in	in	in
the	the	the
world	world	world
that	that	that
he	he	he
should	should	should
have	have	have
been	been	been
going	go	going
that	that	that
fast	fast	fast
into	into	into
the	the	the
curve	curv	curve
.	.	.

Clearly	clear	Clearly
he	he	he
was	was	wa
reckless	reckless	reckless
and	and	and
irresponsible	irrespons	irresponsible
in	in	in
his	his	his
actions	action	action
.	.	.

There	there	There
s	s	s
really	realli	really
no	no	no
excuse	excus	excuse
that	that	that
can	can	can
be	be	be
offered	offer	offered
.	.	.

Listen	listen	Listen
to	to	to
the	the	the
Mayor	mayor	Mayor
s	s	s
unjustified	unjustifi	unjustified
,	,	,
irresponsible	irrespons	irresponsible
inflammatory	inflammatori	inflammatory
remarks	remark	remark
here	here	here
https://youtu.be/CBZxmmdp2Kg	https://youtu.be/cbzxmmdp2kg	https://youtu.be/CBZxmmdp2Kg
The	the	The
Amtrak	amtrak	Amtrak
train	train	train
that	that	that
derailed	derail	derailed
Tuesday	tuesday	Tuesday
,	,	,
killing	kill	killing
eight	eight	eight
people	peopl	people
and	and	and
injuring	injur	injuring
more	more	more
than	than	than
200	200	200
,	,	,
may	may	may
have	have	have
been	been	been
struck	struck	struck
by	by	by
an	an	an
object	object	object
before	befor	before
it	it	it
careened	careen	careened
off	off	off
the	the	the
tracks	track	track
,	,	,
an	an	an
assistant	assist	assistant
conductor	conductor	conductor
on	on	on
the	the	the
train	train	train
told	told	told
investigators	investig	investigator
from	from	from
the	the	the
National	nation	National
Transportation	transport	Transportation
Safety	safeti	Safety
Board	board	Board
.	.	.
At	at	At
a	a	a
news	news	news
conference	confer	conference
on	on	on
Friday	friday	Friday
,	,	,
Robert	robert	Robert
L	l	L
.	.	.

Sumwalt	sumwalt	Sumwalt
,	,	,
the	the	the
safety	safeti	safety
board	board	board
official	offici	official
who	who	who
is	is	is
leading	lead	leading
the	the	the
investigation	investig	investigation
,	,	,
said	said	said
an	an	an
assistant	assist	assistant
conductor	conductor	conductor
had	had	had
reported	report	reported
that	that	that
she	she	she
believed	believ	believed
she	she	she
heard	heard	heard
a	a	a
radio	radio	radio
transmission	transmiss	transmission
in	in	in
which	which	which
an	an	an
engineer	engin	engineer
on	on	on
a	a	a
regional	region	regional
line	line	line
said	said	said
his	his	his
train	train	train
had	had	had
been	been	been
struck	struck	struck
by	by	by
a	a	a
projectile	projectil	projectile
and	and	and
the	the	the
engineer	engin	engineer
on	on	on
the	the	the
Amtrak	amtrak	Amtrak
train	train	train
replied	repli	replied
that	that	that
his	his	his
had	had	had
been	been	been
struck	struck	struck
,	,	,
too	too	too
.	.	.
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
that	that	that
investigators	investig	investigator
had	had	had
found	found	found
a	a	a
fist	fist	fist
-size	-size	-size
circular	circular	circular
area	area	area
of	of	of
impact	impact	impact
on	on	on
the	the	the
left	left	left
side	side	side
of	of	of
the	the	the
Amtrak	amtrak	Amtrak
train	train	train
s	s	s
windshield	windshield	windshield
and	and	and
that	that	that
they	they	they
had	had	had
asked	ask	asked
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
to	to	to
analyze	analyz	analyze
it	it	it
.	.	.

He	he	He
said	said	said
that	that	that
the	the	the
F	f	F
.	.	.
B	b	B
.	.	.
I	i	I
.	.	.
had	had	had
been	been	been
called	call	called
in	in	in
because	becaus	because
it	it	it
has	has	ha
the	the	the
forensics	forens	forensics
expertise	expertis	expertise
needed	need	needed
for	for	for
the	the	the
investigation	investig	investigation
,	,	,
but	but	but
that	that	that
it	it	it
had	had	had
not	not	not
yet	yet	yet
begun	begun	begun
its	it	it
analysis	analysi	analysis
.	.	.
He	he	He
said	said	said
that	that	that
investigators	investig	investigator
had	had	had
also	also	also
interviewed	interview	interviewed
the	the	the
engineer	engin	engineer
and	and	and
found	found	found
him	him	him
extremely	extrem	extremely
cooperative	cooper	cooperative
,	,	,
and	and	and
that	that	that
the	the	the
engineer	engin	engineer
had	had	had
said	said	said
he	he	he
was	was	wa
not	not	not
fatigued	fatigu	fatigued
or	or	or
ill	ill	ill
at	at	at
the	the	the
time	time	time
of	of	of
the	the	the
accident	accid	accident
.	.	.

But	but	But
he	he	he
could	could	could
not	not	not
remember	rememb	remember
anything	anyth	anything
about	about	about
the	the	the
derailment	derail	derailment
.	.	.
Investigators	investig	Investigators
asked	ask	asked
the	the	the
engineer	engin	engineer
,	,	,
Brandon	brandon	Brandon
Bostian	bostian	Bostian
,	,	,
whether	whether	whether
he	he	he
recalled	recal	recalled
any	ani	any
projectiles	projectil	projectile
,	,	,
and	and	and
he	he	he
said	said	said
he	he	he
did	did	did
not	not	not
.	.	.

He	he	He
was	was	wa
specifically	specif	specifically
asked	ask	asked
that	that	that
question	question	question
,	,	,
and	and	and
he	he	he
did	did	did
not	not	not
recall	recal	recall
anything	anyth	anything
of	of	of
that	that	that
sort	sort	sort
,	,	,
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
.	.	.

But	but	But
then	then	then
again	again	again
,	,	,
he	he	he
reported	report	reported
that	that	that
he	he	he
does	doe	doe
not	not	not
have	have	have
any	ani	any
recollection	recollect	recollection
of	of	of
anything	anyth	anything
past	past	past
North	north	North
Philadelphia	philadelphia	Philadelphia
.	.	.

The	the	The
assistant	assist	assistant
conductor	conductor	conductor
,	,	,
however	howev	however
,	,	,
who	who	who
was	was	wa
working	work	working
in	in	in
the	the	the
cafe	cafe	cafe
car	car	car
,	,	,
heard	heard	heard
Mr	mr	Mr
.	.	.
Bostian	bostian	Bostian
talking	talk	talking
to	to	to
an	an	an
engineer	engin	engineer
on	on	on
the	the	the
Septa	septa	Septa
regional	region	regional
rail	rail	rail
line	line	line
who	who	who
said	said	said
his	his	his
train	train	train
had	had	had
been	been	been
hit	hit	hit
by	by	by
a	a	a
rock	rock	rock
or	or	or
shot	shot	shot
at	at	at
,	,	,
according	accord	according
to	to	to
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
.	.	.

She	she	She
said	said	said
she	she	she
thought	thought	thought
she	she	she
heard	heard	heard
Mr	mr	Mr
.	.	.
Bostian	bostian	Bostian
reply	repli	reply
that	that	that
his	his	his
train	train	train
had	had	had
also	also	also
been	been	been
struck	struck	struck
.	.	.

Right	right	Right
after	after	after
she	she	she
recalled	recal	recalled
hearing	hear	hearing
this	this	this
conversation	convers	conversation
between	between	between
her	her	her
engineer	engin	engineer
and	and	and
the	the	the
Septa	septa	Septa
engineer	engin	engineer
,	,	,
she	she	she
said	said	said
she	she	she
felt	felt	felt
a	a	a
rumbling	rumbl	rumbling
,	,	,
and	and	and
her	her	her
train	train	train
leaned	lean	leaned
over	over	over
and	and	and
her	her	her
car	car	car
went	went	went
over	over	over
on	on	on
its	it	it
side	side	side
,	,	,
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
.	.	.
Jerri	jerri	Jerri
Williams	william	Williams
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
at	at	at
Septa	septa	Septa
,	,	,
confirmed	confirm	confirmed
that	that	that
the	the	the
windshield	windshield	windshield
of	of	of
one	one	one
of	of	of
its	it	it
trains	train	train
had	had	had
been	been	been
shattered	shatter	shattered
by	by	by
a	a	a
projectile	projectil	projectile
near	near	near
the	the	the
North	north	North
Philadelphia	philadelphia	Philadelphia
station	station	station
about	about	about
9	9	9
10	10	10
p	p	p
.	.	.
m	m	m
.	.	.
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
about	about	about
12	12	12
minutes	minut	minute
before	befor	before
the	the	the
Amtrak	amtrak	Amtrak
train	train	train
derailed	derail	derailed
.	.	.

We	we	We
have	have	have
reports	report	report
of	of	of
trains	train	train
being	be	being
struck	struck	struck
by	by	by
objects	object	object
in	in	in
this	this	this
area	area	area
about	about	about
two	two	two
to	to	to
three	three	three
times	time	time
a	a	a
month	month	month
,	,	,
Ms	ms	Ms
.	.	.
Williams	william	Williams
said	said	said
.	.	.

Mostly	most	Mostly
,	,	,
she	she	she
said	said	said
,	,	,
the	the	the
objects	object	object
are	are	are
thrown	thrown	thrown
by	by	by
children	children	child
and	and	and
do	do	do
no	no	no
damage	damag	damage
.	.	.
The	the	The
safety	safeti	safety
board	board	board
has	has	ha
asked	ask	asked
to	to	to
interview	interview	interview
the	the	the
engineer	engin	engineer
of	of	of
the	the	the
Septa	septa	Septa
train	train	train
that	that	that
was	was	wa
hit	hit	hit
by	by	by
the	the	the
projectile	projectil	projectile
,	,	,
and	and	and
Septa	septa	Septa
is	is	is
cooperating	cooper	cooperating
,	,	,
Ms	ms	Ms
.	.	.
Williams	william	Williams
said	said	said
.	.	.
For	for	For
days	day	day
,	,	,
speculation	specul	speculation
about	about	about
the	the	the
cause	caus	cause
of	of	of
the	the	the
accident	accid	accident
has	has	ha
centered	center	centered
on	on	on
Mr	mr	Mr
.	.	.
Bostian	bostian	Bostian
.	.	.

Investigators	investig	Investigators
reported	report	reported
earlier	earlier	earlier
this	this	this
week	week	week
that	that	that
the	the	the
train	train	train
accelerated	acceler	accelerated
suddenly	sudden	suddenly
a	a	a
minute	minut	minute
before	befor	before
the	the	the
derailment	derail	derailment
and	and	and
that	that	that
Mr	mr	Mr
.	.	.
Bostian	bostian	Bostian
applied	appli	applied
the	the	the
emergency	emerg	emergency
brake	brake	brake
seconds	second	second
before	befor	before
the	the	the
cars	car	car
careened	careen	careened
off	off	off
the	the	the
tracks	track	track
,	,	,
striking	strike	striking
nearby	nearbi	nearby
utility	util	utility
poles	pole	pole
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
that	that	that
the	the	the
engineer	engin	engineer
,	,	,
accompanied	accompani	accompanied
by	by	by
his	his	his
lawyer	lawyer	lawyer
,	,	,
had	had	had
been	been	been
open	open	open
with	with	with
investigators	investig	investigator
and	and	and
had	had	had
demonstrated	demonstr	demonstrated
a	a	a
very	veri	very
good	good	good
working	work	working
knowledge	knowledg	knowledge
of	of	of
the	the	the
proper	proper	proper
procedures	procedur	procedure
and	and	and
speeds	speed	speed
for	for	for
the	the	the
rail	rail	rail
line	line	line
,	,	,
but	but	but
that	that	that
he	he	he
did	did	did
not	not	not
remember	rememb	remember
the	the	the
accident	accid	accident
.	.	.

He	he	He
recalls	recal	recall
ringing	ring	ringing
the	the	the
train	train	train
bell	bell	bell
as	as	a
he	he	he
went	went	went
through	through	through
North	north	North
Philadelphia	philadelphia	Philadelphia
Station	station	Station
,	,	,
as	as	a
required	requir	required
,	,	,
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
.	.	.

He	he	He
has	has	ha
no	no	no
recollection	recollect	recollection
of	of	of
anything	anyth	anything
past	past	past
that	that	that
.	.	.

Investigators	investig	Investigators
said	said	said
that	that	that
Mr	mr	Mr
.	.	.
Bostian	bostian	Bostian
had	had	had
been	been	been
extremely	extrem	extremely
cooperative	cooper	cooperative
during	dure	during
his	his	his
interview	interview	interview
and	and	and
that	that	that
he	he	he
had	had	had
reported	report	reported
no	no	no
problems	problem	problem
with	with	with
his	his	his
train	train	train
handling	handl	handling
.	.	.

Two	two	Two
other	other	other
conductors	conductor	conductor
were	were	were
on	on	on
the	the	the
train	train	train
that	that	that
night	night	night
.	.	.

A	a	A
senior	senior	senior
conductor	conductor	conductor
is	is	is
hospitalized	hospit	hospitalized
,	,	,
according	accord	according
to	to	to
the	the	the
safety	safeti	safety
board	board	board
,	,	,
and	and	and
has	has	ha
not	not	not
been	been	been
interviewed	interview	interviewed
.	.	.
A	a	A
junior	junior	junior
conductor	conductor	conductor
was	was	wa
in	in	in
the	the	the
back	back	back
of	of	of
the	the	the
train	train	train
and	and	and
reported	report	reported
that	that	that
his	his	his
radio	radio	radio
was	was	wa
not	not	not
working	work	working
,	,	,
so	so	so
he	he	he
was	was	wa
unable	unabl	unable
to	to	to
hear	hear	hear
the	the	the
engineer	engin	engineer
,	,	,
Mr	mr	Mr
.	.	.
Sumwalt	sumwalt	Sumwalt
said	said	said
.	.	.

He	he	He
told	told	told
investigators	investig	investigator
he	he	he
felt	felt	felt
shaking	shake	shaking
,	,	,
then	then	then
two	two	two
large	larg	large
impacts	impact	impact
that	that	that
dislodged	dislodg	dislodged
seats	seat	seat
.	.	.
Both	both	Both
conductors	conductor	conductor
said	said	said
they	they	they
had	had	had
confidence	confid	confidence
in	in	in
the	the	the
engineer	engin	engineer
,	,	,
calling	call	calling
him	him	him
very	veri	very
professional	profession	professional
.	.	.

Via	via	Via
NYT	nyt	NYT

