Thirteen	thirteen	Thirteen
years	year	year
ago	ago	ago
,	,	,
the	the	the
United	unit	United
States	state	States
went	went	went
to	to	to
war	war	war
against	against	against
Iraq	iraq	Iraq
s	s	s
dictator	dictat	dictator
,	,	,
Saddam	saddam	Saddam
Hussein	hussein	Hussein
.	.	.
While	while	While
the	the	the
war	war	war
ended	end	ended
up	up	up
being	be	being
a	a	a
costly	cost	costly
and	and	and
deadly	dead	deadly
mistake	mistak	mistake
,	,	,
propelled	propel	propelled
by	by	by
lies	lie	lie
,	,	,
Republicans	republican	Republicans
have	have	have
long	long	long
held	held	held
on	on	on
to	to	to
the	the	the
belief	belief	belief
that	that	that
getting	get	getting
rid	rid	rid
of	of	of
Hussein	hussein	Hussein
was	was	wa
a	a	a
huge	huge	huge
bonus	bonus	bonus
for	for	for
the	the	the
world	world	world
.	.	.
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
GOP	gop	GOP
frontrunner	frontrunn	frontrunner
for	for	for
President	presid	President
,	,	,
though	though	though
,	,	,
disagrees	disagre	disagrees
.	.	.
To	to	To
Trump	trump	Trump
,	,	,
Saddam	saddam	Saddam
Hussein	hussein	Hussein
should	should	should
have	have	have
been	been	been
praised	prais	praised
.	.	.
Saddam	saddam	Saddam
Hussein	hussein	Hussein
was	was	wa
a	a	a
bad	bad	bad
guy	guy	guy
.	.	.
Right	right	Right
?	?	?
He	he	He
was	was	wa
a	a	a
bad	bad	bad
guy	guy	guy
,	,	,
really	realli	really
bad	bad	bad
guy	guy	guy
.	.	.
But	but	But
you	you	you
know	know	know
what	what	what
he	he	he
did	did	did
well	well	well
?	?	?
He	he	He
killed	kill	killed
terrorists	terrorist	terrorist
.	.	.
He	he	He
did	did	did
that	that	that
so	so	so
good	good	good
.	.	.
They	they	They
didn	didn	didn
t	t	t
read	read	read
them	them	them
the	the	the
rights	right	right
they	they	they
didn	didn	didn
t	t	t
talk	talk	talk
,	,	,
they	they	they
were	were	were
a	a	a
terrorist	terrorist	terrorist
,	,	,
it	it	it
was	was	wa
over	over	over
,	,	,
Trump	trump	Trump
said	said	said
as	as	a
many	mani	many
in	in	in
his	his	his
audience	audienc	audience
of	of	of
about	about	about
2	2	2
,	,	,
000	000	000
laughed	laugh	laughed
on	on	on
Tuesday	tuesday	Tuesday
evening	even	evening
.	.	.
Today	today	Today
,	,	,
Iraq	iraq	Iraq
is	is	is
Harvard	harvard	Harvard
for	for	for
terrorism	terror	terrorism
.	.	.
You	you	You
want	want	want
to	to	to
be	be	be
a	a	a
terrorist	terrorist	terrorist
,	,	,
you	you	you
go	go	go
to	to	to
Iraq	iraq	Iraq
.	.	.
It	it	It
s	s	s
like	like	like
Harvard	harvard	Harvard
.	.	.
Okay	okay	Okay
?	?	?
So	so	So
sad	sad	sad
.	.	.
Source	sourc	Source
Independent	independ	Independent
UKHere	ukher	UKHere
s	s	s
the	the	the
video	video	video
Republicans	republican	Republicans
aren	aren	aren
t	t	t
at	at	at
all	all	all
happy	happi	happy
He	he	He
was	was	wa
one	one	one
of	of	of
the	the	the
20th	20th	20th
century	centuri	century
s	s	s
most	most	most
evil	evil	evil
people	peopl	people
.	.	.
He	he	He
was	was	wa
up	up	up
there	there	there
.	.	.
He	he	He
committed	commit	committed
mass	mass	mass
genocide	genocid	genocide
against	against	against
his	his	his
own	own	own
people	peopl	people
using	use	using
chemical	chemic	chemical
weapons	weapon	weapon
,	,	,
Ryan	ryan	Ryan
told	told	told
Fox	fox	Fox
News	news	News
Megyn	megyn	Megyn
Kelly	kelli	Kelly
when	when	when
asked	ask	asked
for	for	for
his	his	his
reaction	reaction	reaction
.	.	.
Saddam	saddam	Saddam
Hussein	hussein	Hussein
was	was	wa
a	a	a
bad	bad	bad
guy	guy	guy
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
has	has	ha
said	said	said
something	someth	something
similar	similar	similar
.	.	.
Back	back	Back
in	in	in
October	octob	October
,	,	,
Trump	trump	Trump
said	said	said
if	if	if
both	both	both
Muammar	muammar	Muammar
Qaddafi	qaddafi	Qaddafi
and	and	and
Saddam	saddam	Saddam
Hussein	hussein	Hussein
were	were	were
still	still	still
in	in	in
power	power	power
,	,	,
the	the	the
Middle	middl	Middle
East	east	East
would	would	would
be	be	be
a	a	a
more	more	more
stable	stabl	stable
region	region	region
.	.	.
He	he	He
related	relat	related
the	the	the
situations	situat	situation
in	in	in
both	both	both
of	of	of
those	those	those
countries	countri	country
with	with	with
what	what	what
is	is	is
currently	current	currently
happening	happen	happening
