Former	former	Former
reality	realiti	reality
show	show	show
star	star	star
Donald	donald	Donald
Trump	trump	Trump
just	just	just
can	can	can
t	t	t
stop	stop	stop
using	use	using
a	a	a
slur	slur	slur
to	to	to
describe	describ	describe
Sen	sen	Sen
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
D	d	D
-Mass	-mass	-Mass
.	.	.
but	but	but
this	this	this
time	time	time
he	he	he
took	took	took
things	thing	thing
to	to	to
the	the	the
edge	edg	edge
then	then	then
crossed	cross	crossed
the	the	the
line	line	line
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
Trump	trump	Trump
referred	refer	referred
to	to	to
Warren	warren	Warren
as	as	a
Pocahontas	pocahonta	Pocahontas
at	at	at
an	an	an
event	event	event
honoring	honor	honoring
Native	nativ	Native
American	american	American
code	code	code
talkers	talker	talker
who	who	who
fought	fought	fought
in	in	in
World	world	World
War	war	War
II	ii	II
.	.	.
Trump	trump	Trump
was	was	wa
literally	liter	literally
surrounded	surround	surrounded
by	by	by
Native	nativ	Native
Americans	american	Americans
when	when	when
he	he	he
hurled	hurl	hurled
the	the	the
slur	slur	slur
.	.	.
The	the	The
chief	chief	chief
.	.	.
He	he	He
s	s	s
the	the	the
general	general	general
and	and	and
the	the	the
chief	chief	chief
,	,	,
Trump	trump	Trump
said	said	said
during	dure	during
the	the	the
White	white	White
House	hous	House
event	event	event
,	,	,
in	in	in
reference	refer	reference
to	to	to
White	white	White
House	hous	House
chief	chief	chief
of	of	of
staff	staff	staff
John	john	John
Kelly	kelli	Kelly
.	.	.
I	i	I
said	said	said
,	,	,
how	how	how
good	good	good
were	were	were
these	these	these
code	code	code
talkers	talker	talker
?	?	?
He	he	He
said	said	said
,	,	,
sir	sir	sir
,	,	,
you	you	you
have	have	have
no	no	no
idea	idea	idea
.	.	.
You	you	You
have	have	have
no	no	no
idea	idea	idea
how	how	how
great	great	great
they	they	they
were	were	were
,	,	,
what	what	what
they	they	they
have	have	have
done	done	done
for	for	for
this	this	this
country	countri	country
and	and	and
the	the	the
strength	strength	strength
and	and	and
the	the	the
bravery	braveri	bravery
and	and	and
the	the	the
love	love	love
for	for	for
the	the	the
country	countri	country
.	.	.
So	so	So
that	that	that
was	was	wa
the	the	the
ultimate	ultim	ultimate
statement	statement	statement
from	from	from
General	general	General
Kelly	kelli	Kelly
,	,	,
the	the	the
importance	import	importance
,	,	,
Trump	trump	Trump
continued	continu	continued
.	.	.
And	and	And
I	i	I
just	just	just
want	want	want
to	to	to
thank	thank	thank
you	you	you
because	becaus	because
you	you	you
re	re	re
very	veri	very
,	,	,
very	veri	very
special	special	special
people	peopl	people
.	.	.
You	you	You
were	were	were
here	here	here
long	long	long
before	befor	before
any	ani	any
of	of	of
us	us	u
were	were	were
here	here	here
,	,	,
although	although	although
we	we	we
have	have	have
a	a	a
representative	repres	representative
in	in	in
Congress	congress	Congress
who	who	who
they	they	they
say	say	say
was	was	wa
here	here	here
a	a	a
long	long	long
time	time	time
ago	ago	ago
,	,	,
they	they	they
call	call	call
her	her	her
Pocahontas	pocahonta	Pocahontas
.	.	.
But	but	But
you	you	you
know	know	know
what	what	what
I	i	I
like	like	like
you	you	you
because	becaus	because
you	you	you
are	are	are
special	special	special
