#PresidentElectTrumpABSOLUTELY	#presidentelecttrumpabsolut	#PresidentElectTrumpABSOLUTELY
MUST	must	MUST
WATCHToday	watchtoday	WATCHToday
there	there	there
is	is	is
hope	hope	hope
for	for	for
the	the	the
American	american	American
people	peopl	people
.	.	.
We	we	We
will	will	will
#MakeAmericaGreatAgainPlease	#makeamericagreatagainpleas	#MakeAmericaGreatAgainPlease
RT	rt	RT
pic.twitter.com/WSbpcKr8np	pic.twitter.com/wsbpckr8np	pic.twitter.com/WSbpcKr8np
Brian	brian	Brian
Fraser	fraser	Fraser
@bfraser747	@bfraser747	@bfraser747
November	novemb	November
9	9	9
,	,	,
2016	2016	2016
