A	a	A
day	day	day
after	after	after
a	a	a
plagiarism	plagiar	plagiarism
scandal	scandal	scandal
rocked	rock	rocked
Melania	melania	Melania
Trump	trump	Trump
for	for	for
the	the	the
portions	portion	portion
of	of	of
her	her	her
convention	convent	convention
speech	speech	speech
that	that	that
were	were	were
lifted	lift	lifted
from	from	from
Michelle	michell	Michelle
Obama	obama	Obama
,	,	,
Donald	donald	Donald
Trump	trump	Trump
s	s	s
son	son	son
Donald	donald	Donald
Jr	jr	Jr
.	.	.
faces	face	face
a	a	a
similar	similar	similar
allegation	alleg	allegation
.	.	.
?	?	?
pic.twitter.com/QEftnTTwy3	pic.twitter.com/qeftnttwy3	pic.twitter.com/QEftnTTwy3
The	the	The
Daily	daili	Daily
Show	show	Show
@TheDailyShow	@thedailyshow	@TheDailyShow
July	juli	July
20	20	20
,	,	,
2016The	2016the	2016The
Twitter	twitter	Twitter
account	account	account
for	for	for
The	the	The
Daily	daili	Daily
Show	show	Show
made	made	made
the	the	the
catch	catch	catch
,	,	,
pointing	point	pointing
out	out	out
a	a	a
passage	passag	passage
in	in	in
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
s	s	s
speech	speech	speech
that	that	that
appears	appear	appears
to	to	to
have	have	have
been	been	been
lifted	lift	lifted
from	from	from
an	an	an
article	articl	article
in	in	in
a	a	a
conservative	conserv	conservative
magazine	magazin	magazine
.	.	.
In	in	In
the	the	the
speech	speech	speech
,	,	,
Trump	trump	Trump
pointed	point	pointed
out	out	out
that	that	that
our	our	our
schools	school	school
used	use	used
to	to	to
be	be	be
an	an	an
elevator	elev	elevator
to	to	to
the	the	the
middle	middl	middle
class	class	class
.	.	.
Now	now	Now
they	they	they
re	re	re
stalled	stall	stalled
on	on	on
the	the	the
ground	ground	ground
floor	floor	floor
.	.	.
In	in	In
an	an	an
article	articl	article
in	in	in
The	the	The
American	american	American
Conservative	conserv	Conservative
,	,	,
writer	writer	writer
F	f	F
.	.	.
H	h	H
.	.	.
Buckley	buckley	Buckley
writes	write	writes
,	,	,
What	what	What
should	should	should
be	be	be
an	an	an
elevator	elev	elevator
to	to	to
the	the	the
upper	upper	upper
class	class	class
is	is	is
stalled	stall	stalled
on	on	on
the	the	the
ground	ground	ground
floor	floor	floor
.	.	.
In	in	In
a	a	a
later	later	later
sentence	sentenc	sentence
,	,	,
Buckley	buckley	Buckley
went	went	went
on	on	on
to	to	to
say	say	say
,	,	,
our	our	our
schools	school	school
and	and	and
universities	univers	university
are	are	are
like	like	like
