What	what	What
would	would	would
a	a	a
speech	speech	speech
from	from	from
a	a	a
modern	modern	modern
Democrat	democrat	Democrat
be	be	be
if	if	if
they	they	they
didn	didn	didn
t	t	t
include	includ	include
the	the	the
LGBT	lgbt	LGBT
crowd	crowd	crowd
and	and	and
embrace	embrac	embrace
illegal	illeg	illegal
aliens	alien	alien
?	?	?

It	it	It
s	s	s
almost	almost	almost
as	as	a
if	if	if
they	they	they
were	were	were
trying	tri	trying
to	to	to
divide	divid	divide
our	our	our
nation	nation	nation
in	in	in
order	order	order
to	to	to
gain	gain	gain
votes	vote	vote
.	.	.
?	?	?
?	?	?
The	the	The
mayor	mayor	mayor
of	of	of
Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
in	in	in
an	an	an
address	address	address
to	to	to
the	the	the
radical	radic	radical
socialist	socialist	socialist
organization	organ	organization
National	nation	National
Council	council	Council
of	of	of
La	la	La
Raza	raza	Raza
,	,	,
bragged	brag	bragged
that	that	that
his	his	his
city	citi	city
is	is	is
no	no	no
longer	longer	longer
majority	major	majority
white	white	white
and	and	and
the	the	the
city	citi	city
s	s	s
schools	school	school
now	now	now
have	have	have
students	student	student
who	who	who
speak	speak	speak
62	62	62
different	differ	different
languages	languag	language
.	.	.
According	accord	According
to	to	to
the	the	the
2010	2010	2010
U	u	U
.	.	.
S	s	S
.	.	.
Census	census	Census
,	,	,
Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
was	was	wa
52	52	52
percent	percent	percent
white	white	white
.	.	.
But	but	But
in	in	in
a	a	a
speech	speech	speech
before	befor	before
the	the	the
La	la	La
Raza	raza	Raza
National	nation	National
Affiliates	affili	Affiliates
Luncheon	luncheon	Luncheon
earlier	earlier	earlier
this	this	this
week	week	week
in	in	in
Kansas	kansa	Kansas
City	citi	City
,	,	,
Mayor	mayor	Mayor
Mark	mark	Mark
Holland	holland	Holland
boasted	boast	boasted
that	that	that
only	onli	only
five	five	five
years	year	year
later	later	later
his	his	his
city	citi	city
s	s	s
white	white	white
population	popul	population
has	has	ha
been	been	been
reduced	reduc	reduced
to	to	to
40	40	40
percent	percent	percent
.	.	.
He	he	He
seemed	seem	seemed
to	to	to
suggest	suggest	suggest
that	that	that
La	la	La
Raza	raza	Raza
was	was	wa
at	at	at
least	least	least
partly	part	partly
responsible	respons	responsible
for	for	for
the	the	the
progress	progress	progress
.	.	.

But	but	But
he	he	he
also	also	also
cited	cite	cited
the	the	the
refugee	refuge	refugee
resettlement	resettl	resettlement
work	work	work
of	of	of
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
for	for	for
the	the	the
city	citi	city
s	s	s
transformation	transform	transformation
into	into	into
a	a	a
gleaming	gleam	gleaming
example	exampl	example
of	of	of
multicultural	multicultur	multicultural
diversity	divers	diversity
.	.	.
Kansas	kansa	Kansas
City	citi	City
,	,	,
he	he	he
said	said	said
,	,	,
is	is	is
very	veri	very
proud	proud	proud
of	of	of
the	the	the
work	work	work
of	of	of
National	nation	National
Council	council	Council
of	of	of
La	la	La
Raza	raza	Raza
.	.	.

Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
is	is	is
a	a	a
city	citi	city
with	with	with
no	no	no
ethnic	ethnic	ethnic
majority	major	majority
.	.	.

Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
is	is	is
40	40	40
percent	percent	percent
white	white	white
,	,	,
28	28	28
percent	percent	percent
Latino	latino	Latino
,	,	,
and	and	and
26	26	26
percent	percent	percent
African	african	African
-American	-american	-American
,	,	,
Holland	holland	Holland
said	said	said
.	.	.

Our	our	Our
school	school	school
district	district	district
speaks	speak	speaks
62	62	62
different	differ	different
languages	languag	language
by	by	by
the	the	the
children	children	child
every	everi	every
single	singl	single
day	day	day
.	.	.

And	and	And
Kansas	kansa	Kansas
City	citi	City
,	,	,
Kansas	kansa	Kansas
,	,	,
has	has	ha
a	a	a
proud	proud	proud
heritage	heritag	heritage
of	of	of
welcoming	welcom	welcoming
all	all	all
people	peopl	people
into	into	into
the	the	the
community	communiti	community
,	,	,
people	peopl	people
who	who	who
are	are	are
not	not	not
welcome	welcom	welcome
in	in	in
other	other	other
places	place	place
.	.	.

Latinos	latino	Latinos
started	start	started
coming	come	coming
with	with	with
the	the	the
Santa	santa	Santa
Fe	fe	Fe
railroad	railroad	railroad
more	more	more
than	than	than
100	100	100
years	year	year
ago	ago	ago
,	,	,
to	to	to
build	build	build
the	the	the
railroad	railroad	railroad
,	,	,
he	he	he
said	said	said
.	.	.

Another	anoth	Another
railroad	railroad	railroad
,	,	,
the	the	the
Underground	underground	Underground
Railroad	railroad	Railroad
,	,	,
brought	brought	brought
African	african	African
-Americans	-american	-Americans
to	to	to
Kansas	kansa	Kansas
.	.	.

If	if	If
they	they	they
could	could	could
get	get	get
across	across	across
the	the	the
river	river	river
they	they	they
were	were	were
free	free	free
and	and	and
settled	settl	settled
in	in	in
a	a	a
township	township	township
of	of	of
Quindero	quindero	Quindero
.	.	.

We	we	We
continue	continu	continue
to	to	to
have	have	have
a	a	a
number	number	number
of	of	of
groups	group	group
of	of	of
refugees	refuge	refugee
from	from	from
around	around	around
the	the	the
world	world	world
,	,	,
he	he	he
added	ad	added
,	,	,
mentioning	mention	mentioning
the	the	the
large	larg	large
Hmong	hmong	Hmong
community	communiti	community
that	that	that
came	came	came
in	in	in
the	the	the
1970s	1970s	1970s
and	and	and
80s	80s	80
following	follow	following
the	the	the
Vietnam	vietnam	Vietnam
War	war	War
.	.	.
In	in	In
recent	recent	recent
years	year	year
,	,	,
the	the	the
city	citi	city
has	has	ha
welcomed	welcom	welcomed
more	more	more
refugees	refuge	refugee
from	from	from
other	other	other
parts	part	part
of	of	of
the	the	the
world	world	world
,	,	,
including	includ	including
Muslim	muslim	Muslim
Somalia	somalia	Somalia
,	,	,
Afghanistan	afghanistan	Afghanistan
and	and	and
Iraq	iraq	Iraq
,	,	,
Hindus	hindus	Hindus
from	from	from
Bhutan	bhutan	Bhutan
and	and	and
Buddhists	buddhist	Buddhists
and	and	and
Muslims	muslim	Muslims
from	from	from
Burma	burma	Burma
.	.	.
LGBTs	lgbts	LGBTs
welcome	welcom	welcome
in	in	in
KCKansas	kckansa	KCKansas
City	citi	City
has	has	ha
also	also	also
thrown	thrown	thrown
open	open	open
its	it	it
arms	arm	arm
to	to	to
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
,	,	,
Holland	holland	Holland
said	said	said
,	,	,
even	even	even
though	though	though
most	most	most
of	of	of
the	the	the
state	state	state
of	of	of
Kansas	kansa	Kansas
leans	lean	lean
Republican	republican	Republican
.	.	.
He	he	He
said	said	said
the	the	the
city	citi	city
is	is	is
the	the	the
