As	as	As
progressivism	progressiv	progressivism
gets	get	get
more	more	more
of	of	of
a	a	a
stronghold	stronghold	stronghold
in	in	in
America	america	America
,	,	,
patriotism	patriot	patriotism
is	is	is
being	be	being
strangled	strangl	strangled
by	by	by
the	the	the
anti	anti	anti
-American	-american	-American
Left	left	Left
Fire	fire	Fire
commissioners	commission	commissioner
in	in	in
Upstate	upstat	Upstate
New	new	New
York	york	York
ordered	order	ordered
a	a	a
fire	fire	fire
department	depart	department
to	to	to
remove	remov	remove
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
flags	flag	flag
that	that	that
were	were	were
mounted	mount	mounted
on	on	on
its	it	it
firetrucks	firetruck	firetrucks
because	becaus	because
they	they	they
said	said	said
the	the	the
display	display	display
was	was	wa
a	a	a
liability	liabil	liability
to	to	to
the	the	the
firefighters	firefight	firefighter
and	and	and
other	other	other
motorists	motorist	motorist
.	.	.
Fire	fire	Fire
Chief	chief	Chief
Tory	tori	Tory
Gallante	gallant	Gallante
with	with	with
the	the	the
Arlington	arlington	Arlington
Fire	fire	Fire
District	district	District
in	in	in
Poughkeepsie	poughkeepsi	Poughkeepsie
said	said	said
the	the	the
Board	board	Board
of	of	of
Fire	fire	Fire
Commissioners	commission	Commissioners
told	told	told
him	him	him
Monday	monday	Monday
to	to	to
remove	remov	remove
the	the	the
two	two	two
flags	flag	flag
,	,	,
which	which	which
were	were	were
fastened	fasten	fastened
to	to	to
the	the	the
engine	engin	engine
and	and	and
the	the	the
ladder	ladder	ladder
truck	truck	truck
.	.	.

Obviously	obvious	Obviously
,	,	,
I	i	I
was	was	wa
disappointed	disappoint	disappointed
with	with	with
their	their	their
directive	direct	directive
,	,	,
he	he	he
told	told	told
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.
Gallante	gallant	Gallante
said	said	said
that	that	that
about	about	about
50	50	50
firefighters	firefight	firefighter
,	,	,
veterans	veteran	veteran
and	and	and
members	member	member
of	of	of
the	the	the
community	communiti	community
came	came	came
out	out	out
Tuesday	tuesday	Tuesday
afternoon	afternoon	afternoon
for	for	for
a	a	a
small	small	small
,	,	,
impromptu	impromptu	impromptu
ceremony	ceremoni	ceremony
to	to	to
properly	proper	properly
take	take	take
them	them	them
down	down	down
.	.	.

The	the	The
guys	guy	guy
were	were	were
upset	upset	upset
about	about	about
the	the	the
decision	decis	decision
and	and	and
wanted	want	wanted
to	to	to
remove	remov	remove
them	them	them
with	with	with
dignity	digniti	dignity
and	and	and
respect	respect	respect
,	,	,
he	he	he
said	said	said
.	.	.
Firefighters	firefight	Firefighters
flag	flag	flag
removal	remov	removal
ceremony	ceremoni	ceremony
can	can	can
be	be	be
seen	seen	seen
here	here	here
Video	video	Video
from	from	from
the	the	the
ceremony	ceremoni	ceremony
shows	show	show
the	the	the
emergency	emerg	emergency
response	respons	response
vehicles	vehicl	vehicle
lined	line	lined
up	up	up
outside	outsid	outside
the	the	the
Arlington	arlington	Arlington
Fire	fire	Fire
District	district	District
headquarters	headquart	headquarters
,	,	,
where	where	where
firefighters	firefight	firefighter
stood	stood	stood
at	at	at
attention	attent	attention
.	.	.
Both	both	Both
of	of	of
the	the	the
flags	flag	flag
were	were	were
taken	taken	taken
down	down	down
,	,	,
properly	proper	properly
folded	fold	folded
and	and	and
then	then	then
handed	hand	handed
to	to	to
Gallante	gallant	Gallante
.	.	.
Gallante	gallant	Gallante
added	ad	added
that	that	that
he	he	he
was	was	wa
not	not	not
told	told	told
to	to	to
remove	remov	remove
patriotic	patriot	patriotic
decals	decal	decal
on	on	on
the	the	the
firetrucks	firetruck	firetrucks
.	.	.
Joseph	joseph	Joseph
Tarquinio	tarquinio	Tarquinio
,	,	,
president	presid	president
of	of	of
the	the	the
Arlington	arlington	Arlington
Professional	profession	Professional
Firefighters	firefight	Firefighters
Association	associ	Association
,	,	,
said	said	said
the	the	the
union	union	union
approached	approach	approached
the	the	the
fire	fire	fire
chief	chief	chief
months	month	month
ago	ago	ago
,	,	,
proposing	propos	proposing
to	to	to
pay	pay	pay
for	for	for
the	the	the
flags	flag	flag
and	and	and
requesting	request	requesting
permission	permiss	permission
to	to	to
mount	mount	mount
them	them	them
.	.	.
Gallante	gallant	Gallante
agreed	agre	agreed
,	,	,
but	but	but
he	he	he
had	had	had
conditions	condit	condition
including	includ	including
that	that	that
the	the	the
flags	flag	flag
must	must	must
be	be	be
safely	safe	safely
and	and	and
securely	secur	securely
fixed	fix	fixed
to	to	to
the	the	the
firetrucks	firetruck	firetrucks
and	and	and
kept	kept	kept
clean	clean	clean
and	and	and
well	well	well
-maintained	-maintain	-maintained
.	.	.
Tarquinio	tarquinio	Tarquinio
said	said	said
the	the	the
union	union	union
purchased	purchas	purchased
two	two	two
3	3	3
-by-5-foot	-by-5-foot	-by-5-foot
flags	flag	flag
made	made	made
to	to	to
withstand	withstand	withstand
high	high	high
winds	wind	wind
and	and	and
had	had	had
them	them	them
properly	proper	properly
installed	instal	installed
by	by	by
the	the	the
fire	fire	fire
station	station	station
s	s	s
own	own	own
mechanic	mechan	mechanic
.	.	.
Tarquinio	tarquinio	Tarquinio
said	said	said
,	,	,
in	in	in
the	the	the
past	past	past
,	,	,
the	the	the
department	depart	department
had	had	had
U	u	U
.	.	.
S	s	S
.	.	.
flags	flag	flag
on	on	on
the	the	the
firetrucks	firetruck	firetrucks
and	and	and
would	would	would
take	take	take
them	them	them
down	down	down
during	dure	during
the	the	the
harsh	harsh	harsh
New	new	New
York	york	York
winters	winter	winter
.	.	.

When	when	When
the	the	the
department	depart	department
got	got	got
new	new	new
equipment	equip	equipment
a	a	a
few	few	few
years	year	year
ago	ago	ago
,	,	,
he	he	he
said	said	said
,	,	,
the	the	the
flags	flag	flag
were	were	were
not	not	not
put	put	put
back	back	back
.	.	.

So	so	So
with	with	with
everything	everyth	everything
going	go	going
on	on	on
in	in	in
the	the	the
country	countri	country
,	,	,
we	we	we
thought	thought	thought
it	it	it
was	was	wa
time	time	time
,	,	,
he	he	he
told	told	told
The	the	The
Washington	washington	Washington
Post	post	Post
.	.	.

It	it	It
was	was	wa
our	our	our
way	way	way
to	to	to
show	show	show
support	support	support
not	not	not
for	for	for
one	one	one
particular	particular	particular
sect	sect	sect
but	but	but
for	for	for
the	the	the
nation	nation	nation
as	as	a
a	a	a
whole	whole	whole
.	.	.

The	the	The
new	new	new
flags	flag	flag
had	had	had
been	been	been
flying	fli	flying
with	with	with
no	no	no
known	known	known
issues	issu	issue
,	,	,
Tarquinio	tarquinio	Tarquinio
said	said	said
,	,	,
when	when	when
three	three	three
of	of	of
the	the	the
five	five	five
fire	fire	fire
commissioners	commission	commissioner
expressed	express	expressed
concerns	concern	concern
about	about	about
liability	liabil	liability
,	,	,
which	which	which
Tarquinio	tarquinio	Tarquinio
called	call	called
a	a	a
gross	gross	gross
overstatement	overstat	overstatement
.	.	.

Officials	offici	Officials
said	said	said
since	sinc	since
the	the	the
board	board	board
s	s	s
decision	decis	decision
Monday	monday	Monday
night	night	night
,	,	,
the	the	the
fire	fire	fire
department	depart	department
has	has	ha
been	been	been
flooded	flood	flooded
with	with	with
phone	phone	phone
calls	call	call
and	and	and
emails	email	email
from	from	from
veterans	veteran	veteran
and	and	and
others	other	others
in	in	in
the	the	the
community	communiti	community
who	who	who
oppose	oppos	oppose
the	the	the
order	order	order
.	.	.

A	a	A
rally	ralli	rally
for	for	for
the	the	the
flag	flag	flag
has	has	ha
been	been	been
organized	organ	organized
for	for	for
the	the	the
weekend	weekend	weekend
,	,	,
according	accord	according
to	to	to
the	the	the
Poughkeepsie	poughkeepsi	Poughkeepsie
Journal	journal	Journal
.	.	.

Washington	washington	Washington
Post	post	Post

