Conservatives	conserv	Conservatives
talk	talk	talk
the	the	the
talk	talk	talk
but	but	but
can	can	can
they	they	they
walk	walk	walk
the	the	the
walk	walk	walk
?	?	?
That	that	That
s	s	s
exactly	exact	exactly
what	what	what
President	presid	President
Obama	obama	Obama
dared	dare	dared
them	them	them
to	to	to
do	do	do
during	dure	during
a	a	a
press	press	press
conference	confer	conference
in	in	in
Warsaw	warsaw	Warsaw
,	,	,
Poland	poland	Poland
on	on	on
Saturday	saturday	Saturday
when	when	when
he	he	he
asked	ask	asked
them	them	them
to	to	to
prove	prove	prove
they	they	they
truly	truli	truly
care	care	care
about	about	about
the	the	the
lives	live	life
of	of	of
police	polic	police
officers	offic	officer
by	by	by
supporting	support	supporting
common	common	common
sense	sens	sense
gun	gun	gun
measures	measur	measure
to	to	to
make	make	make
the	the	the
jobs	job	job
of	of	of
cops	cop	cop
easier	easier	easier
and	and	and
safer	safer	safer
.	.	.
Republicans	republican	Republicans
have	have	have
repeatedly	repeat	repeatedly
blamed	blame	blamed
President	presid	President
Obama	obama	Obama
and	and	and
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
for	for	for
the	the	the
killing	kill	killing
of	of	of
five	five	five
police	polic	police
officers	offic	officer
in	in	in
Dallas	dalla	Dallas
,	,	,
Texas	texa	Texas
all	all	all
while	while	while
professing	profess	professing
their	their	their
own	own	own
love	love	love
of	of	of
police	polic	police
officers	offic	officer
and	and	and
concern	concern	concern
for	for	for
their	their	their
safety	safeti	safety
.	.	.
President	presid	President
Obama	obama	Obama
told	told	told
reporters	report	reporter
that	that	that
police	polic	police
have	have	have
a	a	a
tough	tough	tough
job	job	job
to	to	to
do	do	do
and	and	and
made	made	made
it	it	it
clear	clear	clear
that	that	that
the	the	the
actions	action	action
of	of	of
the	the	the
Dallas	dalla	Dallas
shooter	shooter	shooter
should	should	should
not	not	not
be	be	be
assumed	assum	assumed
to	to	to
be	be	be
supported	support	supported
by	by	by
all	all	all
black	black	black
people	peopl	people
just	just	just
as	as	a
people	peopl	people
did	did	did
not	not	not
blame	blame	blame
all	all	all
white	white	white
people	peopl	people
for	for	for
the	the	the
Charleston	charleston	Charleston
church	church	church
shooting	shoot	shooting
in	in	in
South	south	South
Carolina	carolina	Carolina
.	.	.
When	when	When
some	some	some
white	white	white
kid	kid	kid
walks	walk	walk
into	into	into
a	a	a
church	church	church
and	and	and
shoots	shoot	shoot
a	a	a
bunch	bunch	bunch
of	of	of
worshipers	worship	worshiper
who	who	who
invite	invit	invite
him	him	him
to	to	to
worship	worship	worship
with	with	with
them	them	them
we	we	we
don	don	don
t	t	t
assume	assum	assume
somehow	somehow	somehow
he	he	he
s	s	s
making	make	making
a	a	a
political	polit	political
statement	statement	statement
that	that	that
s	s	s
relevant	relev	relevant
to	to	to
the	the	the
attitudes	attitud	attitude
of	of	of
the	the	the
rest	rest	rest
of	of	of
America	america	America
.	.	.
And	and	And
we	we	we
shouldn	shouldn	shouldn
t	t	t
make	make	make
those	those	those
assumptions	assumpt	assumption
about	about	about
a	a	a
troubled	troubl	troubled
Muslim	muslim	Muslim
individual	individu	individual
who	who	who
is	is	is
acting	act	acting
on	on	on
their	their	their
own	own	own
in	in	in
that	that	that
same	same	same
way	way	way
.	.	.
President	presid	President
Obama	obama	Obama
then	then	then
moved	move	moved
on	on	on
to	to	to
speak	speak	speak
about	about	about
guns	gun	gun
and	and	and
the	the	the
role	role	role
they	they	they
play	play	play
in	in	in
these	these	these
tragedies	tragedi	tragedy
.	.	.
I	i	I
am	am	am
going	go	going
to	to	to
keep	keep	keep
talking	talk	talking
about	about	about
the	the	the
fact	fact	fact
that	that	that
we	we	we
cannot	cannot	cannot
eliminate	elimin	eliminate
all	all	all
racial	racial	racial
tension	tension	tension
in	in	in
our	our	our
country	countri	country
overnight	overnight	overnight
.	.	.
We	we	We
are	are	are
not	not	not
going	go	going
to	to	to
be	be	be
able	abl	able
to	to	to
identify	identifi	identify
ahead	ahead	ahead
of	of	of
time	time	time
and	and	and
eliminate	elimin	eliminate
every	everi	every
madman	madman	madman
or	or	or
troubled	troubl	troubled
individual	individu	individual
who	who	who
might	might	might
want	want	want
to	to	to
do	do	do
harm	harm	harm
against	against	against
innocent	innoc	innocent
people	peopl	people
.	.	.
But	but	But
we	we	we
can	can	can
make	make	make
it	it	it
harder	harder	harder
for	for	for
them	them	them
to	to	to
do	do	do
so	so	so
.	.	.
President	presid	President
Obama	obama	Obama
mentioned	mention	mentioned
the	the	the
harrowing	harrow	harrowing
number	number	number
of	of	of
gun	gun	gun
violence	violenc	violence
incidents	incid	incident
that	that	that
have	have	have
occurred	occur	occurred
in	in	in
this	this	this
country	countri	country
for	for	for
the	the	the
last	last	last
ten	ten	ten
years	year	year
,	,	,
pointing	point	pointing
out	out	out
that	that	that
there	there	there
is	is	is
a	a	a
pattern	pattern	pattern
of	of	of
gun	gun	gun
violence	violenc	violence
that	that	that
makes	make	make
America	america	America
unique	uniqu	unique
in	in	in
the	the	the
scale	scale	scale
of	of	of
violence	violenc	violence
that	that	that
we	we	we
experience	experi	experience
including	includ	including
mass	mass	mass
shootings	shoot	shooting
and	and	and
gun	gun	gun
murders	murder	murder
we	we	we
mostly	most	mostly
consider	consid	consider
routine	routin	routine
.	.	.
President	presid	President
Obama	obama	Obama
mentioned	mention	mentioned
his	his	his
hometown	hometown	hometown
of	of	of
Chicago	chicago	Chicago
as	as	a
an	an	an
example	exampl	example
.	.	.
President	presid	President
Obama	obama	Obama
then	then	then
made	made	made
a	a	a
connection	connect	connection
between	between	between
all	all	all
of	of	of
these	these	these
shootings	shoot	shooting
and	and	and
the	the	the
lack	lack	lack
of	of	of
gun	gun	gun
restrictions	restrict	restriction
that	that	that
make	make	make
it	it	it
harder	harder	harder
for	for	for
people	peopl	people
officers	offic	officer
to	to	to
do	do	do
their	their	their
jobs	job	job
.	.	.
Part	part	Part
of	of	of
what	what	what
s	s	s
creating	creat	creating
tensions	tension	tension
between	between	between
communities	communiti	community
and	and	and
the	the	the
police	polic	police
is	is	is
the	the	the
fact	fact	fact
that	that	that
police	polic	police
have	have	have
a	a	a
really	realli	really
difficult	difficult	difficult
time	time	time
in	in	in
communities	communiti	community
where	where	where
they	they	they
know	know	know
guns	gun	gun
are	are	are
everywhere	everywher	everywhere
,	,	,
he	he	he
said	said	said
before	befor	before
using	use	using
Dallas	dalla	Dallas
as	as	a
an	an	an
example	exampl	example
because	becaus	because
protesters	protest	protester
participating	particip	participating
in	in	in
the	the	the
rally	ralli	rally
that	that	that
night	night	night
exercised	exercis	exercised
their	their	their
right	right	right
to	to	to
open	open	open
carry	carri	carry
because	becaus	because
Texas	texa	Texas
is	is	is
an	an	an
open	open	open
-carry	-carri	-carry
state	state	state
.	.	.
Because	becaus	Because
of	of	of
all	all	all
the	the	the
guns	gun	gun
around	around	around
,	,	,
the	the	the
confused	confus	confused
police	polic	police
initially	initi	initially
had	had	had
trouble	troubl	trouble
figuring	figur	figuring
out	out	out
who	who	who
was	was	wa
shooting	shoot	shooting
at	at	at
them	them	them
,	,	,
even	even	even
aiming	aim	aiming
their	their	their
guns	gun	gun
at	at	at
the	the	the
crowd	crowd	crowd
before	befor	before
discovering	discov	discovering
where	where	where
the	the	the
shots	shot	shot
were	were	were
really	realli	really
coming	come	coming
from	from	from
.	.	.
With	with	With
that	that	that
said	said	said
,	,	,
President	presid	President
Obama	obama	Obama
challenged	challeng	challenged
Republicans	republican	Republicans
to	to	to
put	put	put
their	their	their
money	money	money
where	where	where
their	their	their
mouth	mouth	mouth
is	is	is
and	and	and
treat	treat	treat
guns	gun	gun
as	as	a
a	a	a
contributing	contribut	contributing
factor	factor	factor
to	to	to
gun	gun	gun
violence	violenc	violence
if	if	if
they	they	they
really	realli	really
care	care	care
