On	on	On
the	the	the
day	day	day
before	befor	before
the	the	the
15th	15th	15th
anniversary	anniversari	anniversary
of	of	of
September	septemb	September
11	11	11
,	,	,
the	the	the
former	former	former
head	head	head
of	of	of
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
,	,	,
Republican	republican	Republican
Christie	christi	Christie
Todd	todd	Todd
Whitman	whitman	Whitman
,	,	,
has	has	ha
finally	final	finally
admitted	admit	admitted
she	she	she
was	was	wa
wrong	wrong	wrong
about	about	about
the	the	the
air	air	air
quality	qualiti	quality
at	at	at
Ground	ground	Ground
Zero	zero	Zero
.	.	.
In	in	In
the	the	the
days	day	day
following	follow	following
the	the	the
crippling	crippl	crippling
attack	attack	attack
,	,	,
Whitman	whitman	Whitman
reassured	reassur	reassured
first	first	first
responders	respond	responder
and	and	and
those	those	those
cleaning	clean	cleaning
up	up	up
the	the	the
wreckage	wreckag	wreckage
that	that	that
the	the	the
public	public	public
air	air	air
quality	qualiti	quality
was	was	wa
safe	safe	safe
to	to	to
breathe	breath	breathe
I	i	I
am	am	am
glad	glad	glad
to	to	to
reassure	reassur	reassure
the	the	the
people	peopl	people
of	of	of
New	new	New
York	york	York
that	that	that
their	their	their
air	air	air
is	is	is
safe	safe	safe
to	to	to
breathe	breath	breathe
and	and	and
their	their	their
water	water	water
is	is	is
safe	safe	safe
to	to	to
drinkAs	drinka	drinkAs
thousands	thousand	thousand
of	of	of
Americans	american	Americans
suffer	suffer	suffer
debilitating	debilit	debilitating
illness	ill	illness
and	and	and
death	death	death
due	due	due
to	to	to
the	the	the
toxicity	toxic	toxicity
of	of	of
the	the	the
,	,	,
Whitman	whitman	Whitman
remained	remain	remained
silent	silent	silent
for	for	for
years	year	year
.	.	.

Until	until	Until
now	now	now
.	.	.

Speaking	speak	Speaking
to	to	to
the	the	the
Guardian	guardian	Guardian
,	,	,
Whitman	whitman	Whitman
expressed	express	expressed
immense	immens	immense
guilt	guilt	guilt
and	and	and
regret	regret	regret
for	for	for
staying	stay	staying
silent	silent	silent
,	,	,
and	and	and
told	told	told
the	the	the
paper	paper	paper
she	she	she
still	still	still
feels	feel	feel
awful	aw	awful
at	at	at
the	the	the
events	event	event
that	that	that
transpired	transpir	transpired
Whatever	whatev	Whatever
we	we	we
got	got	got
wrong	wrong	wrong
,	,	,
we	we	we
should	should	should
acknowledge	acknowledg	acknowledge
and	and	and
people	peopl	people
should	should	should
be	be	be
helped	help	helped
.	.	.

I	i	I
m	m	m
very	veri	very
sorry	sorri	sorry
that	that	that
people	peopl	people
are	are	are
sick	sick	sick
,	,	,
she	she	she
said	said	said
.	.	.

I	i	I
m	m	m
very	veri	very
sorry	sorri	sorry
that	that	that
people	peopl	people
are	are	are
dying	die	dying
and	and	and
if	if	if
the	the	the
EPA	epa	EPA
and	and	and
I	i	I
in	in	in
any	ani	any
way	way	way
contributed	contribut	contributed
to	to	to
that	that	that
,	,	,
I	i	I
m	m	m
sorry	sorri	sorry
.	.	.

We	we	We
did	did	did
the	the	the
very	veri	very
best	best	best
we	we	we
could	could	could
at	at	at
the	the	the
time	time	time
with	with	with
the	the	the
knowledge	knowledg	knowledge
we	we	we
had	had	had
.	.	.

Every	everi	Every
time	time	time
it	it	it
comes	come	come
around	around	around
to	to	to
the	the	the
anniversary	anniversari	anniversary
I	i	I
cringe	cring	cringe
,	,	,
because	becaus	because
I	i	I
know	know	know
people	peopl	people
will	will	will
bring	bring	bring
up	up	up
my	my	my
name	name	name
,	,	,
they	they	they
blame	blame	blame
me	me	me
,	,	,
they	they	they
say	say	say
that	that	that
I	i	I
lied	lie	lied
and	and	and
that	that	that
people	peopl	people
died	die	died
because	becaus	because
I	i	I
lied	lie	lied
,	,	,
they	they	they
say	say	say
people	peopl	people
have	have	have
died	die	died
because	becaus	because
I	i	I
made	made	made
a	a	a
mistake	mistak	mistake
.	.	.
No	no	No
doubt	doubt	doubt
that	that	that
Whitman	whitman	Whitman
feels	feel	feel
ashamed	asham	ashamed
.	.	.

No	no	No
doubt	doubt	doubt
she	she	she
is	is	is
riddled	riddl	riddled
with	with	with
regret	regret	regret
and	and	and
guilt	guilt	guilt
.	.	.

But	but	But
after	after	after
15	15	15
years	year	year
she	she	she
final	final	final
decides	decid	decides
to	to	to
speak	speak	speak
?	?	?

After	after	After
more	more	more
than	than	than
1	1	1
,	,	,
100	100	100
people	peopl	people
have	have	have
been	been	been
diagnosed	diagnos	diagnosed
with	with	with
cancer	cancer	cancer
related	relat	related
to	to	to
the	the	the
effects	effect	effect
of	of	of
Ground	ground	Ground
Zero	zero	Zero
and	and	and
nearly	near	nearly
900	900	900
first	first	first
