If	if	If
you	you	you
haven	haven	haven
t	t	t
noticed	notic	noticed
,	,	,
Donald	donald	Donald
Trump	trump	Trump
isn	isn	isn
t	t	t
quite	quit	quite
the	the	the
epitome	epitom	epitome
of	of	of
the	the	the
average	averag	average
working	work	working
American	american	American
.	.	.
He	he	He
s	s	s
a	a	a
guy	guy	guy
who	who	who
was	was	wa
born	born	born
into	into	into
wealth	wealth	wealth
,	,	,
got	got	got
his	his	his
start	start	start
through	through	through
his	his	his
father	father	father
,	,	,
and	and	and
claims	claim	claim
he	he	he
s	s	s
a	a	a
terrific	terrif	terrific
businessman	businessman	businessman
.	.	.
As	as	As
the	the	the
old	old	old
saying	say	saying
goes	goe	go
,	,	,
he	he	he
was	was	wa
born	born	born
on	on	on
third	third	third
base	base	base
but	but	but
thinks	think	think
he	he	he
hit	hit	hit
a	a	a
triple	tripl	triple
.	.	.
Out	out	Out
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
pointing	point	pointing
out	out	out
this	this	this
utter	utter	utter
disconnect	disconnect	disconnect
between	between	between
Trump	trump	Trump
and	and	and
working	work	working
America	america	America
is	is	is
none	none	none
other	other	other
than	than	than
President	presid	President
Obama	obama	Obama
.	.	.
The	the	The
president	presid	president
can	can	can
t	t	t
seem	seem	seem
to	to	to
quite	quit	quite
wrap	wrap	wrap
his	his	his
head	head	head
around	around	around
the	the	the
fact	fact	fact
that	that	that
people	peopl	people
would	would	would
choose	choos	choose
a	a	a
man	man	man
who	who	who
can	can	can
t	t	t
relate	relat	relate
whatsoever	whatsoev	whatsoever
to	to	to
the	the	the
plight	plight	plight
of	of	of
working	work	working
America	america	America
to	to	to
represent	repres	represent
them	them	them
.	.	.
While	while	While
speaking	speak	speaking
at	at	at
a	a	a
rally	ralli	rally
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Obama	obama	Obama
said	said	said
Really	realli	Really
,	,	,
this	this	this
is	is	is
the	the	the
guy	guy	guy
you	you	you
want	want	want
to	to	to
be	be	be
championing	champion	championing
working	work	working
people	peopl	people
?	?	?
This	this	This
guy	guy	guy
who	who	who
spent	spent	spent
70	70	70
years	year	year
on	on	on
this	this	this
earth	earth	earth
showing	show	showing
no	no	no
concern	concern	concern
for	for	for
working	work	working
people	peopl	people
.	.	.
This	this	This
guy	guy	guy
s	s	s
suddenly	sudden	suddenly
going	go	going
to	to	to
be	be	be
your	your	your
champion	champion	champion
?	?	?
He	he	He
spent	spent	spent
most	most	most
of	of	of
his	his	his
life	life	life
trying	tri	trying
to	to	to
stay	stay	stay
as	as	a
far	far	far
away	away	away
from	from	from
working	work	working
people	peopl	people
as	as	a
he	he	he
could	could	could
.	.	.
And	and	And
now	now	now
this	this	this
guy	guy	guy
is	is	is
gonna	gonna	gonna
be	be	be
the	the	the
champion	champion	champion
of	of	of
working	work	working
people	peopl	people
.	.	.
Huh	huh	Huh
?	?	?
I	i	I
mean	mean	mean
,	,	,
he	he	he
wasn	wasn	wasn
t	t	t
gonna	gonna	gonna
let	let	let
you	you	you
on	on	on
his	his	his
golf	golf	golf
course	cours	course
.	.	.
He	he	He
wasn	wasn	wasn
t	t	t
gonna	gonna	gonna
let	let	let
you	you	you
buy	buy	buy
in	in	in
his	his	his
condo	condo	condo
.	.	.
And	and	And
now	now	now
suddenly	sudden	suddenly
,	,	,
this	this	this
guy	guy	guy
s	s	s
gonna	gonna	gonna
be	be	be
your	your	your
champion	champion	champion
?	?	?
And	and	And
the	the	the
answer	answer	answer
to	to	to
that	that	that
would	would	would
be	be	be
,	,	,
no	no	no
,	,	,
he	he	he
s	s	s
not	not	not
.	.	.
Trump	trump	Trump
is	is	is
only	onli	only
in	in	in
this	this	this
race	race	race
for	for	for
Trump	trump	Trump
and	and	and
no	no	no
one	one	one
else	els	else
.	.	.
That	that	That
s	s	s
been	been	been
made	made	made
clear	clear	clear
from	from	from
the	the	the
start	start	start
.	.	.
Watch	watch	Watch
the	the	the
president	presid	president
go	go	go
after	after	after
Trump	trump	Trump
and	and	and
his	his	his
bold	bold	bold
claims	claim	claim
to	to	to
be	be	be
best	best	best
for	for	for
American	american	American
workers	worker	worker
here	here	here
Obama	obama	Obama
says	say	say
Trump	trump	Trump
has	has	ha
never	never	never
been	been	been
a	a	a
champion	champion	champion
for	for	for
working	work	working
people	peopl	people
He	he	He
wasn	wasn	wasn
t	t	t
going	go	going
to	to	to
let	let	let
you	you	you
on	on	on
his	his	his
golf	golf	golf
course	cours	course
.	.	.
https://t.co/kouzvjrEwD	https://t.co/kouzvjrewd	https://t.co/kouzvjrEwD
NBC	nbc	NBC
News	news	News
@NBCNews	@nbcnew	@NBCNews
September	septemb	September
13	13	13
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
