Donald	donald	Donald
Trump	trump	Trump
finally	final	finally
held	held	held
his	his	his
first	first	first
solo	solo	solo
press	press	press
conference	confer	conference
on	on	on
Thursday	thursday	Thursday
and	and	and
it	it	it
did	did	did
not	not	not
go	go	go
well	well	well
at	at	at
all	all	all
.	.	.
In	in	In
fact	fact	fact
,	,	,
it	it	it
was	was	wa
a	a	a
complete	complet	complete
and	and	and
total	total	total
disaster	disast	disaster
and	and	and
an	an	an
embarrassment	embarrass	embarrassment
.	.	.
Throughout	throughout	Throughout
his	his	his
remarks	remark	remark
,	,	,
Trump	trump	Trump
peppered	pepper	peppered
the	the	the
press	press	press
and	and	and
the	the	the
American	american	American
people	peopl	people
with	with	with
lie	lie	lie
after	after	after
lie	lie	lie
.	.	.
His	his	His
principle	principl	principle
target	target	target
,	,	,
of	of	of
course	cours	course
,	,	,
was	was	wa
the	the	the
media	media	medium
,	,	,
which	which	which
he	he	he
again	again	again
accused	accus	accused
of	of	of
being	be	being
dishonest	dishonest	dishonest
.	.	.

The	the	The
press	press	press
has	has	ha
become	becom	become
so	so	so
dishonest	dishonest	dishonest
that	that	that
if	if	if
we	we	we
don	don	don
t	t	t
talk	talk	talk
about	about	about
it	it	it
,	,	,
we	we	we
are	are	are
doing	do	doing
a	a	a
tremendous	tremend	tremendous
disservice	disservic	disservice
to	to	to
the	the	the
American	american	American
people	peopl	people
,	,	,
Trump	trump	Trump
said	said	said
.	.	.

Tremendous	tremend	Tremendous
disservice	disservic	disservice
.	.	.

We	we	We
have	have	have
to	to	to
talk	talk	talk
about	about	about
it	it	it
.	.	.

We	we	We
have	have	have
to	to	to
find	find	find
out	out	out
what	what	what
s	s	s
going	go	going
on	on	on
because	becaus	because
the	the	the
press	press	press
,	,	,
honestly	honest	honestly
,	,	,
is	is	is
out	out	out
of	of	of
control	control	control
.	.	.

The	the	The
level	level	level
of	of	of
dishonesty	dishonesti	dishonesty
is	is	is
out	out	out
of	of	of
control	control	control
.	.	.

I	i	I
ran	ran	ran
for	for	for
president	presid	president
to	to	to
represent	repres	represent
the	the	the
citizens	citizen	citizen
of	of	of
our	our	our
country	countri	country
.	.	.

I	i	I
am	am	am
here	here	here
to	to	to
change	chang	change
the	the	the
broken	broken	broken
system	system	system
so	so	so
it	it	it
serves	serv	serf
their	their	their
families	famili	family
and	and	and
their	their	their
communities	communiti	community
well	well	well
.	.	.

I	i	I
am	am	am
talking	talk	talking
,	,	,
and	and	and
really	realli	really
talking	talk	talking
,	,	,
on	on	on
this	this	this
very	veri	very
entrenched	entrench	entrenched
power	power	power
structure	structur	structure
and	and	and
what	what	what
we	we	we
re	re	re
doing	do	doing
is	is	is
we	we	we
re	re	re
talking	talk	talking
about	about	about
the	the	the
power	power	power
structure	structur	structure
.	.	.

We	we	We
re	re	re
talking	talk	talking
about	about	about
its	it	it
entrenchment	entrench	entrenchment
.	.	.

As	as	As
a	a	a
result	result	result
,	,	,
the	the	the
media	media	medium
s	s	s
going	go	going
through	through	through
what	what	what
they	they	they
have	have	have
to	to	to
go	go	go
through	through	through
to	to	to
oftentimes	oftentim	oftentimes
distort	distort	distort
not	not	not
all	all	all
the	the	the
time	time	time
and	and	and
some	some	some
of	of	of
the	the	the
media	media	medium
s	s	s
fantastic	fantast	fantastic
,	,	,
I	i	I
have	have	have
to	to	to
say	say	say
,	,	,
honest	honest	honest
and	and	and
fantastic	fantast	fantastic
but	but	but
much	much	much
of	of	of
it	it	it
is	is	is
not	not	not
.	.	.

The	the	The
distortion	distort	distortion
,	,	,
and	and	and
we	we	we
ll	ll	ll
talk	talk	talk
about	about	about
it	it	it
,	,	,
you	you	you
ll	ll	ll
be	be	be
able	abl	able
to	to	to
ask	ask	ask
me	me	me
questions	question	question
about	about	about
it	it	it
.	.	.

We	we	We
re	re	re
not	not	not
going	go	going
to	to	to
let	let	let
it	it	it
happen	happen	happen
because	becaus	because
I	i	I
m	m	m
here	here	here
,	,	,
again	again	again
,	,	,
to	to	to
take	take	take
my	my	my
message	messag	message
straight	straight	straight
to	to	to
the	the	the
people	peopl	people
.	.	.
Trump	trump	Trump
went	went	went
on	on	on
to	to	to
claim	claim	claim
that	that	that
he	he	he
inherited	inherit	inherited
a	a	a
mess	mess	mess
from	from	from
President	presid	President
Obama	obama	Obama
and	and	and
portrayed	portray	portrayed
the	the	the
world	world	world
as	as	a
an	an	an
apocalyptic	apocalypt	apocalyptic
wasteland	wasteland	wasteland
that	that	that
only	onli	only
he	he	he
can	can	can
fix	fix	fix
.	.	.
And	and	And
then	then	then
he	he	he
bragged	brag	bragged
about	about	about
his	his	his
Electoral	elector	Electoral
College	colleg	College
win	win	win
again	again	again
as	as	a
some	some	some
sort	sort	sort
of	of	of
proof	proof	proof
that	that	that
the	the	the
American	american	American
people	peopl	people
love	love	love
him	him	him
.	.	.
I	i	I
put	put	put
it	it	it
out	out	out
before	befor	before
the	the	the
American	american	American
people	peopl	people
,	,	,
got	got	got
306	306	306
electoral	elector	electoral
college	colleg	college
votes	vote	vote
.	.	.

I	i	I
wasn	wasn	wasn
t	t	t
supposed	suppos	supposed
to	to	to
get	get	get
222	222	222
.	.	.

They	they	They
said	said	said
there	there	there
s	s	s
no	no	no
way	way	way
to	to	to
get	get	get
222	222	222
.	.	.

230	230	230
is	is	is
impossible	imposs	impossible
.	.	.

270	270	270
,	,	,
which	which	which
you	you	you
need	need	need
that	that	that
was	was	wa
laughable	laughabl	laughable
.	.	.

We	we	We
got	got	got
306	306	306
.	.	.

Because	becaus	Because
people	peopl	people
came	came	came
out	out	out
and	and	and
voted	vote	voted
like	like	like
they	they	they
have	have	have
never	never	never
seen	seen	seen
before	befor	before
.	.	.

So	so	So
that	that	that
s	s	s
the	the	the
it	it	it
goes	goe	go
.	.	.

I	i	I
guess	guess	guess
it	it	it
was	was	wa
the	the	the
biggest	biggest	biggest
electoral	elector	electoral
college	colleg	college
win	win	win
since	sinc	since
Ronald	ronald	Ronald
Reagan	reagan	Reagan
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
the	the	the
media	media	medium
is	is	is
trying	tri	trying
to	to	to
attack	attack	attack
our	our	our
administration	administr	administration
because	becaus	because
they	they	they
know	know	know
we	we	we
are	are	are
following	follow	following
through	through	through
on	on	on
pledges	pledg	pledge
that	that	that
we	we	we
made	made	made
,	,	,
and	and	and
they	they	they
are	are	are
not	not	not
happy	happi	happy
about	about	about
it	it	it
for	for	for
whatever	whatev	whatever
reason	reason	reason
.	.	.
Trump	trump	Trump
s	s	s
press	press	press
conference	confer	conference
was	was	wa
a	a	a
dumpster	dumpster	dumpster
fire	fire	fire
of	of	of
lies	lie	lie
.	.	.

And	and	And
NBC	nbc	NBC
reporter	report	reporter
Peter	peter	Peter
Alexander	alexand	Alexander
stepped	step	stepped
up	up	up
to	to	to
the	the	the
plate	plate	plate
and	and	and
called	call	called
Trump	trump	Trump
out	out	out
.	.	.

You	you	You
said	said	said
today	today	today
that	that	that
you	you	you
had	had	had
the	the	the
biggest	biggest	biggest
electoral	elector	electoral
margin	margin	margin
since	sinc	since
Ronald	ronald	Ronald
Reagan	reagan	Reagan
,	,	,
Alexander	alexand	Alexander
began	began	began
.	.	.

He	he	He
then	then	then
proceeded	proceed	proceeded
to	to	to
list	list	list
President	presid	President
Obama	obama	Obama
s	s	s
two	two	two
electoral	elector	electoral
victories	victori	victory
which	which	which
were	were	were
far	far	far
bigger	bigger	bigger
than	than	than
Trump	trump	Trump
s	s	s
in	in	in
2016	2016	2016
.	.	.
Trump	trump	Trump
then	then	then
claimed	claim	claimed
that	that	that
he	he	he
was	was	wa
talking	talk	talking
about	about	about
Republican	republican	Republican
presidential	presidenti	presidential
wins	win	win
.	.	.
Overall	overal	Overall
,	,	,
Trump	trump	Trump
s	s	s
win	win	win
is	is	is
one	one	one
of	of	of
the	the	the
smallest	smallest	smallest
on	on	on
record	record	record
and	and	and
he	he	he
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
nearly	near	nearly
three	three	three
million	million	million
votes	vote	vote
.	.	.
Faced	face	Faced
with	with	with
the	the	the
facts	fact	fact
and	and	and
caught	caught	caught
in	in	in
a	a	a
lie	lie	lie
,	,	,
Trump	trump	Trump
was	was	wa
asked	ask	asked
Why	whi	Why
should	should	should
Americans	american	Americans
trust	trust	trust
you	you	you
?	?	?

Trump	trump	Trump
claimed	claim	claimed
that	that	that
he	he	he
was	was	wa
given	given	given
the	the	the
information	inform	information
,	,	,
suggesting	suggest	suggesting
that	that	that
he	he	he
was	was	wa
just	just	just
reading	read	reading
remarks	remark	remark
that	that	that
someone	someon	someone
told	told	told
him	him	him
to	to	to
read	read	read
.	.	.
Alexander	alexand	Alexander
repeated	repeat	repeated
his	his	his
question	question	question
and	and	and
added	ad	added
to	to	to
it	it	it
.	.	.

Why	whi	Why
should	should	should
Americans	american	Americans
trust	trust	trust
you	you	you
when	when	when
you	you	you
accuse	accus	accuse
the	the	the
information	inform	information
they	they	they
receive	receiv	receive
as	as	a
being	be	being
fake	fake	fake
when	when	when
you	you	you
re	re	re
providing	provid	providing
information	inform	information
that	that	that
s	s	s
fake	fake	fake
?	?	?

he	he	he
asked	ask	asked
.	.	.
All	all	All
Trump	trump	Trump
could	could	could
say	say	say
in	in	in
response	respons	response
was	was	wa
I	i	I
don	don	don
t	t	t
know	know	know
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Clearly	clear	Clearly
,	,	,
Donald	donald	Donald
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
know	know	know
how	how	how
to	to	to
do	do	do
anything	anyth	anything
except	except	except
lie	lie	lie
.	.	.

And	and	And
this	this	this
is	is	is
why	whi	why
we	we	we
have	have	have
a	a	a
free	free	free
press	press	press
to	to	to
call	call	call
him	him	him
out	out	out
for	for	for
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot

