Watch	watch	Watch
Juan	juan	Juan
Williams	william	Williams
make	make	make
several	sever	several
attempts	attempt	attempt
to	to	to
shame	shame	shame
Fox	fox	Fox
Five	five	Five
host	host	host
,	,	,
Kimberly	kimber	Kimberly
Guilfoyle	guilfoyl	Guilfoyle
for	for	for
speaking	speak	speaking
out	out	out
against	against	against
Obama	obama	Obama
s	s	s
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
race	race	race
war	war	war
in	in	in
America	america	America
.	.	.

Once	onc	Once
he	he	he
realizes	realiz	realizes
he	he	he
s	s	s
losing	lose	losing
the	the	the
argument	argument	argument
,	,	,
he	he	he
attempts	attempt	attempt
to	to	to
berate	berat	berate
her	her	her
,	,	,
telling	tell	telling
her	her	her
she	she	she
is	is	is
uncomfortable	uncomfort	uncomfortable
about	about	about
being	be	being
a	a	a
racist	racist	racist
.	.	.

His	his	His
horrible	horribl	horrible
accusation	accus	accusation
is	is	is
followed	follow	followed
up	up	up
brilliantly	brilliant	brilliantly
when	when	when
Guilfoyle	guilfoyl	Guilfoyle
responds	respond	responds
by	by	by
asking	ask	asking
,	,	,
Why	whi	Why
would	would	would
I	i	I
be	be	be
uncomfortable	uncomfort	uncomfortable
about	about	about
it	it	it
racism	racism	racism
as	as	a
a	a	a
Puerto	puerto	Puerto
Rican	rican	Rican
woman	woman	woman
?	?	?

A	a	A
heated	heat	heated
exchange	exchang	exchange
on	on	on
the	the	the
subject	subject	subject
of	of	of
identity	ident	identity
politics	polit	politics
took	took	took
place	place	place
on	on	on
The	the	The
Five	five	Five
between	between	between
,	,	,
Kim	kim	Kim
Guilfoyle	guilfoyl	Guilfoyle
accused	accus	accused
co	co	co
-host	-host	-host
Juan	juan	Juan
Williams	william	Williams
of	of	of
becoming	becom	becoming
infamous	infam	infamous
and	and	and
also	also	also
ridiculous	ridicul	ridiculous
because	becaus	because
you	you	you
put	put	put
words	word	word
in	in	in
people	peopl	people
s	s	s
mouths	mouth	mouth
.	.	.

Guilfoyle	guilfoyl	Guilfoyle
,	,	,
praising	prais	praising
a	a	a
commencement	commenc	commencement
speech	speech	speech
by	by	by
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Clarence	clarenc	Clarence
Thomas	thoma	Thomas
,	,	,
said	said	said
,	,	,
I	i	I
like	like	like
his	his	his
emphasis	emphasi	emphasis
on	on	on
faith	faith	faith
and	and	and
belief	belief	belief
.	.	.

Because	becaus	Because
in	in	in
my	my	my
personal	person	personal
opinion	opinion	opinion
,	,	,
the	the	the
past	past	past
eight	eight	eight
years	year	year
,	,	,
we	we	we
have	have	have
seen	seen	seen
under	under	under
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
they	they	they
have	have	have
used	use	used
class	class	class
warfare	warfar	warfare
and	and	and
race	race	race
and	and	and
envy	envi	envy
to	to	to
divide	divid	divide
the	the	the
nation	nation	nation
.	.	.

They	they	They
have	have	have
,	,	,
and	and	and
communities	communiti	community
when	when	when
you	you	you
see	see	see
Ferguson	ferguson	Ferguson
and	and	and
other	other	other
places	place	place
Oh	oh	Oh
,	,	,
I	i	I
see	see	see
.	.	.

President	presid	President
Obama	obama	Obama
did	did	did
Ferguson	ferguson	Ferguson
?	?	?

Williams	william	Williams
interjected	interject	interjected
.	.	.
https://youtu.be/3bRrDyacnP0	https://youtu.be/3brrdyacnp0	https://youtu.be/3bRrDyacnP0
Their	their	Their
exchange	exchang	exchange
continued	continu	continued
KG	kg	KG
I	i	I
didn	didn	didn
t	t	t
say	say	say
that	that	that
,	,	,
Juan	juan	Juan
.	.	.

And	and	And
you	you	you
re	re	re
really	realli	really
become	becom	become
infamous	infam	infamous
and	and	and
also	also	also
ridiculous	ridicul	ridiculous
because	becaus	because
you	you	you
JW	jw	JW
Because	becaus	Because
that	that	that
was	was	wa
a	a	a
ridiculous	ridicul	ridiculous
statement	statement	statement
.	.	.
KG	kg	KG
You	you	You
put	put	put
words	word	word
in	in	in
people	peopl	people
s	s	s
mouth	mouth	mouth
and	and	and
you	you	you
paraphrase	paraphras	paraphrase
JW	jw	JW
I	i	I
didn	didn	didn
t	t	t
say	say	say
You	you	You
said	said	said
President	presid	President
Obama	obama	Obama
,	,	,
Ferguson	ferguson	Ferguson
.	.	.
KG	kg	KG
I	i	I
didn	didn	didn
t	t	t
say	say	say
that	that	that
.	.	.

I	i	I
said	said	said
the	the	the
administration	administr	administration
.	.	.
JW	jw	JW
OkayKG	okaykg	OkayKG
And	and	And
it	it	it
s	s	s
true	true	true
.	.	.

Under	under	Under
Eric	eric	Eric
Holder	holder	Holder
and	and	and
the	the	the
Injustice	injustic	Injustice
Department	depart	Department
.	.	.
JW	jw	JW
Whoo	whoo	Whoo
.	.	.
KG	kg	KG
This	this	This
is	is	is
part	part	part
and	and	and
parcel	parcel	parcel
for	for	for
what	what	what
happened	happen	happened
across	across	across
this	this	this
country	countri	country
.	.	.

We	we	We
did	did	did
not	not	not
come	come	come
closer	closer	closer
together	togeth	together
as	as	a
a	a	a
country	countri	country
.	.	.

We	we	We
became	becam	became
more	more	more
divided	divid	divided
.	.	.

And	and	And
there	there	there
was	was	wa
more	more	more
loss	loss	loss
of	of	of
life	life	life
and	and	and
destruction	destruct	destruction
of	of	of
property	properti	property
from	from	from
that	that	that
race	race	race
and	and	and
identity	ident	identity
politicsJW	politicsjw	politicsJW
I	i	I
see	see	see
,	,	,
because	becaus	because
people	peopl	people
speak	speak	speak
out	out	out
against	against	against
injustice	injustic	injustice
,	,	,
you	you	you
don	don	don
t	t	t
like	like	like
it	it	it
and	and	and
it	it	it
makes	make	make
you	you	you
uncomfortable	uncomfort	uncomfortable
.	.	.
KG	kg	KG
Well	well	Well
,	,	,
it	it	it
s	s	s
no	no	no
it	it	it
doesn	doesn	doesn
t	t	t
make	make	make
me	me	me
uncomfortable	uncomfort	uncomfortable
.	.	.
JW	jw	JW
You	you	You
have	have	have
to	to	to
deal	deal	deal
with	with	with
reality	realiti	reality
.	.	.
KG	kg	KG
No	no	No
.	.	.
I	i	I
do	do	do
deal	deal	deal
with	with	with
reality	realiti	reality
.	.	.

The	the	The
bottom	bottom	bottom
line	line	line
is	is	is
they	they	they
fostered	foster	fostered
an	an	an
environment	environ	environment
that	that	that
was	was	wa
violence	violenc	violence
and	and	and
that	that	that
was	was	wa
not	not	not
something	someth	something
that	that	that
brought	brought	brought
people	peopl	people
together	togeth	together
.	.	.

Instead	instead	Instead
of	of	of
using	use	using
the	the	the
opportunity	opportun	opportunity
as	as	a
president	presid	president
to	to	to
bring	bring	bring
people	peopl	people
together	togeth	together
and	and	and
blur	blur	blur
race	race	race
and	and	and
gender	gender	gender
lines	line	line
it	it	it
was	was	wa
more	more	more
about	about	about
divisiveness	divis	divisiveness
JW	jw	JW
Oh	oh	Oh
,	,	,
I	i	I
see	see	see
you	you	you
want	want	want
to	to	to
blur	blur	blur
race	race	race
and	and	and
gender	gender	gender
when	when	when
it	it	it
makes	make	make
you	you	you
uncomfortable	uncomfort	uncomfortable
,	,	,
KimberlyKG	kimberlykg	KimberlyKG
I	i	I
m	m	m
not	not	not
uncomfortable	uncomfort	uncomfortable
by	by	by
it	it	it
at	at	at
all	all	all
.	.	.

I	i	I
m	m	m
not	not	not
uncomfortable	uncomfort	uncomfortable
by	by	by
it	it	it
at	at	at
all	all	all
.	.	.
JW	jw	JW
People	peopl	People
in	in	in
this	this	this
country	countri	country
who	who	who
have	have	have
to	to	to
live	live	live
with	with	with
police	polic	police
aggression	aggress	aggression
KG	kg	KG
Why	whi	Why
would	would	would
I	i	I
be	be	be
uncomfortable	uncomfort	uncomfortable
with	with	with
that	that	that
as	as	a
a	a	a
Puerto	puerto	Puerto
Rican	rican	Rican
woman	woman	woman
?	?	?

The	the	The
only	onli	only
way	way	way
to	to	to
blur	blur	blur
race	race	race
and	and	and
gender	gender	gender
is	is	is
with	with	with
alcohol	alcohol	alcohol
!	!	!

Greg	greg	Greg
Gutfeld	gutfeld	Gutfeld
burst	burst	burst
in	in	in
,	,	,
bringing	bring	bringing
the	the	the
heated	heat	heated
exchange	exchang	exchange
to	to	to
a	a	a
landing	land	landing
.	.	.

Everybody	everybodi	Everybody
just	just	just
go	go	go
out	out	out
and	and	and
get	get	get
drunk	drunk	drunk
.	.	.

Via	via	Via
Mediatate	mediat	Mediatate
YouTube	youtub	YouTube

