Newt	newt	Newt
Gingrich	gingrich	Gingrich
has	has	ha
been	been	been
one	one	one
of	of	of
Donald	donald	Donald
Trump	trump	Trump
s	s	s
most	most	most
vocal	vocal	vocal
cheerleaders	cheerlead	cheerleader
,	,	,
but	but	but
in	in	in
a	a	a
new	new	new
book	book	book
,	,	,
he	he	he
threw	threw	threw
his	his	his
President	presid	President
under	under	under
the	the	the
bus	bus	bus
by	by	by
revealing	reveal	revealing
the	the	the
real	real	real
reason	reason	reason
Trump	trump	Trump
ran	ran	ran
for	for	for
President	presid	President
,	,	,
and	and	and
it	it	it
s	s	s
far	far	far
worse	wors	worse
than	than	than
you	you	you
think	think	think
.	.	.
Trump	trump	Trump
clearly	clear	clearly
thinks	think	think
the	the	the
presidency	presid	presidency
is	is	is
a	a	a
toy	toy	toy
that	that	that
he	he	he
could	could	could
buy	buy	buy
because	becaus	because
it	it	it
s	s	s
more	more	more
fun	fun	fun
than	than	than
buying	buy	buying
a	a	a
yacht	yacht	yacht
.	.	.
His	his	His
response	respons	response
was	was	wa
priceless	priceless	priceless
,	,	,
Gingrich	gingrich	Gingrich
writes	write	writes
in	in	in
Understanding	understand	Understanding
Trump	trump	Trump
,	,	,
in	in	in
an	an	an
excerpt	excerpt	excerpt
published	publish	published
by	by	by
ABC	abc	ABC
News	news	News
on	on	on
Sunday	sunday	Sunday
.	.	.
After	after	After
a	a	a
moment	moment	moment
of	of	of
thought	thought	thought
,	,	,
he	he	he
said	said	said
,	,	,
70	70	70
million	million	million
to	to	to
80	80	80
million	million	million
that	that	that
would	would	would
be	be	be
a	a	a
yacht	yacht	yacht
.	.	.
This	this	This
would	would	would
be	be	be
a	a	a
lot	lot	lot
more	more	more
fun	fun	fun
than	than	than
a	a	a
yacht	yacht	yacht
!	!	!
He	he	He
also	also	also
noted	note	noted
how	how	how
Trump	trump	Trump
ran	ran	ran
his	his	his
campaign	campaign	campaign
like	like	like
a	a	a
corporation	corpor	corporation
ahead	ahead	ahead
of	of	of
schedule	schedul	schedule
and	and	and
under	under	under
budget	budget	budget
.	.	.
Describing	describ	Describing
a	a	a
phone	phone	phone
conversation	convers	conversation
he	he	he
had	had	had
with	with	with
Trump	trump	Trump
after	after	after
the	the	the
South	south	South
Carolina	carolina	Carolina
primary	primari	primary
in	in	in
February	februari	February
2016	2016	2016
,	,	,
Gingrich	gingrich	Gingrich
said	said	said
the	the	the
