Donald	donald	Donald
Trump	trump	Trump
has	has	ha
been	been	been
making	make	making
racist	racist	racist
comments	comment	comment
about	about	about
the	the	the
Hispanic	hispan	Hispanic
population	popul	population
since	sinc	since
the	the	the
beginning	begin	beginning
of	of	of
his	his	his
campaign	campaign	campaign
,	,	,
and	and	and
no	no	no
matter	matter	matter
how	how	how
much	much	much
heat	heat	heat
he	he	he
gets	get	get
for	for	for
it	it	it
,	,	,
it	it	it
s	s	s
becoming	becom	becoming
clear	clear	clear
that	that	that
he	he	he
has	has	ha
absolutely	absolut	absolutely
no	no	no
intention	intent	intention
of	of	of
stopping	stop	stopping
.	.	.
This	this	This
afternoon	afternoon	afternoon
,	,	,
Trump	trump	Trump
made	made	made
yet	yet	yet
another	anoth	another
racist	racist	racist
joke	joke	joke
about	about	about
Mexicans	mexican	Mexicans
,	,	,
and	and	and
it	it	it
s	s	s
just	just	just
as	as	a
disrespectful	disrespect	disrespectful
and	and	and
disgusting	disgust	disgusting
as	as	a
his	his	his
comments	comment	comment
about	about	about
Mexican	mexican	Mexican
immigrants	immigr	immigrant
being	be	being
rapists	rapist	rapist
and	and	and
drug	drug	drug
dealers	dealer	dealer
.	.	.
At	at	At
his	his	his
rally	ralli	rally
in	in	in
Manchester	manchest	Manchester
,	,	,
New	new	New
Hampshire	hampshir	Hampshire
,	,	,
Trump	trump	Trump
made	made	made
a	a	a
truly	truli	truly
distasteful	distast	distasteful
joke	joke	joke
when	when	when
his	his	his
speech	speech	speech
was	was	wa
momentarily	momentarili	momentarily
interrupted	interrupt	interrupted
by	by	by
a	a	a
plane	plane	plane
flying	fli	flying
overhead	overhead	overhead
.	.	.
Trump	trump	Trump
had	had	had
just	just	just
been	been	been
gushing	gush	gushing
about	about	about
how	how	how
Mexico	mexico	Mexico
s	s	s
leaders	leader	leader
were	were	were
so	so	so
much	much	much
smarter	smarter	smarter
than	than	than
America	america	America
s	s	s
clearly	clear	clearly
taking	take	taking
a	a	a
swipe	swipe	swipe
at	at	at
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
when	when	when
he	he	he
was	was	wa
suddenly	sudden	suddenly
inspired	inspir	inspired
by	by	by
the	the	the
plane	plane	plane
.	.	.
He	he	He
began	began	began
I	i	I
respect	respect	respect
Mexico	mexico	Mexico
,	,	,
and	and	and
I	i	I
respect	respect	respect
their	their	their
leaders	leader	leader
.	.	.
What	what	What
they	they	they
ve	ve	ve
done	done	done
to	to	to
us	us	u
is	is	is
incredible	incred	incredible
.	.	.
Their	their	Their
leaders	leader	leader
are	are	are
so	so	so
much	much	much
smarter	smarter	smarter
,	,	,
so	so	so
much	much	much
sharper	sharper	sharper
,	,	,
and	and	and
it	it	it
s	s	s
incredible	incred	incredible
.	.	.
As	as	As
the	the	the
plane	plane	plane
went	went	went
by	by	by
,	,	,
Trump	trump	Trump
pointed	point	pointed
up	up	up
at	at	at
the	the	the
plane	plane	plane
and	and	and
joked	joke	joked
In	in	In
fact	fact	fact
,	,	,
that	that	that
could	could	could
be	be	be
a	a	a
Mexican	mexican	Mexican
plane	plane	plane
up	up	up
there	there	there
,	,	,
they	they	they
re	re	re
getting	get	getting
ready	readi	ready
to	to	to
attack	attack	attack
.	.	.
Barely	bare	Barely
anyone	anyon	anyone
laughed	laugh	laughed
and	and	and
Trump	trump	Trump
got	got	got
on	on	on
with	with	with
his	his	his
speech	speech	speech
,	,	,
having	have	having
completed	complet	completed
his	his	his
task	task	task
of	of	of
assuring	assur	assuring
America	america	America
that	that	that
he	he	he
will	will	will
always	alway	always
be	be	be
a	a	a
bigot	bigot	bigot
,	,	,
no	no	no
matter	matter	matter
how	how	how
much	much	much
backlash	backlash	backlash
he	he	he
receives	receiv	receives
for	for	for
it	it	it
.	.	.
You	you	You
can	can	can
watch	watch	watch
Trump	trump	Trump
reignite	reignit	reignite
his	his	his
love	love	love
for	for	for
racism	racism	racism
and	and	and
xenophobia	xenophobia	xenophobia
in	in	in
the	the	the
video	video	video
below	below	below
,	,	,
via	via	via
NBC	nbc	NBC
News	news	News
Video	video	Video
Trump	trump	Trump
sees	see	see
a	a	a
plane	plane	plane
overhead	overhead	overhead
,	,	,
says	say	say
That	that	That
could	could	could
be	be	be
a	a	a
Mexican	mexican	Mexican
plane	plane	plane
up	up	up
there	there	there
they	they	they
re	re	re
getting	get	getting
ready	readi	ready
to	to	to
attack	attack	attack
.	.	.
https://t.co/ryWXqnrMgx	https://t.co/rywxqnrmgx	https://t.co/ryWXqnrMgx
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
June	june	June
30	30	30
,	,	,
2016One	2016one	2016One
thing	thing	thing
is	is	is
for	for	for
sure	sure	sure
if	if	if
Trump	trump	Trump
becomes	becom	becomes
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
the	the	the
leaders	leader	leader
of	of	of
Mexico	mexico	Mexico
that	that	that
Trump	trump	Trump
has	has	ha
praised	prais	praised
so	so	so
much	much	much
won	won	won
t	t	t
be	be	be
returning	return	returning
the	the	the
favor	favor	favor
.	.	.
Thanks	thank	Thanks
to	to	to
his	his	his
racist	racist	racist
comments	comment	comment
and	and	and
his	his	his
offensive	offens	offensive
border	border	border
wall	wall	wall
which	which	which
he	he	he
insisted	insist	insisted
Mexico	mexico	Mexico
is	is	is
going	go	going
to	to	to
pay	pay	pay
for	for	for
,	,	,
the	the	the
former	former	former
President	presid	President
of	of	of
Mexico	mexico	Mexico
Vicente	vicent	Vicente
Fox	fox	Fox
HATES	hate	HATES
Trump	trump	Trump
with	with	with
a	a	a
passion	passion	passion
and	and	and
hasn	hasn	hasn
t	t	t
been	been	been
shy	shi	shy
about	about	about
it	it	it
.	.	.
Surely	sure	Surely
,	,	,
he	he	he
can	can	can
t	t	t
be	be	be
the	the	the
only	onli	only
leader	leader	leader
in	in	in
Mexico	mexico	Mexico
that	that	that
feels	feel	feel
this	this	this
way	way	way
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Jeff	jeff	Jeff
J	j	J
Mitchell	mitchel	Mitchell
Getty	getti	Getty
Images	imag	Images
