Token	Stem	Lemma
Are	are	Are
police	polic	police
officers	offic	officer
finally	final	finally
getting	get	getting
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
walking	walk	walking
around	around	around
on	on	on
eggshells	eggshel	eggshell
while	while	while
being	be	being
disrespected	disrespect	disrespected
and	and	and
abused	abus	abused
by	by	by
the	the	the
Obama	obama	Obama
-Soros	-soro	-Soros
F	f	F
ck	ck	ck
The	the	The
Police	polic	Police
crowds	crowd	crowd
It	it	It
s	s	s
good	good	good
to	to	to
see	see	see
our	our	our
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
actually	actual	actually
doing	do	doing
what	what	what
they	they	they
re	re	re
paid	paid	paid
to	to	to
do	do	do
without	without	without
coddling	coddl	coddling
Bernie	berni	Bernie
and	and	and
Hillary	hillari	Hillary
s	s	s
basement	basement	basement
dwellers	dweller	dweller
Watch	watch	Watch
Protesters	protest	Protesters
outside	outsid	outside
Trump	trump	Trump
rally	ralli	rally
start	start	start
to	to	to
attack	attack	attack
SD	sd	SD
police	polic	police
officers	offic	officer
who	who	who
hit	hit	hit
back	back	back
pic.twitter.com/4bSZHVQAck	pic.twitter.com/4bszhvqack	pic.twitter.com/4bSZHVQAck
Jacob	jacob	Jacob
Rascon	rascon	Rascon
@Jacobnbc	@jacobnbc	@Jacobnbc
May	may	May
27	27	27
2016Here	2016here	2016Here
s	s	s
a	a	a
video	video	video
of	of	of
a	a	a
F	f	F
ck	ck	ck
Trump	trump	Trump
sign	sign	sign
carrier	carrier	carrier
who	who	who
was	was	wa
pepper	pepper	pepper
sprayed	spray	sprayed
by	by	by
police	polic	police
Watch	watch	Watch
the	the	the
black	black	black
man	man	man
near	near	near
the	the	the
end	end	end
of	of	of
the	the	the
video	video	video
ask	ask	ask
her	her	her
Was	was	Was
it	it	it
worth	worth	worth
it	it	it
Watch	watch	Watch
Protester	protest	Protester
tries	tri	try
to	to	to
recover	recov	recover
after	after	after
she	she	she
is	is	is
pepper	pepper	pepper
sprayed	spray	sprayed
in	in	in
the	the	the
face	face	face
by	by	by
a	a	a
SWAT	swat	SWAT
officer	offic	officer
pic.twitter.com/9nocgenykr	pic.twitter.com/9nocgenykr	pic.twitter.com/9nocgenykr
Jacob	jacob	Jacob
Rascon	rascon	Rascon
@Jacobnbc	@jacobnbc	@Jacobnbc
May	may	May
28	28	28
2016Here	2016here	2016Here
is	is	is
a	a	a
great	great	great
time	time	time
lapse	laps	lapse
video	video	video
of	of	of
thousands	thousand	thousand
of	of	of
Trump	trump	Trump
fans	fan	fan
lined	line	lined
up	up	up
to	to	to
get	get	get
into	into	into
his	his	his
San	san	San
Diego	diego	Diego
CA	ca	CA
rally	ralli	rally
It	it	It
s	s	s
interesting	interest	interesting
how	how	how
there	there	there
doesn	doesn	doesn
t	t	t
appear	appear	appear
to	to	to
be	be	be
a	a	a
single	singl	single
act	act	act
of	of	of
violence	violenc	violence
anywhere	anywher	anywhere
in	in	in
this	this	this
video	video	video
Time	time	Time
