Brace	brace	Brace
yourself	yourself	yourself
for	for	for
this	this	this
,	,	,
folks	folk	folk
.	.	.
Trump	trump	Trump
foreign	foreign	foreign
policy	polici	policy
adviser	advis	adviser
Michele	michel	Michele
Bachmann	bachmann	Bachmann
has	has	ha
just	just	just
returned	return	returned
from	from	from
Jesusland	jesusland	Jesusland
,	,	,
that	that	that
little	littl	little
imaginary	imaginari	imaginary
country	countri	country
that	that	that
exists	exist	exists
in	in	in
her	her	her
head	head	head
where	where	where
her	her	her
brain	brain	brain
should	should	should
be	be	be
,	,	,
with	with	with
some	some	some
dire	dire	dire
news	news	news
.	.	.
Apparently	appar	Apparently
,	,	,
Supreme	suprem	Supreme
Overlord	overlord	Overlord
God	god	God
Jergenson	jergenson	Jergenson
we	we	we
assume	assum	assume
that	that	that
s	s	s
his	his	his
last	last	last
name	name	name
anyway	anyway	anyway
is	is	is
giving	give	giving
the	the	the
people	peopl	people
of	of	of
the	the	the
United	unit	United
States	state	States
a	a	a
choice	choic	choice
between	between	between
life	life	life
and	and	and
death	death	death
this	this	this
election	elect	election
,	,	,
Trump	trump	Trump
or	or	or
Clinton	clinton	Clinton
and	and	and
if	if	if
we	we	we
don	don	don
t	t	t
choose	choos	choose
life	life	life
,	,	,
well	well	well
,	,	,
there	there	there
just	just	just
won	won	won
t	t	t
be	be	be
anymore	anymor	anymore
elections	elect	election
.	.	.
Well	well	Well
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
be	be	be
melodramatic	melodramat	melodramatic
but	but	but
I	i	I
do	do	do
want	want	want
to	to	to
be	be	be
truthful	truth	truthful
,	,	,
Bachmann	bachmann	Bachmann
says	say	say
melodramatically	melodramat	melodramatically
in	in	in
an	an	an
interview	interview	interview
with	with	with
the	the	the
Christian	christian	Christian
Broadcasting	broadcast	Broadcasting
Network	network	Network
.	.	.
I	i	I
believe	believ	believe
without	without	without
a	a	a
shadow	shadow	shadow
of	of	of
a	a	a
doubt	doubt	doubt
this	this	this
is	is	is
the	the	the
last	last	last
election	elect	election
.	.	.
This	this	This
is	is	is
it	it	it
.	.	.
This	this	This
is	is	is
the	the	the
last	last	last
election	elect	election
.	.	.
And	and	And
the	the	the
reason	reason	reason
why	whi	why
I	i	I
say	say	say
that	that	that
David	david	David
is	is	is
because	becaus	because
it	it	it
s	s	s
a	a	a
math	math	math
problem	problem	problem
,	,	,
Bachmann	bachmann	Bachmann
tells	tell	tell
interviewer	interview	interviewer
David	david	David
Brody	brodi	Brody
.	.	.
It	it	It
s	s	s
a	a	a
math	math	math
problem	problem	problem
of	of	of
demographics	demograph	demographic
and	and	and
a	a	a
changing	chang	changing
United	unit	United
States	state	States
.	.	.
If	if	If
you	you	you
look	look	look
at	at	at
the	the	the
numbers	number	number
of	of	of
people	peopl	people
who	who	who
vote	vote	vote
and	and	and
who	who	who
lives	live	life
in	in	in
the	the	the
country	countri	country
and	and	and
who	who	who
Barack	barack	Barack
Obama	obama	Obama
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
want	want	want
to	to	to
bring	bring	bring
in	in	in
to	to	to
the	the	the
country	countri	country
,	,	,
this	this	this
is	is	is
the	the	the
last	last	last
election	elect	election
when	when	when
we	we	we
even	even	even
have	have	have
a	a	a
chance	chanc	chance
to	to	to
vote	vote	vote
for	for	for
somebody	somebodi	somebody
who	who	who
will	will	will
stand	stand	stand
up	up	up
for	for	for
godly	god	godly
moral	moral	moral
principles	principl	principle
.	.	.
This	this	This
is	is	is
it	it	it
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
I	i	I
m	m	m
not	not	not
judging	judg	judging
her	her	her
spiritually	spiritu	spiritually
or	or	or
where	where	where
she	she	she
is	is	is
at	at	at
but	but	but
we	we	we
know	know	know
where	where	where
she	she	she
s	s	s
going	go	going
to	to	to
come	come	come
down	down	down
on	on	on
Supreme	suprem	Supreme
Court	court	Court
justices	justic	justice
,	,	,
she	she	she
s	s	s
pro	pro	pro
-Planned	-plan	-Planned
Parenthood	parenthood	Parenthood
.	.	.
She	she	She
s	s	s
for	for	for
everything	everyth	everything
I	i	I
m	m	m
against	against	against
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
very	veri	very
clear	clear	clear
.	.	.
We	we	We
ve	ve	ve
got	got	got
a	a	a
day	day	day
and	and	and
night	night	night
contrast	contrast	contrast
,	,	,
Bachmann	bachmann	Bachmann
says	say	say
.	.	.
And	and	And
,	,	,
of	of	of
course	cours	course
,	,	,
she	she	she
s	s	s
right	right	right
.	.	.
Where	where	Where
Clinton	clinton	Clinton
is	is	is
a	a	a
classy	classi	classy
,	,	,
intelligent	intellig	intelligent
,	,	,
grounded	ground	grounded
,	,	,
sane	sane	sane
human	human	human
being	be	being
,	,	,
Bachmann	bachmann	Bachmann
is	is	is
a	a	a
vapid	vapid	vapid
mess	mess	mess
of	of	of
a	a	a
person	person	person
who	who	who
thinks	think	think
The	the	The
Lion	lion	Lion
King	king	King
was	was	wa
gay	gay	gay
propaganda	propaganda	propaganda
and	and	and
the	the	the
Founding	found	Founding
Fathers	father	Fathers
ended	end	ended
slavery	slaveri	slavery
yes	yes	yes
,	,	,
seriously	serious	seriously
.	.	.
Bachmann	bachmann	Bachmann
says	say	say
she	she	she
knows	know	know
Trump	trump	Trump
can	can	can
be	be	be
a	a	a
bit	bit	bit
crude	crude	crude
but	but	but
urges	urg	urge
people	peopl	people
to	to	to
get	get	get
over	over	over
it	it	it
because	becaus	because
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
pure	pure	pure
evil	evil	evil
This	this	This
isn	isn	isn
t	t	t
even	even	even
close	close	close
between	between	between
what	what	what
Donald	donald	Donald
Trump	trump	Trump
stands	stand	stand
for	for	for
and	and	and
espouses	espous	espouses
and	and	and
what	what	what
Hillary	hillari	Hillary
Clinton	clinton	Clinton
stands	stand	stand
for	for	for
and	and	and
espouses	espous	espouses
.	.	.
People	peopl	People
look	look	look
at	at	at
Trump	trump	Trump
and	and	and
he	he	he
can	can	can
be	be	be
coarse	coars	coarse
and	and	and
a	a	a
little	littl	little
crude	crude	crude
and	and	and
all	all	all
the	the	the
rest	rest	rest
and	and	and
I	i	I
say	say	say
,	,	,
Get	get	Get
over	over	over
it	it	it
!	!	!
Get	get	Get
over	over	over
it	it	it
because	becaus	because
what	what	what
he	he	he
is	is	is
going	go	going
to	to	to
do	do	do
is	is	is
uphold	uphold	uphold
religious	religi	religious
liberty	liberti	liberty
and	and	and
advance	advanc	advance
the	the	the
constitutional	constitut	constitutional
republic	republ	republic
that	that	that
our	our	our
founders	founder	founder
gave	gave	gave
us	us	u
.	.	.
According	accord	According
to	to	to
Bachmann	bachmann	Bachmann
,	,	,
Clinton	clinton	Clinton
has	has	ha
said	said	said
herself	herself	herself
that	that	that
she	she	she
is	is	is
going	go	going
to	to	to
grant	grant	grant
wholesale	wholesal	wholesale
amnesty	amnesti	amnesty
to	to	to
people	peopl	people
from	from	from
the	the	the
Third	third	Third
World	world	World
who	who	who
are	are	are
here	here	here
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
She	she	She
says	say	say
that	that	that
the	the	the
projected	project	projected
11	11	11
million	million	million
undocumented	undocu	undocumented
immigrants	immigr	immigrant
in	in	in
the	the	the
United	unit	United
States	state	States
is	is	is
a	a	a
fake	fake	fake
number	number	number
,	,	,
then	then	then
provided	provid	provided
her	her	her
own	own	own
hipper	hipper	hipper
,	,	,
cooler	cooler	cooler
fake	fake	fake
number	number	number
she	she	she
got	got	got
from	from	from
Donald	donald	Donald
Trump	trump	Trump
about	about	about
thirty	thirti	thirty
to	to	to
forty	forti	forty
million	million	million
illegal	illeg	illegal
aliens	alien	alien
currently	current	currently
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
What	what	What
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
ultimate	ultim	ultimate
goal	goal	goal
is	is	is
,	,	,
is	is	is
to	to	to
secure	secur	secure
her	her	her
reelection	reelect	reelection
,	,	,
Bachmann	bachmann	Bachmann
says	say	say
.	.	.
The	the	The
very	veri	very
first	first	first
thing	thing	thing
she	she	she
will	will	will
do	do	do
