21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
says	say	say
It	it	It
appears	appear	appears
that	that	that
Putin	putin	Putin
has	has	ha
had	had	had
enough	enough	enough
with	with	with
being	be	being
accused	accus	accused
of	of	of
tampering	tamper	tampering
with	with	with
the	the	the
US	us	US
election	elect	election
process	process	process
this	this	this
year	year	year
.	.	.

The	the	The
Russian	russian	Russian
President	presid	President
s	s	s
spokesman	spokesman	spokesman
,	,	,
Dmitry	dmitri	Dmitry
Peskov	peskov	Peskov
,	,	,
pointed	point	pointed
out	out	out
that	that	that
it	it	it
was	was	wa
indecent	indec	indecent
of	of	of
the	the	the
US	us	US
to	to	to
accuse	accus	accuse
Russia	russia	Russia
of	of	of
tampering	tamper	tampering
with	with	with
its	it	it
election	elect	election
.	.	.

Remember	rememb	Remember
On	on	On
Thursday	thursday	Thursday
evening	even	evening
CNN	cnn	CNN
reported	report	reported
that	that	that
Barack	barack	Barack
Obama	obama	Obama
vowed	vow	vowed
to	to	to
retaliate	retali	retaliate
against	against	against
Russia	russia	Russia
for	for	for
the	the	the
hack	hack	hack
that	that	that
has	has	ha
not	not	not
been	been	been
verified	verifi	verified
by	by	by
any	ani	any
independent	independ	independent
sources	sourc	source
nor	nor	nor
has	has	ha
it	it	it
provided	provid	provided
a	a	a
shred	shred	shred
of	of	of
evidence	evid	evidence
to	to	to
support	support	support
the	the	the
claim	claim	claim
Tyler	tyler	Tyler
Durden	durden	Durden
Zero	zero	Zero
HedgePutin	hedgeputin	HedgePutin
has	has	ha
had	had	had
enough	enough	enough
of	of	of
the	the	the
relentless	relentless	relentless
barrage	barrag	barrage
of	of	of
US	us	US
accusations	accus	accusation
that	that	that
he	he	he
,	,	,
personally	person	personally
,	,	,
hacked	hack	hacked
the	the	the
US	us	US
presidential	presidenti	presidential
election	elect	election
.	.	.

The	the	The
Russian	russian	Russian
president	presid	president
s	s	s
spokesman	spokesman	spokesman
,	,	,
Dmitry	dmitri	Dmitry
Peskov	peskov	Peskov
,	,	,
said	said	said
on	on	on
Friday	friday	Friday
that	that	that
the	the	the
US	us	US
must	must	must
either	either	either
stop	stop	stop
accusing	accus	accusing
Russia	russia	Russia
of	of	of
meddling	meddl	meddling
in	in	in
its	it	it
elections	elect	election
or	or	or
prove	prove	prove
it	it	it
.	.	.

Peskov	peskov	Peskov
said	said	said
it	it	it
was	was	wa
indecent	indec	indecent
of	of	of
the	the	the
United	unit	United
States	state	States
to	to	to
groundlessly	groundless	groundlessly
accuse	accus	accuse
Russia	russia	Russia
of	of	of
intervention	intervent	intervention
in	in	in
its	it	it
elections	elect	election
.	.	.

You	you	You
need	need	need
to	to	to
either	either	either
stop	stop	stop
talking	talk	talking
about	about	about
it	it	it
,	,	,
or	or	or
finally	final	finally
show	show	show
some	some	some
kind	kind	kind
of	of	of
proof	proof	proof
.	.	.

Otherwise	otherwis	Otherwise
it	it	it
just	just	just
looks	look	look
very	veri	very
indecent	indec	indecent
,	,	,
Peskov	peskov	Peskov
told	told	told
Reporters	report	Reporters
in	in	in
Tokyo	tokyo	Tokyo
where	where	where
Putin	putin	Putin
is	is	is
meeting	meet	meeting
with	with	with
Japan	japan	Japan
PM	pm	PM
Abe	abe	Abe
,	,	,
responding	respond	responding
to	to	to
the	the	the
latest	latest	latest
accusations	accus	accusation
that	that	that
Russia	russia	Russia
was	was	wa
responsible	respons	responsible
for	for	for
hacker	hacker	hacker
attacks	attack	attack
.	.	.
Peskov	peskov	Peskov
also	also	also
warned	warn	warned
that	that	that
Obama	obama	Obama
s	s	s
threat	threat	threat
to	to	to
retaliate	retali	retaliate
to	to	to
the	the	the
alleged	alleg	alleged
Russian	russian	Russian
hack	hack	hack
is	is	is
against	against	against
both	both	both
American	american	American
and	and	and
international	intern	international
law	law	law
,	,	,
hinting	hint	hinting
at	at	at
open	open	open
-ended	-end	-ended
escalation	escal	escalation
should	should	should
Obama	obama	Obama
take	take	take
the	the	the
podium	podium	podium
today	today	today
at	at	at
2	2	2
15pm	15pm	15pm
to	to	to
officially	offici	officially
launch	launch	launch
cyberwar	cyberwar	cyberwar
against	against	against
Russia	russia	Russia
.	.	.
Previously	previous	Previously
,	,	,
on	on	on
Thursday	thursday	Thursday
,	,	,
Peskov	peskov	Peskov
told	told	told
the	the	the
AP	ap	AP
the	the	the
report	report	report
was	was	wa
laughable	laughabl	laughable
nonsense	nonsens	nonsense
,	,	,
while	while	while
Russian	russian	Russian
foreign	foreign	foreign
ministry	ministri	ministry
spox	spox	spox
Maria	maria	Maria
Zakharova	zakharova	Zakharova
accused	accus	accused
Western	western	Western
media	media	medium
of	of	of
being	be	being
a	a	a
shill	shill	shill
and	and	and
a	a	a
mouthpiece	mouthpiec	mouthpiece
of	of	of
various	various	various
power	power	power
groups	group	group
,	,	,
and	and	and
added	ad	added
that	that	that
it	it	it
s	s	s
not	not	not
the	the	the
general	general	general
public	public	public
who	who	who
s	s	s
being	be	being
manipulated	manipul	manipulated
,	,	,
Zakharova	zakharova	Zakharova
said	said	said
.	.	.

the	the	the
general	general	general
public	public	public
nowadays	nowaday	nowadays
can	can	can
distinguish	distinguish	distinguish
the	the	the
truth	truth	truth
.	.	.

It	it	It
s	s	s
the	the	the
mass	mass	mass
media	media	medium
that	that	that
is	is	is
manipulating	manipul	manipulating
themselves	themselv	themselves
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
on	on	on
Friday	friday	Friday
Sergei	sergei	Sergei
Lavrov	lavrov	Lavrov
,	,	,
Russia	russia	Russia
s	s	s
foreign	foreign	foreign
minister	minist	minister
told	told	told
state	state	state
television	televis	television
network	network	network
,	,	,
Russia	russia	Russia
24	24	24
,	,	,
he	he	he
was	was	wa
dumbstruck	dumbstruck	dumbstruck
by	by	by
the	the	the
NBC	nbc	NBC
report	report	report
which	which	which
alleges	alleg	alleges
that	that	that
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
was	was	wa
personally	person	personally
involved	involv	involved
in	in	in
an	an	an
election	elect	election
hack	hack	hack
.	.	.
The	the	The
report	report	report
cited	cite	cited
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
that	that	that
now	now	now
believe	believ	believe
with	with	with
a	a	a
high	high	high
level	level	level
of	of	of
confidence	confid	confidence
that	that	that
Putin	putin	Putin
became	becam	became
personally	person	personally
involved	involv	involved
in	in	in
a	a	a
secret	secret	secret
campaign	campaign	campaign
to	to	to
influence	influenc	influence
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.

I	i	I
think	think	think
this	this	this
is	is	is
just	just	just
silly	silli	silly
,	,	,
and	and	and
the	the	the
futility	futil	futility
of	of	of
the	the	the
attempt	attempt	attempt
to	to	to
convince	convinc	convince
somebody	somebodi	somebody
of	of	of
this	this	this
is	is	is
absolutely	absolut	absolutely
obvious	obvious	obvious
,	,	,
Lavrov	lavrov	Lavrov
added	ad	added
,	,	,
according	accord	according
to	to	to
the	the	the
news	news	news
outlet	outlet	outlet
.	.	.
As	as	As
a	a	a
reminder	remind	reminder
,	,	,
last	last	last
night	night	night
Obama	obama	Obama
vowed	vow	vowed
retaliatory	retaliatori	retaliatory
action	action	action
against	against	against
Russia	russia	Russia
for	for	for
its	it	it
meddling	meddl	meddling
in	in	in
the	the	the
US	us	US
presidential	presidenti	presidential
election	elect	election
last	last	last
month	month	month
.	.	.

I	i	I
think	think	think
there	there	there
is	is	is
no	no	no
doubt	doubt	doubt
that	that	that
when	when	when
any	ani	any
foreign	foreign	foreign
government	govern	government
tries	tri	try
to	to	to
impact	impact	impact
the	the	the
integrity	integr	integrity
of	of	of
our	our	our
elections	elect	election
that	that	that
we	we	we
need	need	need
to	to	to
take	take	take
action	action	action
and	and	and
we	we	we
will	will	will
at	at	at
a	a	a
time	time	time
and	and	and
place	place	place
of	of	of
our	our	our
own	own	own
choosing	choos	choosing
,	,	,
Obama	obama	Obama
told	told	told
National	nation	National
Public	public	Public
Radio	radio	Radio
.	.	.
US	us	US
intelligence	intellig	intelligence
agencies	agenc	agency
in	in	in
October	octob	October
pinned	pin	pinned
blame	blame	blame
on	on	on
Russia	russia	Russia
for	for	for
election	elect	election
-related	-relat	-related
hacking	hack	hacking
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
the	the	the
White	white	White
House	hous	House
vowed	vow	vowed
a	a	a
proportional	proport	proportional
response	respons	response
to	to	to
the	the	the
cyberactivity	cyberact	cyberactivity
,	,	,
though	though	though
declined	declin	declined
to	to	to
preview	preview	preview
what	what	what
that	that	that
response	respons	response
might	might	might
entail	entail	entail
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
both	both	both
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
FBI	fbi	FBI
,	,	,
and	and	and
the	the	the
ODNI	odni	ODNI
have	have	have
dismissed	dismiss	dismissed
the	the	the
CIA	cia	CIA
s	s	s
intelligence	intellig	intelligence
community	communiti	community
s	s	s
assessment	assess	assessment
,	,	,
for	for	for
the	the	the
the	the	the
same	same	same
reason	reason	reason
Putin	putin	Putin
finally	final	finally
lashed	lash	lashed
out	out	out
at	at	at
Obama	obama	Obama
there	there	there
is	is	is
no	no	no
proof	proof	proof
.	.	.
That	that	That
,	,	,
however	howev	however
,	,	,
has	has	ha
never	never	never
stopped	stop	stopped
the	the	the
US	us	US
from	from	from
escalating	escal	escalating
a	a	a
geopolitical	geopolit	geopolitical
conflict	conflict	conflict
to	to	to
the	the	the
point	point	point
of	of	of
war	war	war
,	,	,
or	or	or
beyond	beyond	beyond
,	,	,
so	so	so
pay	pay	pay
close	close	close
attention	attent	attention
to	to	to
what	what	what
Obama	obama	Obama
says	say	say
this	this	this
afternoon	afternoon	afternoon
.	.	.
According	accord	According
to	to	to
an	an	an
NBC	nbc	NBC
report	report	report
,	,	,
a	a	a
team	team	team
of	of	of
analysts	analyst	analyst
at	at	at
Eurasia	eurasia	Eurasia
Group	group	Group
said	said	said
in	in	in
a	a	a
note	note	note
on	on	on
Friday	friday	Friday
that	that	that
they	they	they
believe	believ	believe
the	the	the
outgoing	outgo	outgoing
administration	administr	administration
is	is	is
likely	like	likely
to	to	to
take	take	take
action	action	action
which	which	which
could	could	could
result	result	result
in	in	in
a	a	a
significant	signific	significant
barrier	barrier	barrier
for	for	for
Trump	trump	Trump
s	s	s
team	team	team
once	onc	once
he	he	he
takes	take	take
office	offic	office
in	in	in
January	januari	January
.	.	.

It	it	It
is	is	is
unlikely	unlik	unlikely
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
reports	report	report
will	will	will
change	chang	change
Trump	trump	Trump
s	s	s
intention	intent	intention
to	to	to
initiate	initi	initiate
a	a	a
rapprochement	rapproch	rapprochement
with	with	with
Moscow	moscow	Moscow
,	,	,
but	but	but
the	the	the
congressional	congression	congressional
response	respons	response
following	follow	following
its	it	it
own	own	own
investigations	investig	investigation
could	could	could
obstruct	obstruct	obstruct
the	the	the
new	new	new
administration	administr	administration
s	s	s
effort	effort	effort
,	,	,
Eurasia	eurasia	Eurasia
Group	group	Group
analysts	analyst	analyst
added	ad	added
.	.	.
Continue	continu	Continue
the	the	the
story	stori	story
at	at	at
Zero	zero	Zero
HedgeREAD	hedgeread	HedgeREAD
MORE	more	MORE
MSM	msm	MSM
LIES	lie	LIES
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
MSM	msm	MSM
Watch	watch	Watch
Files	file	Files

