Hello	hello	Hello
America	america	America
Are	are	Are
we	we	we
awake	awak	awake
yet	yet	yet
?	?	?
AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Texas	texa	Texas
Sheriffs	sheriff	Sheriffs
,	,	,
the	the	the
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
,	,	,
and	and	and
experts	expert	expert
in	in	in
immigration	immigr	immigration
related	relat	related
issues	issu	issue
met	met	met
at	at	at
the	the	the
State	state	State
Capitol	capitol	Capitol
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
discuss	discuss	discus
the	the	the
federal	feder	federal
government	govern	government
s	s	s
creation	creation	creation
of	of	of
a	a	a
sanctuary	sanctuari	sanctuary
state	state	state
for	for	for
criminal	crimin	criminal
aliens	alien	alien
through	through	through
its	it	it
Priority	prioriti	Priority
Enforcement	enforc	Enforcement
Program	program	Program
PEP	pep	PEP
.	.	.
Jackson	jackson	Jackson
County	counti	County
Sheriff	sheriff	Sheriff
Aj	aj	Aj
Andy	andi	Andy
Louderback	louderback	Louderback
,	,	,
immediate	immedi	immediate
past	past	past
president	presid	president
of	of	of
the	the	the
Sheriff	sheriff	Sheriff
s	s	s
Association	associ	Association
of	of	of
Texas	texa	Texas
,	,	,
told	told	told
Breitbart	breitbart	Breitbart
Texas	texa	Texas
that	that	that
the	the	the
federal	feder	federal
government	govern	government
s	s	s
PEP	pep	PEP
program	program	program
has	has	ha
created	creat	created
a	a	a
sanctuary	sanctuari	sanctuary
state	state	state
for	for	for
criminal	crimin	criminal
aliens	alien	alien
because	becaus	because
it	it	it
has	has	ha
gutted	gut	gutted
the	the	the
immigration	immigr	immigration
system	system	system
.	.	.

A	a	A
press	press	press
conference	confer	conference
was	was	wa
held	held	held
on	on	on
the	the	the
crisis	crisi	crisis
facing	face	facing
Texas	texa	Texas
that	that	that
was	was	wa
created	creat	created
by	by	by
the	the	the
new	new	new
immigration	immigr	immigration
policies	polici	policy
of	of	of
the	the	the
federal	feder	federal
government	govern	government
.	.	.

The	the	The
sheriffs	sheriff	sheriff
complained	complain	complained
that	that	that
aliens	alien	alien
are	are	are
being	be	being
brought	brought	brought
into	into	into
the	the	the
criminal	crimin	criminal
justice	justic	justice
system	system	system
in	in	in
Texas	texa	Texas
but	but	but
are	are	are
being	be	being
released	releas	released
into	into	into
the	the	the
community	communiti	community
because	becaus	because
of	of	of
the	the	the
federal	feder	federal
policies	polici	policy
.	.	.
In	in	In
the	the	the
past	past	past
,	,	,
ICE	ice	ICE
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
could	could	could
place	place	place
a	a	a
48	48	48
-hour	-hour	-hour
hold	hold	hold
on	on	on
illegal	illeg	illegal
immigrants	immigr	immigrant
when	when	when
they	they	they
were	were	were
wanted	want	wanted
on	on	on
immigration	immigr	immigration
related	relat	related
issues	issu	issue
.	.	.

The	the	The
PEP	pep	PEP
program	program	program
replaced	replac	replaced
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
