Ever	ever	Ever
since	sinc	since
the	the	the
horrific	horrif	horrific
act	act	act
of	of	of
senseless	senseless	senseless
violence	violenc	violence
that	that	that
was	was	wa
perpetuated	perpetu	perpetuated
on	on	on
LGBT	lgbt	LGBT
venue	venu	venue
Pulse	puls	Pulse
Nightclub	nightclub	Nightclub
in	in	in
Orlando	orlando	Orlando
,	,	,
Florida	florida	Florida
,	,	,
the	the	the
most	most	most
hateful	hate	hateful
preachers	preacher	preacher
imaginable	imagin	imaginable
have	have	have
been	been	been
coming	come	coming
out	out	out
of	of	of
the	the	the
woodwork	woodwork	woodwork
to	to	to
praise	prais	praise
the	the	the
shooter	shooter	shooter
s	s	s
actions	action	action
.	.	.
One	one	One
of	of	of
those	those	those
preachers	preacher	preacher
is	is	is
Roger	roger	Roger
Jiminez	jiminez	Jiminez
of	of	of
Sacramento	sacramento	Sacramento
,	,	,
California	california	California
s	s	s
Verity	veriti	Verity
Baptist	baptist	Baptist
Church	church	Church
.	.	.
He	he	He
posted	post	posted
a	a	a
sermon	sermon	sermon
that	that	that
spread	spread	spread
like	like	like
wildfire	wildfir	wildfire
where	where	where
he	he	he
said	said	said
As	as	As
a	a	a
Christian	christian	Christian
,	,	,
we	we	we
shouldn	shouldn	shouldn
t	t	t
be	be	be
mourning	mourn	mourning
the	the	the
death	death	death
of	of	of
50	50	50
sodomites	sodomit	sodomite
.	.	.
Let	let	Let
me	me	me
go	go	go
ahead	ahead	ahead
and	and	and
start	start	start
right	right	right
there	there	there
.	.	.
As	as	As
a	a	a
Christian	christian	Christian
,	,	,
we	we	we
shouldn	shouldn	shouldn
t	t	t
be	be	be
sad	sad	sad
or	or	or
upset	upset	upset
.	.	.
Thankfully	thank	Thankfully
,	,	,
YouTube	youtub	YouTube
has	has	ha
removed	remov	removed
Jiminez	jiminez	Jiminez
s	s	s
rant	rant	rant
due	due	due
to	to	to
violations	violat	violation
of	of	of
its	it	it
hate	hate	hate
speech	speech	speech
policy	polici	policy
.	.	.
Jiminez	jiminez	Jiminez
,	,	,
however	howev	however
,	,	,
is	is	is
holding	hold	holding
to	to	to
the	the	the
beliefs	belief	belief
expressed	express	expressed
in	in	in
the	the	the
sermon	sermon	sermon
,	,	,
and	and	and
even	even	even
goes	goe	go
so	so	so
far	far	far
as	as	a
to	to	to
suggest	suggest	suggest
that	that	that
the	the	the
government	govern	government
should	should	should
be	be	be
killing	kill	killing
people	peopl	people
for	for	for
being	be	being
LGBT	lgbt	LGBT
.	.	.
Firstly	first	Firstly
,	,	,
he	he	he
says	say	say
that	that	that
he	he	he
does	doe	doe
not	not	not
have	have	have
one	one	one
iota	iota	iota
of	of	of
remorse	remors	remorse
for	for	for
posting	post	posting
his	his	his
hateful	hate	hateful
video	video	video
The	the	The
bible	bibl	bible
does	doe	doe
teach	teach	teach
that	that	that
homosexuality	homosexu	homosexuality
deserves	deserv	deserves
the	the	the
death	death	death
penalty	penalti	penalty
.	.	.
Leviticus	leviticus	Leviticus
20	20	20
13	13	13
says	say	say
that	that	that
if	if	if
a	a	a
man	man	man
lie	lie	lie
with	with	with
mankind	mankind	mankind
like	like	like
he	he	he
does	doe	doe
with	with	with
a	a	a
woman	woman	woman
,	,	,
both	both	both
of	of	of
them	them	them
have	have	have
committed	commit	committed
an	an	an
abomination	abomin	abomination
and	and	and
will	will	will
surely	sure	surely
be	be	be
put	put	put
to	to	to
death	death	death
.	.	.
Romans	roman	Romans
1	1	1
says	say	say
that	that	that
they	they	they
which	which	which
commit	commit	commit
such	such	such
things	thing	thing
are	are	are
worthy	worthi	worthy
of	of	of
death	death	death
.	.	.
Jiminez	jiminez	Jiminez
went	went	went
on	on	on
to	to	to
add	add	add
that	that	that
,	,	,
if	if	if
people	peopl	people
die	die	die
who	who	who
deserve	deserv	deserve
to	to	to
die	die	die
,	,	,
we	we	we
don	don	don
t	t	t
need	need	need
to	to	to
be	be	be
mourning	mourn	mourning
that	that	that
.	.	.
Perhaps	perhap	Perhaps
the	the	the
one	one	one
redeeming	redeem	redeeming
quality	qualiti	quality
this	this	this
horrible	horribl	horrible
excuse	excus	excuse
for	for	for
a	a	a
human	human	human
being	be	being
has	has	ha
is	is	is
that	that	that
he	he	he
has	has	ha
no	no	no
love	love	love
lost	lost	lost
for	for	for
the	the	the
shooter	shooter	shooter
either	either	either
This	this	This
gunman	gunman	gunman
there	there	there
that	that	that
shot	shot	shot
people	peopl	people
up	up	up
,	,	,
the	the	the
bible	bibl	bible
says	say	say
he	he	he
deserves	deserv	deserves
to	to	to
die	die	die
,	,	,
he	he	he
died	die	died
and	and	and
we	we	we
shouldn	shouldn	shouldn
t	t	t
be	be	be
mourning	mourn	mourning
his	his	his
death	death	death
,	,	,
either	either	either
.	.	.
That	that	That
s	s	s
the	the	the
whole	whole	whole
point	point	point
I	i	I
was	was	wa
making	make	making
,	,	,
and	and	and
it	it	it
s	s	s
been	been	been
taken	taken	taken
out	out	out
of	of	of
context	context	context
.	.	.
But	but	But
then	then	then
,	,	,
he	he	he
goes	goe	go
on	on	on
to	to	to
essentially	essenti	essentially
incite	incit	incite
violence	violenc	violence
while	while	while
saying	say	saying
he	he	he
s	s	s
not	not	not
inciting	incit	inciting
violence	violenc	violence
,	,	,
all	all	all
the	the	the
while	while	while
calling	call	calling
on	on	on
the	the	the
government	govern	government
to	to	to
execute	execut	execute
LGBTQ	lgbtq	LGBTQ
people	peopl	people
I	i	I
m	m	m
not	not	not
calling	call	calling
people	peopl	people
to	to	to
arms	arm	arm
.	.	.
And	and	And
I	i	I
m	m	m
not	not	not
telling	tell	telling
people	peopl	people
they	they	they
should	should	should
go	go	go
do	do	do
this	this	this
What	what	What
I	i	I
m	m	m
saying	say	saying
is	is	is
that	that	that
if	if	if
the	the	the
government	govern	government
followed	follow	followed
the	the	the
laws	law	law
of	of	of
God	god	God
,	,	,
that	that	that
s	s	s
what	what	what
they	they	they
would	would	would
be	be	be
doing	do	doing
.	.	.
And	and	And
if	if	if
the	the	the
government	govern	government
did	did	did
that	that	that
,	,	,
I	i	I
