This	this	This
story	stori	story
is	is	is
for	for	for
anyone	anyon	anyone
who	who	who
believes	believ	belief
liberal	liber	liberal
judges	judg	judge
don	don	don
t	t	t
have	have	have
the	the	the
ability	abil	ability
to	to	to
make	make	make
life	life	life
altering	alter	altering
decisions	decis	decision
that	that	that
affect	affect	affect
Americans	american	Americans
who	who	who
don	don	don
t	t	t
conform	conform	conform
to	to	to
an	an	an
acceptable	accept	acceptable
thought	thought	thought
process	process	process
A	a	A
Boulder	boulder	Boulder
,	,	,
Colorado	colorado	Colorado
judge	judg	judge
has	has	ha
removed	remov	removed
a	a	a
child	child	child
from	from	from
her	her	her
mother	mother	mother
s	s	s
care	care	care
because	becaus	because
the	the	the
mother	mother	mother
believes	believ	belief
chemtrails	chemtrail	chemtrails
are	are	are
being	be	being
sprayed	spray	sprayed
into	into	into
the	the	the
atmosphere	atmospher	atmosphere
,	,	,
court	court	court
documents	document	document
reveal	reveal	reveal
.	.	.
Boulder	boulder	Boulder
Judge	judg	Judge
D	d	D
.	.	.
D	d	D
.	.	.
Mallard	mallard	Mallard
told	told	told
Becca	becca	Becca
Vandb	vandb	Vandb
that	that	that
99	99	99
of	of	of
people	peopl	people
would	would	would
know	know	know
those	those	those
are	are	are
just	just	just
contrails	contrail	contrail
,	,	,
and	and	and
said	said	said
that	that	that
she	she	she
is	is	is
so	so	so
immersed	immers	immersed
in	in	in
a	a	a
fringe	fring	fringe
subculture	subcultur	subculture
that	that	that
she	she	she
is	is	is
a	a	a
danger	danger	danger
to	to	to
her	her	her
daughter	daughter	daughter
.	.	.

I	i	I
can	can	can
now	now	now
only	onli	only
see	see	see
my	my	my
daughter	daughter	daughter
with	with	with
a	a	a
social	social	social
security	secur	security
worker	worker	worker
standing	stand	standing
over	over	over
me	me	me
taking	take	taking
notes	note	note
,	,	,
and	and	and
the	the	the
judge	judg	judge
said	said	said
this	this	this
was	was	wa
so	so	so
that	that	that
if	if	if
I	i	I
mention	mention	mention
chemtrails	chemtrail	chemtrails
they	they	they
would	would	would
put	put	put
a	a	a
stop	stop	stop
to	to	to
that	that	that
.	.	.

Becca	becca	Becca
pointed	point	pointed
out	out	out
that	that	that
there	there	there
have	have	have
been	been	been
no	no	no
neglect	neglect	neglect
or	or	or
child	child	child
abuse	abus	abuse
allegations	alleg	allegation
from	from	from
the	the	the
court	court	court
or	or	or
her	her	her
daughter	daughter	daughter
s	s	s
school	school	school
.	.	.

There	there	There
have	have	have
been	been	been
no	no	no
criminal	crimin	criminal
charges	charg	charge
and	and	and
no	no	no
protective	protect	protective
services	servic	service
visits	visit	visit
.	.	.

I	i	I
am	am	am
being	be	being
railroaded	railroad	railroaded
for	for	for
expressing	express	expressing
my	my	my
views	view	view
about	about	about
chemtrails	chemtrail	chemtrails
.	.	.

Becca	becca	Becca
Vandb	vandb	Vandb
s	s	s
daughter	daughter	daughter
wants	want	want
to	to	to
be	be	be
with	with	with
her	her	her
mother	mother	mother
,	,	,
but	but	but
is	is	is
being	be	being
kept	kept	kept
away	away	away
from	from	from
her	her	her
,	,	,
with	with	with
only	onli	only
supervised	supervis	supervised
visits	visit	visit
allowed	allow	allowed
,	,	,
because	becaus	because
Judge	judg	Judge
Mallard	mallard	Mallard
believes	believ	belief
Becca	becca	Becca
is	is	is
immersed	immers	immersed
in	in	in
a	a	a
dangerous	danger	dangerous
fringe	fring	fringe
subculture	subcultur	subculture
.	.	.

I	i	I
bought	bought	bought
up	up	up
chemtrails	chemtrail	chemtrails
at	at	at
my	my	my
daughter	daughter	daughter
s	s	s
school	school	school
and	and	and
was	was	wa
immediately	immedi	immediately
banned	ban	banned
from	from	from
the	the	the
premises	premis	premise
.	.	.

Schools	school	Schools
and	and	and
courts	court	court
in	in	in
Boulder	boulder	Boulder
,	,	,
Colorado	colorado	Colorado
have	have	have
flat	flat	flat
out	out	out
denied	deni	denied
there	there	there
is	is	is
any	ani	any
such	such	such
thing	thing	thing
as	as	a
geoengineering	geoengin	geoengineering
or	or	or
chemtrails	chemtrail	chemtrails
,	,	,
so	so	so
has	has	ha
my	my	my
kid	kid	kid
s	s	s
dad	dad	dad
who	who	who
works	work	work
in	in	in
atmospheric	atmospher	atmospheric
research	research	research
at	at	at
the	the	the
University	univers	University
of	of	of
Colorado	colorado	Colorado
seriously	serious	seriously
.	.	.

quote_box_center	quote_box_cent	quote_box_center
I	i	I
can	can	can
now	now	now
only	onli	only
see	see	see
my	my	my
daughter	daughter	daughter
with	with	with
a	a	a
social	social	social
security	secur	security
worker	worker	worker
standing	stand	standing
over	over	over
me	me	me
taking	take	taking
notes	note	note
,	,	,
and	and	and
the	the	the
judge	judg	judge
said	said	said
this	this	this
was	was	wa
so	so	so
that	that	that
if	if	if
I	i	I
mention	mention	mention
chemtrails	chemtrail	chemtrails
they	they	they
would	would	would
put	put	put
a	a	a
stop	stop	stop
to	to	to
that	that	that
.	.	.
'	'	'
quote_box_center	quote_box_cent	quote_box_center
DANGEROUS	danger	DANGEROUS
PRECEDENT	preced	PRECEDENT
The	the	The
school	school	school
helped	help	helped
him	him	him
take	take	take
away	away	away
custody	custodi	custody
because	becaus	because
I	i	I
had	had	had
the	the	the
gall	gall	gall
to	to	to
argue	argu	argue
with	with	with
them	them	them
when	when	when
they	they	they
severely	sever	severely
embellished	embellish	embellished
my	my	my
comments	comment	comment
made	made	made
to	to	to
adults	adult	adult
only	onli	only
about	about	about
chemtrails	chemtrail	chemtrails
.	.	.

Meanwhile	meanwhil	Meanwhile
An	an	An
historic	histor	historic
lawsuit	lawsuit	lawsuit
has	has	ha
been	been	been
filed	file	filed
in	in	in
Canada	canada	Canada
in	in	in
an	an	an
effort	effort	effort
to	to	to
expose	expos	expose
and	and	and
halt	halt	halt
the	the	the
practice	practic	practice
of	of	of
chemtrails	chemtrail	chemtrails
being	be	being
sprayed	spray	sprayed
into	into	into
the	the	the
atmosphere	atmospher	atmosphere
.	.	.

The	the	The
suit	suit	suit
claims	claim	claim
that	that	that
the	the	the
Canadian	canadian	Canadian
and	and	and
US	us	US
governments	govern	government
are	are	are
conducting	conduct	conducting
a	a	a
geoengineering	geoengin	geoengineering
program	program	program
that	that	that
aims	aim	aim
to	to	to
spray	spray	spray
toxic	toxic	toxic
substances	substanc	substance
and	and	and
particles	particl	particle
into	into	into
the	the	the
atmosphere	atmospher	atmosphere
endangering	endang	endangering
the	the	the
lives	live	life
of	of	of
millions	million	million
of	of	of
citizens	citizen	citizen
.	.	.

Via	via	Via
Trendolizer	trendol	Trendolizer

