Saturday	saturday	Saturday
,	,	,
September	septemb	September
16th	16th	16th
,	,	,
2017	2017	2017
will	will	will
surely	sure	surely
go	go	go
down	down	down
as	as	a
the	the	the
strangest	strangest	strangest
day	day	day
for	for	for
rallies	ralli	rally
in	in	in
our	our	our
nation	nation	nation
s	s	s
capital	capit	capital
since	sinc	since
at	at	at
least	least	least
January	januari	January
,	,	,
when	when	when
millions	million	million
of	of	of
invisible	invis	invisible
people	peopl	people
attended	attend	attended
Donald	donald	Donald
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
ceremony	ceremoni	ceremony
.	.	.
Two	two	Two
different	differ	different
gatherings	gather	gathering
are	are	are
taking	take	taking
place	place	place
,	,	,
quartered	quarter	quartered
in	in	in
different	differ	different
sections	section	section
of	of	of
the	the	the
National	nation	National
Mall	mall	Mall
,	,	,
but	but	but
surely	sure	surely
visible	visibl	visible
to	to	to
one	one	one
another	anoth	another
Trump	trump	Trump
supporters	support	supporter
have	have	have
come	come	come
together	togeth	together
to	to	to
put	put	put
on	on	on
what	what	what
they	they	they
re	re	re
calling	call	calling
the	the	the
Mother	mother	Mother
of	of	of
all	all	all
Rallies	ralli	Rallies
,	,	,
with	with	with
expected	expect	expected
attendance	attend	attendance
undoubtedly	undoubt	undoubtedly
in	in	in
the	the	the
zillions	zillion	zillion
,	,	,
and	and	and
a	a	a
rally	ralli	rally
with	with	with
an	an	an
actual	actual	actual
purpose	purpos	purpose
is	is	is
also	also	also
taking	take	taking
place	place	place
.	.	.

Juggalos	juggalo	Juggalos
,	,	,
or	or	or
fans	fan	fan
of	of	of
the	the	the
band	band	band
Insane	insan	Insane
Clown	clown	Clown
Posse	poss	Posse
,	,	,
are	are	are
in	in	in
D	d	D
.	.	.
C	c	C
.	.	.
to	to	to
protest	protest	protest
what	what	what
they	they	they
call	call	call
an	an	an
unfair	unfair	unfair
label	label	label
from	from	from
the	the	the
FBI	fbi	FBI
and	and	and
Department	depart	Department
of	of	of
Justice	justic	Justice
classifying	classifi	classifying
them	them	them
as	as	a
a	a	a
loosely	loos	loosely
organized	organ	organized
hybrid	hybrid	hybrid
gang	gang	gang
.	.	.

It	it	It
s	s	s
clear	clear	clear
which	which	which
group	group	group
has	has	ha
the	the	the
more	more	more
ardent	ardent	ardent
supporters	support	supporter
,	,	,
and	and	and
it	it	it
isn	isn	isn
t	t	t
the	the	the
one	one	one
I	i	I
m	m	m
calling	call	calling
for	for	for
the	the	the
purposes	purpos	purpose
of	of	of
this	this	this
piece	piec	piece
the	the	the
Trumpettes	trumpett	Trumpettes
.	.	.

Donald	donald	Donald
Trump	trump	Trump
is	is	is
known	known	known
for	for	for
his	his	his
loyalty	loyalti	loyalty
demands	demand	demand
,	,	,
but	but	but
I	i	I
m	m	m
not	not	not
sure	sure	sure
he	he	he
s	s	s
ever	ever	ever
met	met	met
a	a	a
Juggalo	juggalo	Juggalo
,	,	,
because	becaus	because
they	they	they
showed	show	showed
up	up	up
today	today	today
WASHINGTON	washington	WASHINGTON
,	,	,
DC	dc	DC
SEPTEMBER	septemb	SEPTEMBER
16	16	16
People	peopl	People
gather	gather	gather
for	for	for
a	a	a
rally	ralli	rally
during	dure	during
the	the	the
Juggalo	juggalo	Juggalo
March	march	March
at	at	at
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
on	on	on
the	the	the
National	nation	National
Mall	mall	Mall
,	,	,
September	septemb	September
16	16	16
,	,	,
2017	2017	2017
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
.	.	.

Photo	photo	Photo
by	by	by
Tasos	taso	Tasos
Katopodis	katopodi	Katopodis
Getty	getti	Getty
Images	imag	Images
That	that	That
s	s	s
the	the	the
Juggalos	juggalo	Juggalos
showing	show	showing
up	up	up
.	.	.

The	the	The
Juggalo	juggalo	Juggalo
March	march	March
,	,	,
at	at	at
the	the	the
time	time	time
of	of	of
this	this	this
writing	write	writing
,	,	,
is	is	is
just	just	just
getting	get	getting
underway	underway	underway
.	.	.
This	this	This
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
is	is	is
the	the	the
majority	major	majority
of	of	of
the	the	the
Trump	trump	Trump
rally	ralli	rally
happening	happen	happening
just	just	just
across	across	across
the	the	the
way	way	way
WASHINGTON	washington	WASHINGTON
,	,	,
DC	dc	DC
SEPTEMBER	septemb	SEPTEMBER
16	16	16
Pro	pro	Pro
-Trump	-trump	-Trump
security	secur	security
forces	forc	force
try	tri	try
to	to	to
keep	keep	keep
people	peopl	people
away	away	away
on	on	on
the	the	the
National	nation	National
Mall	mall	Mall
on	on	on
September	septemb	September
16	16	16
,	,	,
2017	2017	2017
in	in	in
Washington	washington	Washington
,	,	,
DC	dc	DC
.	.	.

Photo	photo	Photo
by	by	by
Tasos	taso	Tasos
Katopodis	katopodi	Katopodis
Getty	getti	Getty
Images	imag	Images
You	you	You
ll	ll	ll
note	note	note
from	from	from
the	the	the
captions	caption	caption
that	that	that
these	these	these
two	two	two
photos	photo	photo
are	are	are
both	both	both
by	by	by
Getty	getti	Getty
photographer	photograph	photographer
Tasos	taso	Tasos
Katopodis	katopodi	Katopodis
.	.	.

The	the	The
Trump	trump	Trump
rally	ralli	rally
began	began	began
,	,	,
according	accord	according
to	to	to
the	the	the
Facebook	facebook	Facebook
event	event	event
page	page	page
,	,	,
at	at	at
11	11	11
AM	am	AM
EDT	edt	EDT
,	,	,
while	while	while
the	the	the
Juggalo	juggalo	Juggalo
March	march	March
wasn	wasn	wasn
t	t	t
scheduled	schedul	scheduled
until	until	until
2	2	2
PM	pm	PM
Eastern	eastern	Eastern
.	.	.
The	the	The
Trumpette	trumpett	Trumpette
organizers	organ	organizer
have	have	have
tried	tri	tried
to	to	to
distance	distanc	distance
themselves	themselv	themselves
from	from	from
the	the	the
white	white	white
supremacists	supremacist	supremacist
that	that	that
organized	organ	organized
the	the	the
Charlottesville	charlottesvill	Charlottesville
,	,	,
Boston	boston	Boston
,	,	,
and	and	and
Portland	portland	Portland
rallies	ralli	rally
held	held	held
in	in	in
the	the	the
name	name	name
of	of	of
free	free	free
speech	speech	speech
.	.	.

Unfortunately	unfortun	Unfortunately
for	for	for
them	them	them
,	,	,
they	they	they
don	don	don
t	t	t
seem	seem	seem
to	to	to
realize	realiz	realize
that	that	that
the	the	the
majority	major	majority
of	of	of
people	peopl	people
who	who	who
show	show	show
up	up	up
at	at	at
those	those	those
rallies	ralli	rally
don	don	don
t	t	t
care	care	care
who	who	who
the	the	the
president	presid	president
is	is	is
,	,	,
they	they	they
just	just	just
want	want	want
to	to	to
be	be	be
allowed	allow	allowed
to	to	to
shout	shout	shout
racial	racial	racial
slurs	slur	slur
again	again	again
without	without	without
fear	fear	fear
of	of	of
public	public	public
reprisal	repris	reprisal
.	.	.
Reaction	reaction	Reaction
to	to	to
the	the	the
stark	stark	stark
difference	differ	difference
in	in	in
attendance	attend	attendance
was	was	wa
widespread	widespread	widespread
The	the	The
Juggalos	juggalo	Juggalos
outnumber	outnumb	outnumber
the	the	the
white	white	white
supremacists	supremacist	supremacist
at	at	at
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
today	today	today
.	.	.
is	is	is
not	not	not
a	a	a
sentence	sentenc	sentence
I	i	I
ever	ever	ever
thought	thought	thought
I'd	i'd	I'd
write	write	write
.	.	.

Mikel	mikel	Mikel
Jollett	jollett	Jollett
@Mikel_Jollett	@mikel_jollett	@Mikel_Jollett
September	septemb	September
16	16	16
,	,	,
2017Someday	2017someday	2017Someday
the	the	the
Battle	battl	Battle
of	of	of
Juggalos	juggalo	Juggalos
vs	vs	v
Trump	trump	Trump
supporters	support	supporter
will	will	will
be	be	be
in	in	in
a	a	a
Ken	ken	Ken
Burns	burn	Burns
documentary	documentari	documentary
.	.	.
My	my	My
dearest	dearest	dearest
Martha	martha	Martha
,	,	,
whoop	whoop	whoop
whoop	whoop	whoop
.	.	.
#JuggaloMarch	#juggalomarch	#JuggaloMarch
#MOAR	#moar	#MOAR
pic.twitter.com/oHLV2rUiM1	pic.twitter.com/ohlv2ruim1	pic.twitter.com/oHLV2rUiM1
Edmund	edmund	Edmund
Hanlon	hanlon	Hanlon
@EdmundHanlon	@edmundhanlon	@EdmundHanlon
September	septemb	September
16	16	16
,	,	,
2017There	2017there	2017There
are	are	are
more	more	more
Juggalos	juggalo	Juggalos
marching	march	marching
today	today	today
against	against	against
Trump	trump	Trump
than	than	than
pro	pro	pro
-Trump	-trump	-Trump
folks	folk	folk
marching	march	marching
in	in	in
their	their	their
Mother	mother	Mother
of	of	of
All	all	All
Rallies	ralli	Rallies
.	.	.

?	?	?

#JuggaloMarch	#juggalomarch	#JuggaloMarch
#MOAR	#moar	#MOAR
Charles	charl	Charles
Clymer	clymer	Clymer
?	?	?

?	?	?

@cmclymer	@cmclymer	@cmclymer
September	septemb	September
16	16	16
,	,	,
2017And	2017and	2017And
in	in	in
what	what	what
must	must	must
be	be	be
a	a	a
crushing	crush	crushing
blow	blow	blow
to	to	to
the	the	the
Trumpettes	trumpett	Trumpettes
,	,	,
the	the	the
Juggalos	juggalo	Juggalos
have	have	have
Antifa	antifa	Antifa
,	,	,
the	the	the
other	other	other
side	side	side
that	that	that
Trump	trump	Trump
cannot	cannot	cannot
stop	stop	stop
dreaming	dream	dreaming
about	about	about
every	everi	every
night	night	night
,	,	,
there	there	there
in	in	in
solidarity	solidar	solidarity
.	.	.

Not	not	Not
being	be	being
violent	violent	violent
,	,	,
not	not	not
pepper	pepper	pepper
spraying	spray	spraying
anyone	anyon	anyone
,	,	,
just	just	just
together	togeth	together
to	to	to
show	show	show
the	the	the
love	love	love
Antifascist	antifascist	Antifascist
contingent	conting	contingent
in	in	in
solidarity	solidar	solidarity
with	with	with
Juggalos	juggalo	Juggalos
at	at	at
DC	dc	DC
march	march	march
against	against	against
FBI	fbi	FBI
gang	gang	gang
classification	classif	classification
pic.twitter.com/RZTbmCFaM9	pic.twitter.com/rztbmcfam9	pic.twitter.com/RZTbmCFaM9
Unicorn	unicorn	Unicorn
Riot	riot	Riot
@UR_Ninja	@ur_ninja	@UR_Ninja
September	septemb	September
16	16	16
,	,	,
2017The	2017the	2017The
Juggalos	juggalo	Juggalos
give	give	give
a	a	a
big	big	big
whoop	whoop	whoop
whoop	whoop	whoop
to	to	to
hating	hate	hating
Confederate	confeder	Confederate
monuments	monument	monument
.	.	.
Daniel	daniel	Daniel
Dale	dale	Dale
@ddale8	@ddale8	@ddale8
September	septemb	September
16	16	16
,	,	,
2017Welcome	2017welcom	2017Welcome
to	to	to
2017	2017	2017
,	,	,
everyone	everyon	everyone
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Al	al	Al
Drago	drago	Drago
Getty	getti	Getty
Images	imag	Images

