If	if	If
you	you	you
live	live	live
in	in	in
Michigan	michigan	Michigan
,	,	,
you	you	you
know	know	know
about	about	about
the	the	the
controversial	controversi	controversial
wife	wife	wife
of	of	of
Congressman	congressman	Congressman
John	john	John
Conyers	conyer	Conyers
.	.	.
She	she	She
s	s	s
had	had	had
her	her	her
share	share	share
of	of	of
scandals	scandal	scandal
and	and	and
has	has	ha
even	even	even
served	serv	served
3	3	3
years	year	year
in	in	in
Federal	feder	Federal
prison	prison	prison
for	for	for
bribery	briberi	bribery
.	.	.
But	but	But
this	this	this
IS	is	IS
Detroit	detroit	Detroit
so	so	so
anything	anyth	anything
goes	goe	go
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
and	and	and
you	you	you
ll	ll	ll
see	see	see
her	her	her
in	in	in
action	action	action
pulling	pull	pulling
the	the	the
race	race	race
card	card	card
Monica	monica	Monica
Conyers	conyer	Conyers
wasn	wasn	wasn
t	t	t
in	in	in
a	a	a
talkative	talkat	talkative
mood	mood	mood
Wednesday	wednesday	Wednesday
morning	morn	morning
as	as	a
the	the	the
media	media	medium
camped	camp	camped
outside	outsid	outside
her	her	her
house	hous	house
looking	look	looking
for	for	for
her	her	her
embattled	embattl	embattled
husband	husband	husband
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.
John	john	John
Conyers	conyer	Conyers
,	,	,
D	d	D
-Detroit	-detroit	-Detroit
.	.	.
John	john	John
Conyers	conyer	Conyers
has	has	ha
come	come	come
under	under	under
fire	fire	fire
because	becaus	because
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
allegations	alleg	allegation
made	made	made
against	against	against
him	him	him
and	and	and
how	how	how
they	they	they
were	were	were
handled	handl	handled
by	by	by
his	his	his
office	offic	office
.	.	.
The	the	The
Detroit	detroit	Detroit
Free	free	Free
Press	press	Press
reports	report	report
As	as	As
she	she	she
was	was	wa
leaving	leav	leaving
the	the	the
family	famili	family
s	s	s
house	hous	house
Wednesday	wednesday	Wednesday
morning	morn	morning
,	,	,
Monica	monica	Monica
Conyers	conyer	Conyers
said	said	said
I	i	I
ll	ll	ll
make	make	make
a	a	a
comment	comment	comment
when	when	when
you	you	you
all	all	all
disclose	disclos	disclose
to	to	to
me	me	me
who	who	who
has	has	ha
made	made	made
the	the	the
allegations	alleg	allegation
.	.	.
Monica	monica	Monica
Conyers	conyer	Conyers
became	becam	became
irritated	irrit	irritated
with	with	with
the	the	the
media	media	medium
attention	attent	attention
then	then	then
pulled	pull	pulled
the	the	the
race	race	race
card	card	card
Do	do	Do
you	you	you
all	all	all
go	go	go
and	and	and
stalk	stalk	stalk
other	other	other
people	peopl	people
s	s	s
houses	hous	house
?	?	?
Monica	monica	Monica
Conyers	conyer	Conyers
asked	ask	asked
the	the	the
media	media	medium
camped	camp	camped
outside	outsid	outside
her	her	her
house	hous	house
.	.	.
Do	do	Do
you	you	you
go	go	go
