While	while	While
meeting	meet	meeting
with	with	with
the	the	the
press	press	press
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
President	presid	President
Obama	obama	Obama
clearly	clear	clearly
had	had	had
enough	enough	enough
of	of	of
Republican	republican	Republican
obstructionism	obstruction	obstructionism
and	and	and
party	parti	party
politics	polit	politics
holding	hold	holding
the	the	the
nation	nation	nation
back	back	back
from	from	from
having	have	having
a	a	a
full	full	full
Supreme	suprem	Supreme
Court	court	Court
.	.	.

The	the	The
GOP	gop	GOP
has	has	ha
made	made	made
it	it	it
clear	clear	clear
that	that	that
they	they	they
won	won	won
t	t	t
even	even	even
entertain	entertain	entertain
the	the	the
possibility	possibl	possibility
of	of	of
a	a	a
new	new	new
Justice	justic	Justice
until	until	until
there	there	there
s	s	s
a	a	a
new	new	new
president	presid	president
.	.	.

However	howev	However
,	,	,
that	that	that
s	s	s
not	not	not
going	go	going
to	to	to
prevent	prevent	prevent
Obama	obama	Obama
from	from	from
doing	do	doing
his	his	his
job	job	job
,	,	,
and	and	and
he	he	he
really	realli	really
hopes	hope	hope
these	these	these
sheepish	sheepish	sheepish
Republicans	republican	Republicans
step	step	step
up	up	up
and	and	and
do	do	do
their	their	their
job	job	job
as	as	a
well	well	well
.	.	.
Obama	obama	Obama
said	said	said
I	i	I
m	m	m
going	go	going
to	to	to
do	do	do
my	my	my
job	job	job
.	.	.

I	i	I
recognize	recogn	recognize
the	the	the
politics	polit	politics
are	are	are
hard	hard	hard
for	for	for
them	them	them
Senate	senat	Senate
Republicans	republican	Republicans
because	becaus	because
the	the	the
easier	easier	easier
thing	thing	thing
to	to	to
do	do	do
is	is	is
to	to	to
give	give	give
in	in	in
to	to	to
the	the	the
most	most	most
extreme	extrem	extreme
voices	voic	voice
within	within	within
their	their	their
party	parti	party
and	and	and
stand	stand	stand
pat	pat	pat
and	and	and
do	do	do
nothing	noth	nothing
.	.	.

But	but	But
that	that	that
s	s	s
not	not	not
our	our	our
job	job	job
.	.	.

Our	our	Our
job	job	job
is	is	is
to	to	to
fulfill	fulfil	fulfill
our	our	our
constitutional	constitut	constitutional
duties	duti	duty
.	.	.

Obama	obama	Obama
knows	know	know
that	that	that
once	onc	once
a	a	a
nominee	nomine	nominee
is	is	is
chosen	chosen	chosen
,	,	,
and	and	and
the	the	the
American	american	American
public	public	public
sees	see	see
this	this	this
Republican	republican	Republican
obstructionism	obstruction	obstructionism
for	for	for
all	all	all
that	that	that
it	it	it
is	is	is
,	,	,
chances	chanc	chance
are	are	are
,	,	,
they	they	they
won	won	won
t	t	t
be	be	be
so	so	so
quick	quick	quick
to	to	to
dismiss	dismiss	dismiss
them	them	them
.	.	.

The	the	The
president	presid	president
continued	continu	continued
I	i	I
think	think	think
it	it	it
will	will	will
be	be	be
very	veri	very
difficult	difficult	difficult
for	for	for
Mr	mr	Mr
.	.	.
McConnell	mcconnel	McConnell
to	to	to
explain	explain	explain
how	how	how
,	,	,
if	if	if
the	the	the
public	public	public
concludes	conclud	concludes
that	that	that
this	this	this
person	person	person
is	is	is
well	well	well
qualified	qualifi	qualified
,	,	,
that	that	that
the	the	the
Senate	senat	Senate
should	should	should
stand	stand	stand
in	in	in
the	the	the
way	way	way
simply	simpli	simply
for	for	for
political	polit	political
reasons	reason	reason
.	.	.

