Neil	neil	Neil
Cavuto	cavuto	Cavuto
faced	face	faced
off	off	off
with	with	with
Congresswoman	congresswoman	Congresswoman
Sheila	sheila	Sheila
Jackson	jackson	Jackson
Lee	lee	Lee
over	over	over
her	her	her
call	call	call
for	for	for
President	presid	President
Trump	trump	Trump
to	to	to
resign	resign	resign
after	after	after
his	his	his
tweets	tweet	tweet
attacking	attack	attacking
Mika	mika	Mika
Brzezinski	brzezinski	Brzezinski
and	and	and
Joe	joe	Joe
Scarborough	scarborough	Scarborough
Enough	enough	Enough
is	is	is
ENOUGH	enough	ENOUGH
!	!	!

@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
you	you	you
need	need	need
to	to	to
resign	resign	resign
!	!	!

This	this	This
woman	woman	woman
is	is	is
just	just	just
hateful	hate	hateful
!	!	!

She	she	She
claims	claim	claim
to	to	to
know	know	know
Trump	trump	Trump
is	is	is
unhappy	unhappi	unhappy
GMAFB	gmafb	GMAFB
!	!	!
https://www.youtube.com/watch?v=RKPPzMPRrNYThis	https://www.youtube.com/watch?v=rkppzmprrnythi	https://www.youtube.com/watch?v=RKPPzMPRrNYThis
woman	woman	woman
is	is	is
a	a	a
perfect	perfect	perfect
example	exampl	example
of	of	of
the	the	the
SWAMP	swamp	SWAMP
in	in	in
DC	dc	DC
.	.	.

She	she	She
needs	need	need
to	to	to
go	go	go
!	!	!

She	she	She
s	s	s
mooched	mooch	mooched
off	off	off
of	of	of
the	the	the
American	american	American
people	peopl	people
for	for	for
way	way	way
too	too	too
long	long	long
and	and	and
is	is	is
a	a	a
hateful	hate	hateful
racist	racist	racist
!	!	!
She	she	She
says	say	say
in	in	in
the	the	the
video	video	video
above	abov	above
that	that	that
she	she	she
s	s	s
gone	gone	gone
through	through	through
impeachments	impeach	impeachment
before	befor	before
,	,	,
but	but	but
said	said	said
,	,	,
We	we	We
can	can	can
t	t	t
wait	wait	wait
that	that	that
long	long	long
.	.	.

It	it	It
is	is	is
time	time	time
for	for	for
you	you	you
to	to	to
resign	resign	resign
.	.	.

Enough	enough	Enough
is	is	is
enough	enough	enough
.	.	.

I	i	I
love	love	love
America	america	America
.	.	.

I	i	I
love	love	love
these	these	these
people	peopl	people
.	.	.

And	and	And
we	we	we
need	need	need
a	a	a
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
.	.	.

