Thank	thank	Thank
goodness	good	goodness
for	for	for
Judicial	judici	Judicial
Watch	watch	Watch
!	!	!

Over	over	Over
and	and	and
over	over	over
they	they	they
have	have	have
filed	file	filed
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
requests	request	request
on	on	on
Obama	obama	Obama
and	and	and
his	his	his
minions	minion	minion
.	.	.

At	at	At
least	least	least
they	they	they
re	re	re
trying	tri	trying
to	to	to
get	get	get
to	to	to
the	the	the
bottom	bottom	bottom
of	of	of
the	the	the
corruption	corrupt	corruption
but	but	but
the	the	the
stonewalling	stonewal	stonewalling
continues	continu	continues
Everyone	everyon	Everyone
s	s	s
focused	focus	focused
on	on	on
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
testimony	testimoni	testimony
before	befor	before
the	the	the
FBI	fbi	FBI
about	about	about
the	the	the
e	e	e
-mail	-mail	-mail
scandal	scandal	scandal
.	.	.

But	but	But
that	that	that
s	s	s
not	not	not
the	the	the
only	onli	only
FBI	fbi	FBI
interview	interview	interview
of	of	of
a	a	a
top	top	top
Obama	obama	Obama
official	offici	official
that	that	that
s	s	s
starting	start	starting
to	to	to
get	get	get
attention	attent	attention
.	.	.
There	there	There
was	was	wa
another	anoth	another
interview	interview	interview
with	with	with
Barack	barack	Barack
Obama	obama	Obama
himself	himself	himself
that	that	that
now	now	now
is	is	is
the	the	the
subject	subject	subject
of	of	of
a	a	a
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
lawsuit	lawsuit	lawsuit
because	becaus	because
the	the	the
government	govern	government
is	is	is
withholding	withhold	withholding
details	detail	detail
from	from	from
the	the	the
public	public	public
.	.	.

This	this	This
lawsuit	lawsuit	lawsuit
highlights	highlight	highlight
the	the	the
personal	person	personal
corruption	corrupt	corruption
issues	issu	issue
of	of	of
Barack	barack	Barack
Obama	obama	Obama
,	,	,
said	said	said
Judicial	judici	Judicial
Watch	watch	Watch
President	presid	President
Tom	tom	Tom
Fitton	fitton	Fitton
.	.	.

Barack	barack	Barack
Obama	obama	Obama
and	and	and
his	his	his
closest	closest	closest
aides	aid	aide
were	were	were
interviewed	interview	interviewed
by	by	by
the	the	the
FBI	fbi	FBI
in	in	in
a	a	a
criminal	crimin	criminal
investigation	investig	investigation
and	and	and
his	his	his
administration	administr	administration
doesn	doesn	doesn
t	t	t
want	want	want
Americans	american	Americans
to	to	to
have	have	have
the	the	the
details	detail	detail
.	.	.

The	the	The
Chicago	chicago	Chicago
way	way	way
shouldn	shouldn	shouldn
t	t	t
trump	trump	trump
the	the	the
American	american	American
people	peopl	people
s	s	s
right	right	right
to	to	to
know	know	know
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
FBI	fbi	FBI
interview	interview	interview
with	with	with
Obama	obama	Obama
,	,	,
which	which	which
reportedly	report	reportedly
lasted	last	lasted
two	two	two
hours	hour	hour
,	,	,
was	was	wa
at	at	at
the	the	the
time	time	time
when	when	when
former	former	former
Illinois	illinoi	Illinois
Gov	gov	Gov
.	.	.

Rod	rod	Rod
Blagojevich	blagojevich	Blagojevich
was	was	wa
facing	face	facing
charges	charg	charge
for	for	for
trying	tri	trying
to	to	to
sell	sell	sell
Obama	obama	Obama
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
seat	seat	seat
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
said	said	said
Thursday	thursday	Thursday
it	it	it
has	has	ha
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
in	in	in
Washington	washington	Washington
to	to	to
obtain	obtain	obtain
the	the	the
FBI	fbi	FBI
interview	interview	interview
records	record	record
of	of	of
Obama	obama	Obama
,	,	,
who	who	who
at	at	at
the	the	the
time	time	time
was	was	wa
leaving	leav	leaving
the	the	the
Senate	senat	Senate
as	as	a
president	presid	president
-elect	-elect	-elect
.	.	.
Obama	obama	Obama
,	,	,
top	top	top
aide	aid	aide
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
and	and	and
his	his	his
former	former	former
chief	chief	chief
of	of	of
staff	staff	staff
Rahm	rahm	Rahm
Emanuel	emanuel	Emanuel
,	,	,
now	now	now
mayor	mayor	mayor
of	of	of
Chicago	chicago	Chicago
,	,	,
were	were	were
interviewed	interview	interviewed
,	,	,
Judicial	judici	Judicial
Watch	watch	Watch
said	said	said
.	.	.
Blagojevich	blagojevich	Blagojevich
eventually	eventu	eventually
was	was	wa
convicted	convict	convicted
on	on	on
multiple	multipl	multiple
counts	count	count
and	and	and
is	is	is
serving	serv	serving
a	a	a
prison	prison	prison
sentence	sentenc	sentence
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
filed	file	filed
its	it	it
FOIA	foia	FOIA
request	request	request
in	in	in
2011	2011	2011
for	for	for
records	record	record
of	of	of
FBI	fbi	FBI
interviews	interview	interview
with	with	with
Obama	obama	Obama
,	,	,
Emanuel	emanuel	Emanuel
and	and	and
Jarrett	jarrett	Jarrett
concerning	concern	concerning
or	or	or
relating	relat	relating
to	to	to
Blagojevich	blagojevich	Blagojevich
.	.	.
The	the	The
Washington	washington	Washington
watchdog	watchdog	watchdog
group	group	group
reported	report	reported
that	that	that
in	in	in
2012	2012	2012
,	,	,
the	the	the
FBI	fbi	FBI
denied	deni	denied
the	the	the
FOIA	foia	FOIA
request	request	request
,	,	,
claiming	claim	claiming
the	the	the
records	record	record
were	were	were
exempt	exempt	exempt
.	.	.
At	at	At
the	the	the
time	time	time
,	,	,
Record	record	Record
Information	inform	Information
Dissemination	dissemin	Dissemination
Section	section	Section
Chief	chief	Chief
David	david	David
M	m	M
.	.	.

Hardy	hardi	Hardy
said	said	said
,	,	,
I	i	I
have	have	have
determined	determin	determined
that	that	that
the	the	the
records	record	record
responsive	respons	responsive
to	to	to
your	your	your
request	request	request
are	are	are
law	law	law
enforcement	enforc	enforcement
records	record	record
;	;	;
that	that	that
there	there	there
is	is	is
a	a	a
pending	pend	pending
or	or	or
prospective	prospect	prospective
law	law	law
enforcement	enforc	enforcement
proceeding	proceed	proceeding
relevant	relev	relevant
to	to	to
these	these	these
requests	request	request
;	;	;
and	and	and
that	that	that
the	the	the
release	releas	release
of	of	of
the	the	the
information	inform	information
contained	contain	contained
in	in	in
these	these	these
responsive	respons	responsive
records	record	record
could	could	could
reasonably	reason	reasonably
be	be	be
expected	expect	expected
to	to	to
interfere	interfer	interfere
with	with	with
the	the	the
enforcement	enforc	enforcement
proceedings	proceed	proceeding
.	.	.

Read	read	Read
more	more	more
wnd	wnd	wnd

