Paul	paul	Paul
LePage	lepag	LePage
,	,	,
who	who	who
might	might	might
as	as	a
well	well	well
be	be	be
Maine	main	Maine
s	s	s
version	version	version
of	of	of
Donald	donald	Donald
Trump	trump	Trump
,	,	,
is	is	is
becoming	becom	becoming
well	well	well
known	known	known
for	for	for
his	his	his
racist	racist	racist
attacks	attack	attack
on	on	on
people	peopl	people
of	of	of
color	color	color
.	.	.

He	he	He
especially	especi	especially
can	can	can
t	t	t
stand	stand	stand
black	black	black
people	peopl	people
or	or	or
Latinos	latino	Latinos
,	,	,
and	and	and
went	went	went
so	so	so
far	far	far
as	as	a
to	to	to
call	call	call
them	them	them
the	the	the
enemy	enemi	enemy
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
he	he	he
sees	see	see
a	a	a
race	race	race
war	war	war
in	in	in
which	which	which
white	white	white
people	peopl	people
are	are	are
the	the	the
good	good	good
side	side	side
,	,	,
and	and	and
black	black	black
and	and	and
Hispanic	hispan	Hispanic
people	peopl	people
are	are	are
the	the	the
evil	evil	evil
side	side	side
.	.	.

Look	look	Look
,	,	,
a	a	a
bad	bad	bad
guy	guy	guy
is	is	is
a	a	a
bad	bad	bad
guy	guy	guy
,	,	,
I	i	I
don	don	don
t	t	t
care	care	care
what	what	what
color	color	color
it	it	it
is	is	is
.	.	.

When	when	When
you	you	you
go	go	go
to	to	to
war	war	war
,	,	,
if	if	if
you	you	you
know	know	know
the	the	the
enemy	enemi	enemy
,	,	,
the	the	the
enemy	enemi	enemy
dresses	dress	dress
in	in	in
red	red	red
and	and	and
you	you	you
dress	dress	dress
in	in	in
blue	blue	blue
,	,	,
you	you	you
shoot	shoot	shoot
at	at	at
red	red	red
,	,	,
don	don	don
t	t	t
you	you	you
?	?	?

You	you	You
shoot	shoot	shoot
at	at	at
the	the	the
enemy	enemi	enemy
.	.	.

You	you	You
try	tri	try
to	to	to
identify	identifi	identify
the	the	the
enemy	enemi	enemy
.	.	.

And	and	And
the	the	the
enemy	enemi	enemy
right	right	right
now	now	now
,	,	,
the	the	the
overwhelming	overwhelm	overwhelming
majority	major	majority
right	right	right
now	now	now
coming	come	coming
in	in	in
are	are	are
people	peopl	people
of	of	of
color	color	color
or	or	or
people	peopl	people
of	of	of
Hispanic	hispan	Hispanic
origin	origin	origin
.	.	.

I	i	I
can	can	can
t	t	t
help	help	help
that	that	that
.	.	.

I	i	I
just	just	just
can	can	can
t	t	t
help	help	help
it	it	it
.	.	.

Those	those	Those
are	are	are
the	the	the
facts	fact	fact
.	.	.

There	there	There
s	s	s
no	no	no
implication	implic	implication
there	there	there
.	.	.

He	he	He
said	said	said
,	,	,
flat	flat	flat
out	out	out
,	,	,
that	that	that
the	the	the
enemy	enemi	enemy
right	right	right
now	now	now
is	is	is
the	the	the
black	black	black
and	and	and
Hispanic	hispan	Hispanic
people	peopl	people
coming	come	coming
into	into	into
his	his	his
state	state	state
.	.	.

Those	those	Those
are	are	are
the	the	the
facts	fact	fact
on	on	on
his	his	his
twisted	twist	twisted
planet	planet	planet
.	.	.

The	the	The
true	true	true
facts	fact	fact
are	are	are
that	that	that
he	he	he
s	s	s
a	a	a
racist	racist	racist
prick	prick	prick
.	.	.

We	we	We
can	can	can
t	t	t
help	help	help
that	that	that
.	.	.
LePage	lepag	LePage
has	has	ha
claimed	claim	claimed
that	that	that
90	90	90
percent	percent	percent
of	of	of
the	the	the
people	peopl	people
arrested	arrest	arrested
for	for	for
drugs	drug	drug
in	in	in
his	his	his
state	state	state
are	are	are
black	black	black
or	or	or
Hispanic	hispan	Hispanic
data	data	data
based	base	based
on	on	on
a	a	a
binder	binder	binder
of	of	of
mug	mug	mug
shots	shot	shot
he	he	he
allegedly	alleg	allegedly
keeps	keep	keep
.	.	.

Maine	main	Maine
is	is	is
95	95	95
percent	percent	percent
white	white	white
,	,	,
but	but	but
LePage	lepag	LePage
justifies	justifi	justifies
his	his	his
racism	racism	racism
by	by	by
saying	say	saying
that	that	that
people	peopl	people
of	of	of
color	color	color
are	are	are
all	all	all
criminals	crimin	criminal
.	.	.
The	the	The
actual	actual	actual
state	state	state
