Here	here	Here
s	s	s
just	just	just
one	one	one
more	more	more
piece	piec	piece
to	to	to
the	the	the
puzzle	puzzl	puzzle
Hillary	hillari	Hillary
was	was	wa
able	abl	able
to	to	to
delete	delet	delete
the	the	the
money	money	money
trail	trail	trail
with	with	with
bleach	bleach	bleach
bit	bit	bit
The	the	The
owner	owner	owner
of	of	of
BleachBit	bleachbit	BleachBit
was	was	wa
tipped	tip	tipped
off	off	off
that	that	that
his	his	his
product	product	product
was	was	wa
used	use	used
by	by	by
Clinton	clinton	Clinton
when	when	when
Trey	trey	Trey
Gowdy	gowdi	Gowdy
mentioned	mention	mentioned
it	it	it
in	in	in
a	a	a
TV	tv	TV
interview	interview	interview
Gowdy	gowdi	Gowdy
said	said	said
Clinton	clinton	Clinton
s	s	s
emails	email	email
had	had	had
been	been	been
so	so	so
thoroughly	thorough	thoroughly
scrubbed	scrub	scrubbed
that	that	that
even	even	even
God	god	God
can	can	can
t	t	t
read	read	read
them	them	them
.	.	.

How	how	How
transparent	transpar	transparent
of	of	of
her	her	her
!	!	!
BleachBit	bleachbit	BleachBit
s	s	s
creator	creator	creator
says	say	say
Hillary	hillari	Hillary
may	may	may
have	have	have
chosen	chosen	chosen
that	that	that
program	program	program
to	to	to
scrub	scrub	scrub
emails	email	email
because	becaus	because
it	it	it
doesn	doesn	doesn
t	t	t
leave	leav	leave
a	a	a
money	money	money
trail	trail	trail
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
decision	decis	decision
to	to	to
use	use	use
BleachBit	bleachbit	BleachBit
to	to	to
scrub	scrub	scrub
her	her	her
private	privat	private
email	email	email
server	server	server
could	could	could
have	have	have
been	been	been
based	base	based
on	on	on
the	the	the
fact	fact	fact
that	that	that
the	the	the
free	free	free
software	softwar	software
can	can	can
be	be	be
downloaded	download	downloaded
and	and	and
used	use	used
with	with	with
complete	complet	complete
anonymity	anonym	anonymity
,	,	,
the	the	the
program	program	program
s	s	s
developer	develop	developer
said	said	said
.	.	.
Andrew	andrew	Andrew
Ziem	ziem	Ziem
,	,	,
the	the	the
creator	creator	creator
of	of	of
BleachBit	bleachbit	BleachBit
,	,	,
pointed	point	pointed
to	to	to
a	a	a
recent	recent	recent
CNN	cnn	CNN
report	report	report
about	about	about
his	his	his
software	softwar	software
in	in	in
which	which	which
a	a	a
computer	comput	computer
security	secur	security
expert	expert	expert
had	had	had
speculated	specul	speculated
that	that	that
Clinton	clinton	Clinton
s	s	s
team	team	team
would	would	would
have	have	have
selected	select	selected
a	a	a
more	more	more
expensive	expens	expensive
,	,	,
more	more	more
sophisticated	sophist	sophisticated
service	servic	service
if	if	if
it	it	it
truly	truli	truly
sought	sought	sought
to	to	to
conceal	conceal	conceal
records	record	record
.	.	.

