Following	follow	Following
the	the	the
mass	mass	mass
exodus	exodus	exodus
of	of	of
Hispanic	hispan	Hispanic
surrogates	surrog	surrogate
from	from	from
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
,	,	,
Eric	eric	Eric
Trump	trump	Trump
is	is	is
pretty	pretti	pretty
confused	confus	confused
.	.	.
After	after	After
all	all	all
,	,	,
his	his	his
dad	dad	dad
has	has	ha
been	been	been
very	veri	very
,	,	,
very	veri	very
consistent	consist	consistent
about	about	about
his	his	his
plans	plan	plan
on	on	on
immigration	immigr	immigration
,	,	,
so	so	so
why	whi	why
would	would	would
they	they	they
do	do	do
this	this	this
to	to	to
the	the	the
saintly	saint	saintly
candidate	candid	candidate
?	?	?
Eric	eric	Eric
seems	seem	seems
to	to	to
think	think	think
that	that	that
,	,	,
since	sinc	since
nothing	noth	nothing
has	has	ha
changed	chang	changed
,	,	,
there	there	there
s	s	s
no	no	no
reason	reason	reason
for	for	for
Hispanic	hispan	Hispanic
advocates	advoc	advocate
to	to	to
be	be	be
upset	upset	upset
.	.	.
He	he	He
really	realli	really
doesn	doesn	doesn
t	t	t
get	get	get
it	it	it
.	.	.
In	in	In
an	an	an
appearance	appear	appearance
on	on	on
Fox	fox	Fox
Friends	friend	Friends
,	,	,
he	he	he
actually	actual	actually
said	said	said
It	it	It
is	is	is
actually	actual	actually
pretty	pretti	pretty
amazing	amaz	amazing
considering	consid	considering
the	the	the
speech	speech	speech
was	was	wa
actually	actual	actually
very	veri	very
consistent	consist	consistent
and	and	and
he	he	he
has	has	ha
been	been	been
very	veri	very
,	,	,
very	veri	very
consistent	consist	consistent
with	with	with
his	his	his
plan	plan	plan
.	.	.
It	it	It
s	s	s
really	realli	really
interesting	interest	interesting
.	.	.
What	what	What
s	s	s
interesting	interest	interesting
is	is	is
not	not	not
that	that	that
Hispanics	hispan	Hispanics
are	are	are
now	now	now
fleeing	flee	fleeing
Trump	trump	Trump
it	it	it
s	s	s
that	that	that
Eric	eric	Eric
thinks	think	think
his	his	his
consistency	consist	consistency
should	should	should
resonate	reson	resonate
with	with	with
them	them	them
.	.	.
Trump	trump	Trump
went	went	went
to	to	to
Mexico	mexico	Mexico
to	to	to
meet	meet	meet
with	with	with
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
after	after	after
appearing	appear	appearing
to	to	to
soften	soften	soften
his	his	his
position	posit	position
on	on	on
undocumented	undocu	undocumented
immigrants	immigr	immigrant
.	.	.
So	so	So
is	is	is
it	it	it
really	realli	really
any	ani	any
wonder	wonder	wonder
that	that	that
this	this	this
return	return	return
to	to	to
his	his	his
angry	angri	angry
,	,	,
heartless	heartless	heartless
,	,	,
racist	racist	racist
stance	stanc	stance
that	that	that
Hispanics	hispan	Hispanics
are	are	are
the	the	the
enemy	enemi	enemy
to	to	to
real	real	real
Americans	american	Americans
feels	feel	feel
like	like	like
a	a	a
betrayal	betray	betrayal
?	?	?
