Well	well	Well
,	,	,
what	what	what
would	would	would
Friday	friday	Friday
be	be	be
without	without	without
the	the	the
latest	latest	latest
document	document	document
dump	dump	dump
from	from	from
the	the	the
Clinton	clinton	Clinton
email	email	email
investigation	investig	investigation
?	?	?

Yesterday	yesterday	Yesterday
afternoon	afternoon	afternoon
,	,	,
with	with	with
the	the	the
public	public	public
in	in	in
distracted	distract	distracted
anticipation	anticip	anticipation
of	of	of
the	the	the
coming	come	coming
weekend	weekend	weekend
and	and	and
Monday	monday	Monday
s	s	s
Clinton	clinton	Clinton
-Trump	-trump	-Trump
debate	debat	debate
showdown	showdown	showdown
,	,	,
the	the	the
FBI	fbi	FBI
released	releas	released
another	anoth	another
189	189	189
pages	page	page
of	of	of
interview	interview	interview
reports	report	report
.	.	.
Along	along	Along
with	with	with
this	this	this
document	document	document
dump	dump	dump
comes	come	come
remarkable	remark	remarkable
news	news	news
According	accord	According
to	to	to
House	hous	House
Oversight	oversight	Oversight
Committee	committe	Committee
Chairman	chairman	Chairman
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
,	,	,
the	the	the
limited	limit	limited
immunity	immun	immunity
was	was	wa
granted	grant	granted
in	in	in
order	order	order
to	to	to
persuade	persuad	persuade
Ms	ms	Ms
.	.	.
Mills	mill	Mills
to	to	to
surrender	surrend	surrender
her	her	her
laptop	laptop	laptop
computer	comput	computer
so	so	so
the	the	the
FBI	fbi	FBI
could	could	could
check	check	check
whether	whether	whether
classified	classifi	classified
information	inform	information
was	was	wa
stored	store	stored
on	on	on
it	it	it
.	.	.
This	this	This
is	is	is
very	veri	very
strange	strang	strange
.	.	.

There	there	There
was	was	wa
no	no	no
need	need	need
to	to	to
grant	grant	grant
concessions	concess	concession
to	to	to
Mills	mill	Mills
.	.	.

The	the	The
Justice	justic	Justice
Department	depart	Department
could	could	could
have	have	have
required	requir	required
the	the	the
production	product	production
of	of	of
the	the	the
computer	comput	computer
by	by	by
simply	simpli	simply
issuing	issu	issuing
a	a	a
grand	grand	grand
jury	juri	jury
subpoena	subpoena	subpoena
.	.	.

And	and	And
had	had	had
there	there	there
been	been	been
any	ani	any
concern	concern	concern
that	that	that
Mills	mill	Mills
would	would	would
not	not	not
cooperate	cooper	cooperate
,	,	,
would	would	would
destroy	destroy	destroy
the	the	the
computer	comput	computer
,	,	,
or	or	or
would	would	would
misplace	misplac	misplace
it	it	it
as	as	a
Team	team	Team
Clinton	clinton	Clinton
claims	claim	claim
to	to	to
have	have	have
misplaced	misplac	misplaced
so	so	so
many	mani	many
Hillary	hillari	Hillary
devices	devic	device
,	,	,
investigators	investig	investigator
could	could	could
have	have	have
applied	appli	applied
for	for	for
a	a	a
search	search	search
warrant	warrant	warrant
and	and	and
seized	seiz	seized
the	the	the
computer	comput	computer
.	.	.
In	in	In
normal	normal	normal
cases	case	case
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
does	doe	doe
not	not	not
grant	grant	grant
immunity	immun	immunity
in	in	in
exchange	exchang	exchange
for	for	for
evidence	evid	evidence
when	when	when
it	it	it
has	has	ha
lawful	law	lawful
power	power	power
to	to	to
compel	compel	compel
production	product	production
of	of	of
that	that	that
evidence	evid	evidence
.	.	.
In	in	In
a	a	a
normal	normal	normal
case	case	case
,	,	,
immunity	immun	immunity
-from-prosecution	-from-prosecut	-from-prosecution
never	never	never
enters	enter	enters
into	into	into
this	this	this
equation	equat	equation
.	.	.

Immunity	immun	Immunity
is	is	is
a	a	a
valuable	valuabl	valuable
concession	concess	concession
that	that	that
the	the	the
Justice	justic	Justice
Department	depart	Department
is	is	is
only	onli	only
supposed	suppos	supposed
to	to	to
grant	grant	grant
if	if	if
there	there	there
is	is	is
no	no	no
other	other	other
way	way	way
to	to	to
get	get	get
the	the	the
evidence	evid	evidence
in	in	in
question	question	question
.	.	.

Investigators	investig	Investigators
are	are	are
not	not	not
supposed	suppos	supposed
to	to	to
pay	pay	pay
for	for	for
evidence	evid	evidence
the	the	the
law	law	law
empowers	empow	empowers
them	them	them
to	to	to
obtain	obtain	obtain
cost	cost	cost
-free	-free	-free
.	.	.

If	if	If
,	,	,
for	for	for
example	exampl	example
,	,	,
a	a	a
prosecutor	prosecutor	prosecutor
surmised	surmis	surmised
that	that	that
a	a	a
suspect	suspect	suspect
s	s	s
hair	hair	hair
might	might	might
match	match	match
hair	hair	hair
recovered	recov	recovered
at	at	at
the	the	the
scene	scene	scene
of	of	of
a	a	a
robbery	robberi	robbery
,	,	,
the	the	the
prosecutor	prosecutor	prosecutor
would	would	would
not	not	not
offer	offer	offer
the	the	the
suspect	suspect	suspect
immunity	immun	immunity
from	from	from
prosecution	prosecut	prosecution
for	for	for
the	the	the
robbery	robberi	robbery
in	in	in
exchange	exchang	exchange
for	for	for
the	the	the
suspect	suspect	suspect
s	s	s
provision	provis	provision
of	of	of
a	a	a
hair	hair	hair
sample	sampl	sample
.	.	.

The	the	The
prosecutor	prosecutor	prosecutor
would	would	would
issue	issu	issue
a	a	a
subpoena	subpoena	subpoena
requiring	requir	requiring
the	the	the
suspect	suspect	suspect
to	to	to
provide	provid	provide
the	the	the
grand	grand	grand
jury	juri	jury
with	with	with
a	a	a
hair	hair	hair
sample	sampl	sample
;	;	;
if	if	if
there	there	there
was	was	wa
a	a	a
match	match	match
,	,	,
the	the	the
grand	grand	grand
jury	juri	jury
would	would	would
then	then	then
indict	indict	indict
the	the	the
suspect	suspect	suspect
for	for	for
the	the	the
robbery	robberi	robbery
.	.	.

As	as	As
the	the	the
Associated	associ	Associated
Press	press	Press
puts	put	put
it	it	it
By	by	By
including	includ	including
the	the	the
emails	email	email
recovered	recov	recovered
from	from	from
the	the	the
laptops	laptop	laptop
in	in	in
the	the	the
immunity	immun	immunity
agreements	agreement	agreement
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
exempted	exempt	exempted
key	key	key
physical	physic	physical
evidence	evid	evidence
from	from	from
any	ani	any
potential	potenti	potential
criminal	crimin	criminal
case	case	case
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
aides	aid	aide
.	.	.

It	it	It
makes	make	make
no	no	no
sense	sens	sense
to	to	to
have	have	have
done	done	done
this	this	this
unless	unless	unless
the	the	the
Justice	justic	Justice
Department	depart	Department
had	had	had
already	alreadi	already
decided	decid	decided
it	it	it
would	would	would
not	not	not
prosecute	prosecut	prosecute
Mills	mill	Mills
and	and	and
Samuelson	samuelson	Samuelson
,	,	,
no	no	no
matter	matter	matter
what	what	what
the	the	the
proof	proof	proof
showed	show	showed
.	.	.
Read	read	Read
more	more	more
National	nation	National
Review	review	Review

