One	one	One
day	day	day
after	after	after
he	he	he
testified	testifi	testified
about	about	about
being	be	being
stopped	stop	stopped
by	by	by
immigration	immigr	immigration
officials	offici	official
under	under	under
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
the	the	the
son	son	son
of	of	of
boxing	box	boxing
legend	legend	legend
Muhammad	muhammad	Muhammad
Ali	ali	Ali
was	was	wa
detained	detain	detained
by	by	by
immigration	immigr	immigration
officials	offici	official
again	again	again
this	this	this
time	time	time
on	on	on
a	a	a
domestic	domest	domestic
flight	flight	flight
.	.	.
Muhammad	muhammad	Muhammad
Ali	ali	Ali
Jr	jr	Jr
.	.	.
traveled	travel	traveled
to	to	to
Washington	washington	Washington
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
testify	testifi	testify
about	about	about
the	the	the
first	first	first
time	time	time
he	he	he
was	was	wa
detained	detain	detained
on	on	on
his	his	his
way	way	way
back	back	back
from	from	from
a	a	a
Black	black	Black
History	histori	History
Month	month	Month
speech	speech	speech
he	he	he
gave	gave	gave
with	with	with
his	his	his
mother	mother	mother
in	in	in
Jamaica	jamaica	Jamaica
.	.	.
Ali	ali	Ali
Jr	jr	Jr
.	.	.
was	was	wa
initially	initi	initially
detained	detain	detained
at	at	at
Fort	fort	Fort
Lauderdale	lauderdal	Lauderdale
-Hollywood	-hollywood	-Hollywood
International	intern	International
Airport	airport	Airport
on	on	on
February	februari	February
7	7	7
and	and	and
questioned	question	questioned
for	for	for
two	two	two
hours	hour	hour
,	,	,
with	with	with
officials	offici	official
grilling	grill	grilling
him	him	him
with	with	with
ever	ever	ever
-important	-import	-important
questions	question	question
like	like	like
Are	are	Are
you	you	you
a	a	a
Muslim	muslim	Muslim
and	and	and
where	where	where
did	did	did
you	you	you
get	get	get
your	your	your
name	name	name
.	.	.
This	this	This
time	time	time
,	,	,
the	the	the
boxer	boxer	boxer
s	s	s
son	son	son
didn	didn	didn
t	t	t
even	even	even
make	make	make
it	it	it
to	to	to
Florida	florida	Florida
.	.	.
While	while	While
attempting	attempt	attempting
to	to	to
board	board	board
a	a	a
flight	flight	flight
home	home	home
in	in	in
a	a	a
Washington	washington	Washington
-area	-area	-area
airport	airport	airport
,	,	,
the	the	the
TSA	tsa	TSA
immediately	immedi	immediately
took	took	took
issue	issu	issue
with	with	with
his	his	his
identification	identif	identification
When	when	When
Mr	mr	Mr
.	.	.
Ali	ali	Ali
,	,	,
whose	whose	whose
father	father	father
died	die	died
last	last	last
year	year	year
