Republican	republican	Republican
Rep	rep	Rep
.	.	.
Trey	trey	Trey
Gowdy	gowdi	Gowdy
,	,	,
the	the	the
leader	leader	leader
of	of	of
the	the	the
House	hous	House
s	s	s
top	top	top
investigative	investig	investigative
committee	committe	committee
,	,	,
slammed	slam	slammed
special	special	special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
on	on	on
Sunday	sunday	Sunday
for	for	for
allowing	allow	allowing
the	the	the
news	news	news
media	media	medium
to	to	to
learn	learn	learn
that	that	that
he	he	he
and	and	and
his	his	his
legal	legal	legal
team	team	team
now	now	now
have	have	have
charges	charg	charge
in	in	in
their	their	their
Russia	russia	Russia
investigation	investig	investigation
.	.	.
In	in	In
the	the	the
only	onli	only
conversation	convers	conversation
I	i	I
ve	ve	ve
had	had	had
with	with	with
Robert	robert	Robert
Mueller	mueller	Mueller
,	,	,
I	i	I
stressed	stress	stressed
to	to	to
him	him	him
the	the	the
importance	import	importance
of	of	of
cutting	cut	cutting
out	out	out
the	the	the
leaks	leak	leak
,	,	,
Gowdy	gowdi	Gowdy
,	,	,
chairman	chairman	chairman
of	of	of
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Oversight	oversight	Oversight
and	and	and
Government	govern	Government
Reform	reform	Reform
,	,	,
told	told	told
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
.	.	.
It	it	It
s	s	s
kind	kind	kind
of	of	of
ironic	iron	ironic
that	that	that
the	the	the
people	peopl	people
charged	charg	charged
with	with	with
investigating	investig	investigating
the	the	the
law	law	law
and	and	and
the	the	the
violations	violat	violation
of	of	of
the	the	the
law	law	law
would	would	would
violate	violat	violate
the	the	the
law	law	law
.	.	.
Mueller	mueller	Mueller
and	and	and
his	his	his
team	team	team
have	have	have
for	for	for
roughly	rough	roughly
the	the	the
past	past	past
five	five	five
months	month	month
been	been	been
leading	lead	leading
a	a	a
Justice	justic	Justice
Department	depart	Department
investigation	investig	investigation
into	into	into
whether	whether	whether
anybody	anybodi	anybody
associated	associ	associated
with	with	with
the	the	the
President	presid	President
Trump	trump	Trump
s	s	s
2016	2016	2016
White	white	White
House	hous	House
campaign	campaign	campaign
colluded	collud	colluded
with	with	with
Russia	russia	Russia
to	to	to
influence	influenc	influence
the	the	the
election	elect	election
outcome	outcom	outcome
.	.	.
On	on	On
Friday	friday	Friday
night	night	night
,	,	,
CNN	cnn	CNN
reported	report	reported
that	that	that
Mueller	mueller	Mueller
s	s	s
team	team	team
has	has	ha
filed	file	filed
the	the	the
first	first	first
charges	charg	charge
in	in	in
the	the	the
case	case	case
with	with	with
a	a	a
federal	feder	federal
grand	grand	grand
jury	juri	jury
.	.	.
IN	in	IN
THE	the	THE
MEAN	mean	MEAN
TIME	time	TIME
,	,	,
TRUMP	trump	TRUMP
S	s	S
LAWYER	lawyer	LAWYER
SAYS	say	SAYS
THERE	there	THERE
S	s	S
NO	no	NO
WORRY	worri	WORRY
Donald	donald	Donald
Trump	trump	Trump
s	s	s
lawyer	lawyer	lawyer
says	say	say
President	presid	President
Trump	trump	Trump
is	is	is
not	not	not
worried	worri	worried
about	about	about
what	what	what
his	his	his
former	former	former
campaign	campaign	campaign
chairman	chairman	chairman
Paul	paul	Paul
Manafort	manafort	Manafort
or	or	or
former	former	former
national	nation	national
security	secur	security
adviser	advis	adviser
Mike	mike	Mike
Flynn	flynn	Flynn
told	told	told
special	special	special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
in	in	in
his	his	his
investigation	investig	investigation
into	into	into
Russian	russian	Russian
meddling	meddl	meddling
in	in	in
the	the	the
2016	2016	2016
election	elect	election
.	.	.
Ty	ty	Ty
Cobb	cobb	Cobb
told	told	told
the	the	the
New	new	New
York	york	York
Times	time	Times
Trump	trump	Trump
is	is	is
confident	confid	confident
neither	neither	neither
Manafort	manafort	Manafort
nor	nor	nor
Flynn	flynn	Flynn
has	has	ha
incriminating	incrimin	incriminating
information	inform	information
about	about	about
the	the	the
president	presid	president
.	.	.
The	the	The
president	presid	president
has	has	ha
no	no	no
concerns	concern	concern
in	in	in
terms	term	term
of	of	of
any	ani	any
impact	impact	impact
,	,	,
as	as	a
to	to	to
what	what	what
happens	happen	happens
to	to	to
them	them	them
,	,	,
on	on	on
his	his	his
campaign	campaign	campaign
or	or	or
on	on	on
the	the	the
White	white	White
House	hous	House
,	,	,
Cobb	cobb	Cobb
said	said	said
.	.	.
Prosecutors	prosecutor	Prosecutors
on	on	on
Mueller	mueller	Mueller
s	s	s
team	team	team
reportedly	report	reportedly
warned	warn	warned
Manafort	manafort	Manafort
to	to	to
expect	expect	expect
an	an	an
indictment	indict	indictment
when	when	when
they	they	they
raided	raid	raided
his	his	his
Virginia	virginia	Virginia
home	home	home
in	in	in
July	juli	July
.	.	.
CNN	cnn	CNN
reported	report	reported
late	late	late
Friday	friday	Friday
the	the	the
first	first	first
charges	charg	charge
have	have	have
been	been	been
filed	file	filed
in	in	in
the	the	the
Russia	russia	Russia
investigation	investig	investigation
and	and	and
anyone	anyon	anyone
charged	charg	charged
could	could	could
be	be	be
taken	taken	taken
into	into	into
custody	custodi	custody
as	as	a
soon	soon	soon
as	as	a
Monday	monday	Monday
.	.	.
It	it	It
is	is	is
not	not	not
known	known	known
who	who	who
is	is	is
being	be	being
charged	charg	charged
in	in	in
the	the	the
case	case	case
.	.	.
Trump	trump	Trump
likes	like	like
and	and	and
respects	respect	respect
Mr	mr	Mr
.	.	.
Manafort	manafort	Manafort
and	and	and
appreciates	appreci	appreciates
the	the	the
work	work	work
he	he	he
did	did	did
for	for	for
him	him	him
during	dure	during
the	the	the
three	three	three
months	month	month
he	he	he
was	was	wa
with	with	with
the	the	the
campaign	campaign	campaign
.	.	.
He	he	He
likes	like	like
General	general	General
Flynn	flynn	Flynn
personally	person	personally
,	,	,
but	but	but
understands	understand	understands
that	that	that
they	they	they
have	have	have
their	their	their
own	own	own
path	path	path
with	with	with
the	the	the
special	special	special
counsel	counsel	counsel
,	,	,
Cobb	cobb	Cobb
said	said	said
.	.	.
I	i	I
think	think	think
he	he	he
would	would	would
be	be	be
sad	sad	sad
for	for	for
them	them	them
,	,	,
as	as	a
a	a	a
friend	friend	friend
and	and	and
a	a	a
former	former	former
colleague	colleagu	colleague
,	,	,
if	if	if
the	the	the
process	process	process
results	result	result
in	in	in
punishment	punish	punishment
or	or	or
indictments	indict	indictment
.	.	.
But	but	But
to	to	to
the	the	the
extent	extent	extent
that	that	that
