Thanks	thank	Thanks
to	to	to
the	the	the
funding	fund	funding
our	our	our
GOP	gop	GOP
majority	major	majority
Congress	congress	Congress
approved	approv	approved
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
,	,	,
Obama	obama	Obama
plans	plan	plan
to	to	to
actually	actual	actually
increase	increas	increase
the	the	the
number	number	number
of	of	of
refugees	refuge	refugee
Muslims	muslim	Muslims
he	he	he
will	will	will
bring	bring	bring
to	to	to
the	the	the
US	us	US
.	.	.

To	to	To
hell	hell	hell
with	with	with
our	our	our
national	nation	national
security	secur	security
.	.	.

It	it	It
s	s	s
all	all	all
about	about	about
the	the	the
votes	vote	vote
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Denis	deni	Denis
McDonough	mcdonough	McDonough
on	on	on
Wednesday	wednesday	Wednesday
said	said	said
that	that	that
the	the	the
Obama	obama	Obama
administration	administr	administration
is	is	is
prepared	prepar	prepared
to	to	to
aggressively	aggress	aggressively
defend	defend	defend
the	the	the
United	unit	United
States	state	States
plans	plan	plan
to	to	to
accept	accept	accept
refugees	refuge	refugee
from	from	from
Syria	syria	Syria
as	as	a
some	some	some
American	american	American
lawmakers	lawmak	lawmaker
demand	demand	demand
that	that	that
the	the	the
government	govern	government
apply	appli	apply
stricter	stricter	stricter
background	background	background
checks	check	check
to	to	to
refugees	refuge	refugee
from	from	from
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
.	.	.
When	when	When
asked	ask	asked
at	at	at
a	a	a
Christian	christian	Christian
Science	scienc	Science
Monitor	monitor	Monitor
breakfast	breakfast	breakfast
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
how	how	how
the	the	the
administration	administr	administration
will	will	will
address	address	address
some	some	some
lawmakers	lawmak	lawmaker
calls	call	call
for	for	for
the	the	the
government	govern	government
to	to	to
apply	appli	apply
greater	greater	greater
scrutiny	scrutini	scrutiny
to	to	to
certain	certain	certain
refugees	refuge	refugee
entering	enter	entering
the	the	the
country	countri	country
,	,	,
McDonough	mcdonough	McDonough
said	said	said
that	that	that
the	the	the
administration	administr	administration
sees	see	see
the	the	the
resettlement	resettl	resettlement
of	of	of
Syrian	syrian	Syrian
refugees	refuge	refugee
as	as	a
a	a	a
priority	prioriti	priority
and	and	and
also	also	also
as	as	a
a	a	a
policy	polici	policy
it	it	it
will	will	will
have	have	have
to	to	to
defend	defend	defend
.	.	.

My	my	My
hunch	hunch	hunch
is	is	is
that	that	that
it	it	it
will	will	will
continue	continu	continue
to	to	to
be	be	be
controversial	controversi	controversial
,	,	,
for	for	for
the	the	the
reasons	reason	reason
the	the	the
President	presid	President
pointed	point	pointed
out	out	out
in	in	in
the	the	the
speech	speech	speech
last	last	last
night	night	night
,	,	,
McDonough	mcdonough	McDonough
said	said	said
.	.	.
He	he	He
said	said	said
that	that	that
the	the	the
administration	administr	administration
will	will	will
continue	continu	continue
to	to	to
make	make	make
the	the	the
point	point	point
that	that	that
accepting	accept	accepting
refugees	refuge	refugee
adds	add	add
immeasurably	immeasur	immeasurably
to	to	to
the	the	the
national	nation	national
interest	interest	interest
and	and	and
is	is	is
prepared	prepar	prepared
to	to	to
put	put	put
up	up	up
a	a	a
fight	fight	fight
against	against	against
those	those	those
who	who	who
oppose	oppos	oppose
current	current	current
policies	polici	policy
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
get	get	get
out	out	out
there	there	there
and	and	and
aggressively	aggress	aggressively
defend	defend	defend
that	that	that
,	,	,
he	he	he
said	said	said
.	.	.

That	that	That
will	will	will
be	be	be
tough	tough	tough
to	to	to
beat	beat	beat
,	,	,
as	as	a
it	it	it
was	was	wa
last	last	last
year	year	year
,	,	,
McDonough	mcdonough	McDonough
said	said	said
of	of	of
the	the	the
administration	administr	administration
s	s	s
focus	focus	focus
on	on	on
accepting	accept	accepting
refugees	refuge	refugee
.	.	.

And	and	And
we	we	we
ll	ll	ll
see	see	see
how	how	how
it	it	it
goes	goe	go
.	.	.

But	but	But
we	we	we
won	won	won
t	t	t
shy	shi	shy
from	from	from
it	it	it
.	.	.

The	the	The
chief	chief	chief
of	of	of
staff	staff	staff
also	also	also
said	said	said
that	that	that
the	the	the
administration	administr	administration
plans	plan	plan
to	to	to
expand	expand	expand
the	the	the
number	number	number
of	of	of
refugees	refuge	refugee
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
accepts	accept	accepts
overall	overal	overall
and	and	and
that	that	that
he	he	he
believes	believ	belief
the	the	the
budget	budget	budget
passed	pass	passed
by	by	by
Congress	congress	Congress
allows	allow	allows
them	them	them
to	to	to
do	do	do
so	so	so
.	.	.
Via	via	Via
TPM	tpm	TPM

