No	no	No
reason	reason	reason
to	to	to
deal	deal	deal
in	in	in
facts	fact	fact
.	.	.

A	a	A
black	black	black
man	man	man
was	was	wa
killed	kill	killed
by	by	by
a	a	a
white	white	white
cop	cop	cop
why	whi	why
bother	bother	bother
with	with	with
a	a	a
trial	trial	trial
right	right	right
?	?	?

The	the	The
verdict	verdict	verdict
is	is	is
in	in	in
for	for	for
one	one	one
of	of	of
the	the	the
officers	offic	officer
tried	tri	tried
in	in	in
the	the	the
death	death	death
of	of	of
Freddie	freddi	Freddie
Gray	gray	Gray
not	not	not
guilty	guilti	guilty
.	.	.
Baltimore	baltimor	Baltimore
Circuit	circuit	Circuit
Judge	judg	Judge
Barry	barri	Barry
Williams	william	Williams
found	found	found
Officer	offic	Officer
Edward	edward	Edward
Nero	nero	Nero
,	,	,
30	30	30
,	,	,
not	not	not
guilty	guilti	guilty
of	of	of
all	all	all
charges	charg	charge
Monday	monday	Monday
,	,	,
The	the	The
Baltimore	baltimor	Baltimore
Sun	sun	Sun
reports	report	report
.	.	.
For	for	For
anyone	anyon	anyone
who	who	who
questions	question	question
whether	whether	whether
or	or	or
not	not	not
the	the	the
trial	trial	trial
was	was	wa
biased	bias	biased
or	or	or
unfair	unfair	unfair
,	,	,
they	they	they
may	may	may
want	want	want
to	to	to
consider	consid	consider
Judge	judg	Judge
Williams	william	Williams
commitment	commit	commitment
to	to	to
civil	civil	civil
rights	right	right
Judge	judg	Judge
Williams	william	Williams
worked	work	worked
for	for	for
the	the	the
civil	civil	civil
rights	right	right
division	divis	division
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Justice	justic	Justice
Department	depart	Department
,	,	,
2002	2002	2002
-2005	-2005	-2005
.	.	.

He	he	He
was	was	wa
a	a	a
trial	trial	trial
attorney	attorney	attorney
in	in	in
the	the	the
civil	civil	civil
rights	right	right
division	divis	division
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Justice	justic	Justice
,	,	,
1997	1997	1997
-2002	-2002	-2002
.	.	.

The	the	The
officer	offic	officer
elected	elect	elected
to	to	to
have	have	have
a	a	a
bench	bench	bench
trial	trial	trial
,	,	,
which	which	which
means	mean	mean
he	he	he
waved	wave	waved
his	his	his
right	right	right
to	to	to
a	a	a
jury	juri	jury
trial	trial	trial
and	and	and
allowed	allow	allowed
the	the	the
judge	judg	judge
to	to	to
decide	decid	decide
his	his	his
fate	fate	fate
.	.	.
Prosecutors	prosecutor	Prosecutors
hit	hit	hit
Nero	nero	Nero
with	with	with
misdemeanor	misdemeanor	misdemeanor
charges	charg	charge
of	of	of
second	second	second
-degree	-degre	-degree
assault	assault	assault
,	,	,
reckless	reckless	reckless
endangerment	endanger	endangerment
as	as	a
well	well	well
as	as	a
two	two	two
counts	count	count
of	of	of
misconduct	misconduct	misconduct
in	in	in
office	offic	office
,	,	,
which	which	which
could	could	could
have	have	have
landed	land	landed
him	him	him
with	with	with
up	up	up
to	to	to
15	15	15
years	year	year
in	in	in
prison	prison	prison
.	.	.
The	the	The
prosecution	prosecut	prosecution
argued	argu	argued
that	that	that
Nero	nero	Nero
was	was	wa
wrong	wrong	wrong
in	in	in
detaining	detain	detaining
Gray	gray	Gray
without	without	without
a	a	a
good	good	good
reason	reason	reason
and	and	and
for	for	for
not	not	not
buckling	buckl	buckling
him	him	him
into	into	into
the	the	the
van	van	van
.	.	.

Five	five	Five
other	other	other
officers	offic	officer
were	were	were
involved	involv	involved
in	in	in
the	the	the
death	death	death
.	.	.

Officer	offic	Officer
Caesar	caesar	Caesar
Goodson	goodson	Goodson
Jr	jr	Jr
.	.	.
will	will	will
be	be	be
the	the	the
next	next	next
tried	tri	tried
,	,	,
set	set	set
to	to	to
begin	begin	begin
June	june	June
6	6	6
.	.	.
Police	polic	Police
arrested	arrest	arrested
Gray	gray	Gray
in	in	in
April	april	April
and	and	and
transported	transport	transported
him	him	him
in	in	in
the	the	the
back	back	back
of	of	of
a	a	a
police	polic	police
van	van	van
.	.	.

The	the	The
details	detail	detail
are	are	are
unclear	unclear	unclear
with	with	with
conflicting	conflict	conflicting
accounts	account	account
,	,	,
but	but	but
Gray	gray	Gray
appeared	appear	appeared
healthy	healthi	healthy
when	when	when
arrested	arrest	arrested
and	and	and
was	was	wa
severely	sever	severely
injured	injur	injured
within	within	within
an	an	an
hour	hour	hour
after	after	after
his	his	his
encounter	encount	encounter
with	with	with
police	polic	police
.	.	.

His	his	His
spinal	spinal	spinal
cord	cord	cord
was	was	wa
severely	sever	severely
damaged	damag	damaged
and	and	and
he	he	he
died	die	died
a	a	a
week	week	week
later	later	later
from	from	from
the	the	the
injuries	injuri	injury
.	.	.
Baltimore	baltimor	Baltimore
Police	polic	Police
Officer	offic	Officer
William	william	William
Porter	porter	Porter
,	,	,
26	26	26
,	,	,
was	was	wa
the	the	the
first	first	first
of	of	of
six	six	six
officers	offic	officer
to	to	to
be	be	be
tried	tri	tried
,	,	,
but	but	but
the	the	the
case	case	case
was	was	wa
declared	declar	declared
a	a	a
mistrial	mistrial	mistrial
.	.	.

All	all	All
will	will	will
be	be	be
tried	tri	tried
separately	separ	separately
.	.	.

Porter	porter	Porter
,	,	,
who	who	who
is	is	is
black	black	black
,	,	,
is	is	is
scheduled	schedul	scheduled
to	to	to
be	be	be
tried	tri	tried
again	again	again
in	in	in
September	septemb	September
.	.	.

Although	although	Although
he	he	he
did	did	did
not	not	not
arrest	arrest	arrest
Gray	gray	Gray
,	,	,
he	he	he
is	is	is
accused	accus	accused
of	of	of
not	not	not
properly	proper	properly
buckling	buckl	buckling
him	him	him
into	into	into
the	the	the
van	van	van
,	,	,
which	which	which
may	may	may
have	have	have
allowed	allow	allowed
him	him	him
to	to	to
slide	slide	slide
around	around	around
in	in	in
the	the	the
back	back	back
,	,	,
potentially	potenti	potentially
