Just	just	Just
when	when	when
you	you	you
thought	thought	thought
Trump	trump	Trump
might	might	might
have	have	have
calmed	calm	calmed
down	down	down
while	while	while
basking	bask	basking
in	in	in
the	the	the
glow	glow	glow
of	of	of
his	his	his
written	written	written
-for-him	-for-him	-for-him
speech	speech	speech
at	at	at
the	the	the
Joint	joint	Joint
Address	address	Address
,	,	,
he	he	he
decides	decid	decides
to	to	to
come	come	come
out	out	out
and	and	and
make	make	make
zero	zero	zero
sense	sens	sense
with	with	with
a	a	a
chopped	chop	chopped
up	up	up
statement	statement	statement
about	about	about
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
.	.	.
He	he	He
could	could	could
have	have	have
just	just	just
left	left	left
it	it	it
as	as	a
a	a	a
statement	statement	statement
on	on	on
his	his	his
Facebook	facebook	Facebook
page	page	page
and	and	and
offered	offer	offered
a	a	a
link	link	link
to	to	to
it	it	it
,	,	,
but	but	but
no	no	no
,	,	,
he	he	he
decided	decid	decided
to	to	to
appear	appear	appear
as	as	a
crazy	crazi	crazy
as	as	a
ever	ever	ever
.	.	.
Keep	keep	Keep
in	in	in
mind	mind	mind
it	it	it
was	was	wa
about	about	about
eight	eight	eight
minutes	minut	minute
between	between	between
tweets	tweet	tweet
that	that	that
s	s	s
a	a	a
lot	lot	lot
of	of	of
words	word	word
for	for	for
his	his	his
tiny	tini	tiny
thumbs	thumb	thumb
.	.	.
He	he	He
tweeted	tweet	tweeted
Jeff	jeff	Jeff
Sessions	session	Sessions
is	is	is
an	an	an
honest	honest	honest
man	man	man
.	.	.
He	he	He
did	did	did
not	not	not
say	say	say
anything	anyth	anything
wrong	wrong	wrong
.	.	.
He	he	He
could	could	could
have	have	have
stated	state	stated
his	his	his
response	respons	response
more	more	more
accurately	accur	accurately
,	,	,
but	but	but
it	it	it
was	was	wa
clearly	clear	clearly
not	not	not
intentional	intent	intentional
.	.	.
This	this	This
whole	whole	whole
narrative	narrat	narrative
is	is	is
a	a	a
way	way	way
of	of	of
saving	save	saving
face	face	face
for	for	for
Democrats	democrat	Democrats
losing	lose	losing
an	an	an
election	elect	election
that	that	that
everyone	everyon	everyone
thought	thought	thought
they	they	they
were	were	were
supposed	suppos	supposed
to	to	to
win	win	win
.	.	.
The	the	The
Democrats	democrat	Democrats
are	are	are
overplaying	overplay	overplaying
their	their	their
hand	hand	hand
.	.	.
They	they	They
lost	lost	lost
the	the	the
election	elect	election
and	and	and
now	now	now
,	,	,
they	they	they
have	have	have
lost	lost	lost
their	their	their
grip	grip	grip
on	on	on
reality	realiti	reality
.	.	.
The	the	The
real	real	real
story	stori	story
is	is	is
all	all	all
of	of	of
the	the	the
illegal	illeg	illegal
leaks	leak	leak
of	of	of
classified	classifi	classified
and	and	and
other	other	other
information	inform	information
.	.	.
It	it	It
is	is	is
a	a	a
total	total	total
witch	witch	witch
hunt	hunt	hunt
!	!	!
