Wow	wow	Wow
!	!	!

This	this	This
young	young	young
Asian	asian	Asian
student	student	student
nails	nail	nail
it	it	it
!	!	!

He	he	He
speaks	speak	speaks
for	for	for
every	everi	every
American	american	American
who	who	who
has	has	ha
been	been	been
a	a	a
victim	victim	victim
of	of	of
Obama	obama	Obama
s	s	s
failed	fail	failed
government	govern	government
experiment	experi	experiment
.	.	.

The	the	The
Left	left	Left
has	has	ha
turned	turn	turned
our	our	our
world	world	world
upside	upsid	upside
down	down	down
and	and	and
many	mani	many
people	peopl	people
in	in	in
America	america	America
believe	believ	believe
that	that	that
we	we	we
are	are	are
very	veri	very
close	close	close
to	to	to
a	a	a
civil	civil	civil
war	war	war
.	.	.

This	this	This
brilliant	brilliant	brilliant
young	young	young
Asian	asian	Asian
student	student	student
warns	warn	warns
the	the	the
Left	left	Left
to	to	to
turn	turn	turn
back	back	back
now	now	now
,	,	,
warning	warn	warning
them	them	them
it	it	it
s	s	s
a	a	a
line	line	line
you	you	you
don	don	don
t	t	t
want	want	want
to	to	to
cross	cross	cross
.	.	.

He	he	He
blames	blame	blame
them	them	them
for	for	for
normalizing	normal	normalizing
violence	violenc	violence
and	and	and
completely	complet	completely
ignoring	ignor	ignoring
the	the	the
rule	rule	rule
of	of	of
law	law	law
as	as	a
a	a	a
way	way	way
to	to	to
threaten	threaten	threaten
people	peopl	people
who	who	who
don	don	don
t	t	t
agree	agre	agree
with	with	with
you	you	you
.	.	.
Here	here	Here
is	is	is
a	a	a
part	part	part
of	of	of
his	his	his
message	messag	message
that	that	that
can	can	can
be	be	be
seen	seen	seen
in	in	in
the	the	the
video	video	video
below	below	below
Once	onc	Once
you	you	you
cross	cross	cross
that	that	that
line	line	line
,	,	,
you	you	you
re	re	re
starting	start	starting
a	a	a
war	war	war
you	you	you
cannot	cannot	cannot
win	win	win
.	.	.

You	you	You
think	think	think
you	you	you
re	re	re
so	so	so
big	big	big
and	and	and
powerful	power	powerful
.	.	.

Step	step	Step
out	out	out
of	of	of
your	your	your
bubble	bubbl	bubble
.	.	.

Step	step	Step
out	out	out
of	of	of
the	the	the
liberal	liber	liberal
cities	citi	city
,	,	,
and	and	and
look	look	look
at	at	at
the	the	the
rest	rest	rest
of	of	of
the	the	the
country	countri	country
.	.	.

You	you	You
re	re	re
outnumbered	outnumb	outnumbered
,	,	,
outmanned	outman	outmanned
and	and	and
outgunned	outgun	outgunned
.	.	.

You	you	You
cannot	cannot	cannot
win	win	win
this	this	this
if	if	if
it	it	it
turns	turn	turn
violent	violent	violent
.	.	.

If	if	If
you	you	you
normalize	normal	normalize
violence	violenc	violence
,	,	,
if	if	if
violence	violenc	violence
is	is	is
okay	okay	okay
,	,	,
you	you	you
cannot	cannot	cannot
win	win	win
.	.	.

You	you	You
can	can	can
win	win	win
by	by	by
reaching	reach	reaching
out	out	out
to	to	to
conservatives	conserv	conservative
.	.	.

Talk	talk	Talk
to	to	to
them	them	them
.	.	.

Talk	talk	Talk
to	to	to
Trump	trump	Trump
supporters	support	supporter
and	and	and
ask	ask	ask
them	them	them
why	whi	why
they	they	they
believe	believ	believe
what	what	what
they	they	they
believe	believ	believe
and	and	and
maybe	mayb	maybe
,	,	,
maybe	mayb	maybe
you	you	you
ll	ll	ll
find	find	find
common	common	common
ground	ground	ground
.	.	.

Maybe	mayb	Maybe
you	you	you
might	might	might
even	even	even
convince	convinc	convince
us	us	u
to	to	to
adopt	adopt	adopt
your	your	your
positions	posit	position
.	.	.

Who	who	Who
knows	know	know
?	?	?

Put	put	Put
down	down	down
your	your	your
fists	fist	fist
.	.	.

Take	take	Take
off	off	off
your	your	your
masks	mask	mask
.	.	.

Fight	fight	Fight
with	with	with
your	your	your
words	word	word
,	,	,
not	not	not
sticks	stick	stick
and	and	and
stones	stone	stone
.	.	.

Because	becaus	Because
if	if	if
you	you	you
do	do	do
not	not	not
change	chang	change
,	,	,
you	you	you
re	re	re
going	go	going
to	to	to
lose	lose	lose
.	.	.

You	you	You
need	need	need
us	us	u
on	on	on
your	your	your
side	side	side
.	.	.

You	you	You
need	need	need
to	to	to
convince	convinc	convince
us	us	u
why	whi	why
you	you	you
re	re	re
right	right	right
.	.	.

You	you	You
cannot	cannot	cannot
divide	divid	divide
us	us	u
.	.	.

You	you	You
need	need	need
us	us	u
on	on	on
your	your	your
side	side	side
because	becaus	because
Generation	generat	Generation
Z	z	Z
,	,	,
the	the	the
kids	kid	kid
that	that	that
are	are	are
growing	grow	growing
up	up	up
and	and	and
being	be	being
born	born	born
right	right	right
now	now	now
,	,	,
they	they	they
re	re	re
projected	project	projected
to	to	to
be	be	be
the	the	the
most	most	most
conservative	conserv	conservative
generation	generat	generation
in	in	in
decades	decad	decade
,	,	,
more	more	more
conservative	conserv	conservative
than	than	than
your	your	your
grandparents	grandpar	grandparent
.	.	.

These	these	These
kids	kid	kid
are	are	are
growing	grow	growing
up	up	up
on	on	on
the	the	the
internet	internet	internet
.	.	.

The	the	The
future	futur	future
s	s	s
in	in	in
their	their	their
hands	hand	hand
,	,	,
and	and	and
they	they	they
re	re	re
on	on	on
our	our	our
side	side	side
.	.	.

So	so	So
unless	unless	unless
you	you	you
change	chang	change
your	your	your
ways	way	way
you	you	you
ve	ve	ve
already	alreadi	already
lost	lost	lost
.	.	.

