Paul	paul	Paul
Lepage	lepag	Lepage
,	,	,
the	the	the
Tea	tea	Tea
Party	parti	Party
disaster	disast	disaster
that	that	that
happens	happen	happens
to	to	to
technically	technic	technically
be	be	be
the	the	the
governor	governor	governor
of	of	of
Maine	main	Maine
,	,	,
just	just	just
keeps	keep	keep
finding	find	finding
bold	bold	bold
new	new	new
ways	way	way
to	to	to
prove	prove	prove
he	he	he
isn	isn	isn
t	t	t
qualified	qualifi	qualified
to	to	to
hold	hold	hold
his	his	his
job	job	job
.	.	.
I	i	I
say	say	say
he	he	he
is	is	is
technically	technic	technically
the	the	the
governor	governor	governor
of	of	of
Maine	main	Maine
because	becaus	because
the	the	the
word	word	word
itself	itself	itself
implies	impli	implies
governing	govern	governing
as	as	a
in	in	in
working	work	working
and	and	and
doing	do	doing
a	a	a
job	job	job
.	.	.
LePage	lepag	LePage
does	doe	doe
virtually	virtual	virtually
none	none	none
of	of	of
that	that	that
.	.	.
The	the	The
latest	latest	latest
crusade	crusad	crusade
of	of	of
stupidity	stupid	stupidity
he	he	he
has	has	ha
embarked	embark	embarked
upon	upon	upon
is	is	is
the	the	the
outright	outright	outright
refusal	refus	refusal
to	to	to
perform	perform	perform
his	his	his
constitutional	constitut	constitutional
duty	duti	duty
and	and	and
swear	swear	swear
in	in	in
a	a	a
new	new	new
state	state	state
senator	senat	senator
,	,	,
who	who	who
recently	recent	recently
won	won	won
a	a	a
special	special	special
election	elect	election
.	.	.
This	this	This
leaves	leav	leaf
people	peopl	people
of	of	of
his	his	his
state	state	state
without	without	without
representation	represent	representation
in	in	in
their	their	their
capitol	capitol	capitol
and	and	and
shows	show	show
yet	yet	yet
again	again	again
why	whi	why
the	the	the
phrase	phrase	phrase
tea	tea	tea
party	parti	party
automatically	automat	automatically
disqualifies	disqualifi	disqualifies
from	from	from
any	ani	any
position	posit	position
of	of	of
authority	author	authority
in	in	in
any	ani	any
job	job	job
.	.	.
Susan	susan	Susan
Deschambault	deschambault	Deschambault
,	,	,
a	a	a
Biddeford	biddeford	Biddeford
Democrat	democrat	Democrat
,	,	,
won	won	won
a	a	a
special	special	special
election	elect	election
for	for	for
the	the	the
Senate	senat	Senate
District	district	District
32	32	32
seat	seat	seat
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
She	she	She
traveled	travel	traveled
to	to	to
the	the	the
capitol	capitol	capitol
with	with	with
her	her	her
family	famili	family
to	to	to
be	be	be
sworn	sworn	sworn
in	in	in
,	,	,
only	onli	only
to	to	to
be	be	be
told	told	told
the	the	the
governor	governor	governor
refused	refus	refused
to	to	to
do	do	do
it	it	it
.	.	.
His	his	His
reason	reason	reason
is	is	is
even	even	even
worse	wors	worse
than	than	than
his	his	his
behavior	behavior	behavior
.	.	.
LePage	lepag	LePage
won	won	won
t	t	t
swear	swear	swear
her	her	her
in	in	in
because	becaus	because
of	of	of
a	a	a
totally	total	totally
unrelated	unrel	unrelated
issue	issu	issue
where	where	where
the	the	the
senate	senat	senate
has	has	ha
rejected	reject	rejected
the	the	the
confirmation	confirm	confirmation
of	of	of
the	the	the
governor	governor	governor
s	s	s
nominee	nomine	nominee
to	to	to
the	the	the
state	state	state
s	s	s
unemployment	unemploy	unemployment
insurance	insur	insurance
commission	commiss	commission
.	.	.
Deschambault	deschambault	Deschambault
literally	liter	literally
has	has	ha
NOTHING	noth	NOTHING
to	to	to
do	do	do
with	with	with
any	ani	any
of	of	of
this	this	this
,	,	,
but	but	but
he	he	he
is	is	is
denying	deni	denying
her	her	her
the	the	the
ability	abil	ability
to	to	to
do	do	do
her	her	her
job	job	job
,	,	,
denying	deni	denying
her	her	her
constituents	constitu	constituent
representation	represent	representation
,	,	,
denying	deni	denying
Maine	main	Maine
a	a	a
fully	fulli	fully
-functional	-function	-functional
state	state	state
house	hous	house
and	and	and
violating	violat	violating
his	his	his
oath	oath	oath
of	of	of
office	offic	office
as	as	a
governor	governor	governor
just	just	just
because	becaus	because
he	he	he
is	is	is
an	an	an
overgrown	overgrown	overgrown
child	child	child
who	who	who
wants	want	want
to	to	to
have	have	have
a	a	a
tantrum	tantrum	tantrum
.	.	.
