Sorry	sorri	Sorry
,	,	,
Republicans	republican	Republicans
.	.	.

The	the	The
American	american	American
people	peopl	people
have	have	have
spoken	spoken	spoken
and	and	and
you	you	you
lose	lose	lose
.	.	.
Ever	ever	Ever
since	sinc	since
Justice	justic	Justice
Antonin	antonin	Antonin
Scalia	scalia	Scalia
died	die	died
,	,	,
Republicans	republican	Republicans
have	have	have
insisted	insist	insisted
that	that	that
President	presid	President
Obama	obama	Obama
should	should	should
let	let	let
whoever	whoever	whoever
wins	win	win
the	the	the
2016	2016	2016
presidential	presidenti	presidential
election	elect	election
nominate	nomin	nominate
the	the	the
new	new	new
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
.	.	.

Senate	senat	Senate
Majority	major	Majority
Leader	leader	Leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
even	even	even
vowed	vow	vowed
not	not	not
to	to	to
even	even	even
consider	consid	consider
anyone	anyon	anyone
Obama	obama	Obama
picks	pick	pick
,	,	,
which	which	which
is	is	is
a	a	a
complete	complet	complete
betrayal	betray	betrayal
of	of	of
the	the	the
Constitution	constitut	Constitution
and	and	and
everything	everyth	everything
Scalia	scalia	Scalia
stood	stood	stood
for	for	for
.	.	.
And	and	And
the	the	the
American	american	American
people	peopl	people
overwhelmingly	overwhelm	overwhelmingly
disagree	disagre	disagree
with	with	with
the	the	the
GOP	gop	GOP
.	.	.
Not	not	Not
only	onli	only
is	is	is
President	presid	President
Obama	obama	Obama
serving	serv	serving
out	out	out
the	the	the
final	final	final
year	year	year
of	of	of
the	the	the
second	second	second
term	term	term
a	a	a
majority	major	majority
of	of	of
Americans	american	Americans
elected	elect	elected
him	him	him
to	to	to
serve	serv	serve
,	,	,
a	a	a
new	new	new
poll	poll	poll
shows	show	show
that	that	that
Americans	american	Americans
still	still	still
want	want	want
him	him	him
to	to	to
the	the	the
job	job	job
despite	despit	despite
what	what	what
Republicans	republican	Republicans
want	want	want
.	.	.
A	a	A
new	new	new
Rasmussen	rasmussen	Rasmussen
poll	poll	poll
indicates	indic	indicates
that	that	that
Americans	american	Americans
not	not	not
only	onli	only
think	think	think
President	presid	President
Obama	obama	Obama
should	should	should
make	make	make
the	the	the
pick	pick	pick
,	,	,
they	they	they
say	say	say
Senate	senat	Senate
Republicans	republican	Republicans
should	should	should
NOT	not	NOT
block	block	block
any	ani	any
nomination	nomin	nomination
Obama	obama	Obama
puts	put	put
forth	forth	forth
.	.	.
All	all	All
told	told	told
,	,	,
51	51	51
percent	percent	percent
of	of	of
Americans	american	Americans
say	say	say
President	presid	President
Obama	obama	Obama
is	is	is
still	still	still
the	the	the
commander	command	commander
-in-chief	-in-chief	-in-chief
,	,	,
therefore	therefor	therefore
he	he	he
should	should	should
get	get	get
to	to	to
replace	replac	replace
Scalia	scalia	Scalia
,	,	,
while	while	while
only	onli	only
43	43	43
percent	percent	percent
say	say	say
he	he	he
shouldn	shouldn	shouldn
t	t	t
.	.	.

An	an	An
even	even	even
bigger	bigger	bigger
percentage	percentag	percentage
of	of	of
people	peopl	people
,	,	,
53	53	53
percent	percent	percent
,	,	,
say	say	say
Senate	senat	Senate
Republicans	republican	Republicans
should	should	should
not	not	not
stand	stand	stand
in	in	in
his	his	his
way	way	way
.	.	.

Only	onli	Only
35	35	35
percent	percent	percent
say	say	say
Senate	senat	Senate
Republicans	republican	Republicans
should	should	should
remain	remain	remain
the	the	the
obstructionist	obstructionist	obstructionist
assholes	asshol	asshole
they	they	they
are	are	are
.	.	.
Here	here	Here
s	s	s
a	a	a
chart	chart	chart
showing	show	showing
the	the	the
poll	poll	poll
results	result	result
via	via	via
ThinkProgress	thinkprogress	ThinkProgress
.	.	.
The	the	The
poll	poll	poll
represents	repres	represents
the	the	the
opinions	opinion	opinion
of	of	of
likely	like	likely
voters	voter	voter
,	,	,
which	which	which
means	mean	mean
Republicans	republican	Republicans
should	should	should
probably	probabl	probably
reconsider	reconsid	reconsider
their	their	their
stance	stanc	stance
since	sinc	since
any	ani	any
political	polit	political
stunt	stunt	stunt
could	could	could
hurt	hurt	hurt
them	them	them
on	on	on
Election	elect	Election
Day	day	Day
.	.	.

People	peopl	People
are	are	are
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
GOP	gop	GOP
obstructionism	obstruction	obstructionism
and	and	and
blocking	block	blocking
President	presid	President
Obama	obama	Obama
from	from	from
filling	fill	filling
a	a	a
vacant	vacant	vacant
seat	seat	seat
on	on	on
the	the	the
Supreme	suprem	Supreme
Court	court	Court
out	out	out
of	of	of
some	some	some
sick	sick	sick
political	polit	political
game	game	game
won	won	won
t	t	t
impress	impress	impress
voters	voter	voter
at	at	at
all	all	all
.	.	.
But	but	But
rather	rather	rather
than	than	than
listen	listen	listen
to	to	to
the	the	the
American	american	American
people	peopl	people
,	,	,
Republicans	republican	Republicans
will	will	will
probably	probabl	probably
ignore	ignor	ignore
them	them	them
like	like	like
they	they	they
did	did	did
when	when	when
they	they	they
listened	listen	listened
to	to	to
Ted	ted	Ted
Cruz	cruz	Cruz
and	and	and
shut	shut	shut
down	down	down
the	the	the
government	govern	government
.	.	.

If	if	If
Republicans	republican	Republicans
really	realli	really
care	care	care
about	about	about
not	not	not
getting	get	getting
their	their	their
asses	ass	ass
totally	total	totally
handed	hand	handed
to	to	to
them	them	them
at	at	at
the	the	the
voting	vote	voting
booth	booth	booth
this	this	this
November	novemb	November
,	,	,
they	they	they
need	need	need
to	to	to
suck	suck	suck
it	it	it
up	up	up
,	,	,
respect	respect	respect
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
still	still	still
their	their	their
president	presid	president
,	,	,
and	and	and
give	give	give
any	ani	any
nominee	nomine	nominee
he	he	he
puts	put	put
forward	forward	forward
a	a	a
fair	fair	fair
confirmation	confirm	confirmation
hearing	hear	hearing
.	.	.

That	that	That
s	s	s
what	what	what
the	the	the
American	american	American
people	peopl	people
want	want	want
,	,	,
that	that	that
s	s	s
what	what	what
the	the	the
American	american	American
people	peopl	people
should	should	should
get	get	get
.	.	.
Featured	featur	Featured
Image	imag	Image
Flickr	flickr	Flickr

