Despite	despit	Despite
what	what	what
many	mani	many
racists	racist	racist
say	say	say
and	and	and
regardless	regardless	regardless
of	of	of
the	the	the
hand	hand	hand
-picked	-pick	-picked
statistics	statist	statistic
of	of	of
the	the	the
federal	feder	federal
government	govern	government
in	in	in
an	an	an
effort	effort	effort
to	to	to
demonize	demon	demonize
black	black	black
people	peopl	people
,	,	,
the	the	the
rate	rate	rate
of	of	of
white	white	white
-on-white	-on-whit	-on-white
crime	crime	crime
in	in	in
the	the	the
United	unit	United
States	state	States
is	is	is
far	far	far
higher	higher	higher
than	than	than
that	that	that
of	of	of
African	african	African
-Americans	-american	-Americans
victimizing	victim	victimizing
white	white	white
citizens	citizen	citizen
.	.	.
In	in	In
a	a	a
report	report	report
published	publish	published
last	last	last
Thursday	thursday	Thursday
by	by	by
the	the	the
Bureau	bureau	Bureau
of	of	of
Justice	justic	Justice
Statistics	statist	Statistics
BJS	bjs	BJS
on	on	on
Race	race	Race
and	and	and
Hispanic	hispan	Hispanic
Origin	origin	Origin
of	of	of
Victims	victim	Victims
and	and	and
Offenders	offend	Offenders
2012	2012	2012
-2015	-2015	-2015
,	,	,
some	some	some
staggering	stagger	staggering
figures	figur	figure
emerged	emerg	emerged
.	.	.
Research	research	Research
conducted	conduct	conducted
over	over	over
a	a	a
four	four	four
year	year	year
period	period	period
during	dure	during
which	which	which
U	u	U
.	.	.
S	s	S
.	.	.
residents	resid	resident
experienced	experienc	experienced
5	5	5
.	.	.
8	8	8
million	million	million
violent	violent	violent
victimizations	victim	victimization
each	each	each
year	year	year
found	found	found
that	that	that
the	the	the
rate	rate	rate
of	of	of
white	white	white
-on-white	-on-whit	-on-white
violent	violent	violent
crime	crime	crime
12	12	12
.	.	.
0	0	0
per	per	per
1	1	1
,	,	,
000	000	000
was	was	wa
almost	almost	almost
four	four	four
times	time	time
higher	higher	higher
than	than	than
black	black	black
-on-white	-on-whit	-on-white
violent	violent	violent
crime	crime	crime
3	3	3
.	.	.
1	1	1
per	per	per
1	1	1
,	,	,
000	000	000
.	.	.
However	howev	However
,	,	,
even	even	even
when	when	when
the	the	the
facts	fact	fact
are	are	are
blatantly	blatant	blatantly
obvious	obvious	obvious
and	and	and
staring	stare	staring
them	them	them
right	right	right
in	in	in
the	the	the
face	face	face
,	,	,
there	there	there
is	is	is
no	no	no
swaying	sway	swaying
some	some	some
Republicans	republican	Republicans
who	who	who
still	still	still
subscribe	subscrib	subscribe
to	to	to
the	the	the
idea	idea	idea
that	that	that
African	african	African
-Americans	-american	-Americans
are	are	are
still	still	still
the	the	the
largest	largest	largest
threat	threat	threat
to	to	to
themselves	themselv	themselves
and	and	and
others	other	others
.	.	.
Case	case	Case
in	in	in
point	point	point
former	former	former
White	white	White
House	hous	House
advisor	advisor	advisor
Sebastian	sebastian	Sebastian
Gorka	gorka	Gorka
in	in	in
this	this	this
interview	interview	interview
last	last	last
Monday	monday	Monday
On	on	On
a	a	a
Sinclair	sinclair	Sinclair
station	station	station
,	,	,
Gorka	gorka	Gorka
refers	refer	refers
to	to	to
black	black	black
African	african	African
crime	crime	crime
on	on	on
black	black	black
African	african	African
crime	crime	crime
says	say	say
black	black	black
men	men	men
are	are	are
killing	kill	killing
each	each	each
other	other	other
by	by	by
the	the	the
bushel	bushel	bushel
