Everyone	everyon	Everyone
knows	know	know
that	that	that
Donald	donald	Donald
Trump	trump	Trump
absolutely	absolut	absolutely
HATES	hate	HATES
Melissa	melissa	Melissa
McCarthy	mccarthi	McCarthy
s	s	s
portrayal	portray	portrayal
of	of	of
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
.	.	.
Well	well	Well
,	,	,
this	this	this
week	week	week
s	s	s
edition	edit	edition
of	of	of
SNL	snl	SNL
certainly	certain	certainly
will	will	will
not	not	not
please	pleas	please
The	the	The
Donald	donald	Donald
,	,	,
because	becaus	because
McCarthy	mccarthi	McCarthy
s	s	s
Spicey	spicey	Spicey
came	came	came
back	back	back
with	with	with
a	a	a
vengeance	vengeanc	vengeance
.	.	.
The	the	The
segment	segment	segment
opened	open	opened
with	with	with
Aidy	aidi	Aidy
Bryant	bryant	Bryant
doing	do	doing
an	an	an
absolutely	absolut	absolutely
PERFECT	perfect	PERFECT
impression	impress	impression
of	of	of
Sarah	sarah	Sarah
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
,	,	,
the	the	the
Deputy	deputi	Deputy
Press	press	Press
Secretary	secretari	Secretary
and	and	and
daughter	daughter	daughter
of	of	of
former	former	former
Arkansas	arkansa	Arkansas
Governor	governor	Governor
Mike	mike	Mike
Huckabee	huckabe	Huckabee
,	,	,
filling	fill	filling
in	in	in
for	for	for
Spicer	spicer	Spicer
as	as	a
she	she	she
has	has	ha
been	been	been
doing	do	doing
all	all	all
week	week	week
since	sinc	since
Trump	trump	Trump
fired	fire	fired
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
and	and	and
sent	sent	sent
Washington	washington	Washington
reeling	reel	reeling
once	onc	once
again	again	again
.	.	.
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
points	point	point
out	out	out
that	that	that
she	she	she
is	is	is
doing	do	doing
Spicer	spicer	Spicer
s	s	s
job	job	job
because	becaus	because
he	he	he
is	is	is
on	on	on
Naval	naval	Naval
Reserve	reserv	Reserve
duty	duti	duty
.	.	.
However	howev	However
,	,	,
in	in	in
this	this	this
episode	episod	episode
,	,	,
he	he	he
is	is	is
outside	outsid	outside
in	in	in
the	the	the
bushes	bush	bush
,	,	,
just	just	just
as	as	a
the	the	the
real	real	real
Sean	sean	Sean
Spicer	spicer	Spicer
did	did	did
in	in	in
a	a	a
pathetic	pathet	pathetic
attempt	attempt	attempt
to	to	to
hide	hide	hide
from	from	from
reporters	report	reporter
after	after	after
the	the	the
Comey	comey	Comey
news	news	news
broke	broke	broke
.	.	.
Bryant	bryant	Bryant
s	s	s
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
insisted	insist	insisted
that	that	that
this	this	this
was	was	wa
part	part	part
of	of	of
a	a	a
Naval	naval	Naval
Reserve	reserv	Reserve
exercise	exercis	exercise
,	,	,
though	though	though
.	.	.
Then	then	Then
,	,	,
a	a	a
couple	coupl	couple
of	of	of
members	member	member
of	of	of
the	the	the
White	white	White
House	hous	House
Press	press	Press
Corps	corp	Corps
asked	ask	asked
if	if	if
Huckabee	huckabe	Huckabee
Sanders	sander	Sanders
could	could	could
replace	replac	replace
Spicer	spicer	Spicer
permanently	perman	permanently
.	.	.
Before	befor	Before
she	she	she
could	could	could
answer	answer	answer
,	,	,
Spicer	spicer	Spicer
bursts	burst	burst
in	in	in
with	with	with
a	a	a
fire	fire	fire
extinguisher	extinguish	extinguisher
and	and	and
blasts	blast	blast
a	a	a
reporter	report	reporter
s	s	s
pants	pant	pant
with	with	with
it	it	it
,	,	,
insinuating	insinu	insinuating
that	that	that
he	he	he
was	was	wa
lying	lie	lying
by	by	by
pointing	point	pointing
out	out	out
all	all	all
of	of	of
Spicer	spicer	Spicer
s	s	s
flaws	flaw	flaw
.	.	.
A	a	A
reliably	reliabl	reliably
contentious	contenti	contentious
press	press	press
conference	confer	conference
followed	follow	followed
,	,	,
focusing	focus	focusing
on	on	on
the	the	the
fallout	fallout	fallout
from	from	from
the	the	the
Comey	comey	Comey
situation	situat	situation
,	,	,
just	just	just
as	as	a
press	press	press
briefings	brief	briefing
have	have	have
all	all	all
week	week	week
in	in	in
real	real	real
time	time	time
.	.	.
After	after	After
Spicer	spicer	Spicer
finally	final	finally
ends	end	end
the	the	the
briefing	brief	briefing
abruptly	abrupt	abruptly
,	,	,
he	he	he
rides	ride	ride
to	to	to
New	new	New
York	york	York
City	citi	City
to	to	to
find	find	find
Alec	alec	Alec
Baldwin	baldwin	Baldwin
s	s	s
Trump	trump	Trump
.	.	.
Of	of	Of
course	cours	course
,	,	,
Trump	trump	Trump
is	is	is
not	not	not
at	at	at
Trump	trump	Trump
Tower	tower	Tower
,	,	,
so	so	so
he	he	he
then	then	then
continues	continu	continues
on	on	on
to	to	to
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
golf	golf	golf
properties	properti	property
,	,	,
where	where	where
he	he	he
asks	ask	asks
Trump	trump	Trump
if	if	if
he	he	he
is	is	is
about	about	about
to	to	to
be	be	be
replaced	replac	replaced
by	by	by
his	his	his
Deputy	deputi	Deputy
Press	press	Press
Secretary	secretari	Secretary
.	.	.
Trump	trump	Trump
assures	assur	assures
Spicey	spicey	Spicey
that	that	that
he	he	he
is	is	is
safe	safe	safe
,	,	,
and	and	and
then	then	then
gives	give	give
him	him	him
a	a	a
dramatic	dramat	dramatic
kiss	kiss	kiss
the	the	the
kiss	kiss	kiss
of	of	of
death	death	death
.	.	.
The	the	The
real	real	real
Donald	donald	Donald
Trump	trump	Trump
is	is	is
going	go	going
to	to	to
be	be	be
absolutely	absolut	absolutely
furious	furious	furious
with	with	with
this	this	this
.	.	.
Further	further	Further
,	,	,
rabidly	rabid	rabidly
homophobic	homophob	homophobic
Mike	mike	Mike
Pence	penc	Pence
will	will	will
insist	insist	insist
that	that	that
Spicer	spicer	Spicer
has	has	ha
to	to	to
go	go	go
now	now	now
that	that	that
SNL	snl	SNL
has	has	ha
taken	taken	taken
to	to	to
mocking	mock	mocking
him	him	him
and	and	and
Trump	trump	Trump
with	with	with
same	same	same
-sex	-sex	-sex
kisses	kiss	kiss
.	.	.
This	this	This
will	will	will
definitely	definit	definitely
fall	fall	fall
under	under	under
the	the	the
heading	head	heading
in	in	in
Trump	trump	Trump
s	s	s
mind	mind	mind
,	,	,
of	of	of
course	cours	course
of	of	of
making	make	making
his	his	his
employee	employe	employee
look	look	look
weak	weak	weak
.	.	.
I	i	I
d	d	d
be	be	be
willing	will	willing
to	to	to
bet	bet	bet
we	we	we
ve	ve	ve
seen	seen	seen
just	just	just
about	about	about
the	the	the
last	last	last
of	of	of
the	the	the
real	real	real
life	life	life
Spicey	spicey	Spicey
.	.	.
That	that	That
isn	isn	isn
t	t	t
so	so	so
bad	bad	bad
,	,	,
though	though	though
I	i	I
will	will	will
miss	miss	miss
Melissa	melissa	Melissa
McCarthy	mccarthi	McCarthy
s	s	s
version	version	version
.	.	.
Watch	watch	Watch
the	the	the
hilarious	hilari	hilarious
segment	segment	segment
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
