BERNIE	berni	BERNIE
SANDERS	sander	SANDERS
decided	decid	decided
to	to	to
go	go	go
after	after	after
the	the	the
religion	religion	religion
of	of	of
a	a	a
nominee	nomine	nominee
for	for	for
Deputy	deputi	Deputy
Director	director	Director
of	of	of
the	the	the
Office	offic	Office
of	of	of
Management	manag	Management
and	and	and
Budget	budget	Budget
This	this	This
was	was	wa
a	a	a
vicious	vicious	vicious
attack	attack	attack
on	on	on
RUSSELL	russel	RUSSELL
VOUGHT	vought	VOUGHT
who	who	who
has	has	ha
strong	strong	strong
Christian	christian	Christian
beliefs	belief	belief
that	that	that
have	have	have
absolutely	absolut	absolutely
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
what	what	what
he	he	he
was	was	wa
being	be	being
questioned	question	questioned
about	about	about
.	.	.
Religious	religi	Religious
beliefs	belief	belief
aren	aren	aren
t	t	t
budgetary	budgetari	budgetary
concerns	concern	concern
.	.	.
This	this	This
was	was	wa
a	a	a
personal	person	personal
attack	attack	attack
on	on	on
a	a	a
DEVOUTLY	devout	DEVOUTLY
RELIGIOUS	religi	RELIGIOUS
man	man	man
who	who	who
had	had	had
written	written	written
an	an	an
article	articl	article
years	year	year
past	past	past
defending	defend	defending
his	his	his
Christian	christian	Christian
College	colleg	College
.	.	.
PART	part	PART
OF	of	OF
THE	the	THE
EXCHANGE	exchang	EXCHANGE
BETWEEN	between	BETWEEN
SANDERS	sander	SANDERS
AND	and	AND
VOUGHT	vought	VOUGHT
Sanders	sander	Sanders
is	is	is
quoting	quot	quoting
from	from	from
an	an	an
article	articl	article
that	that	that
Vought	vought	Vought
wrote	wrote	wrote
Muslims	muslim	Muslims
do	do	do
not	not	not
simply	simpli	simply
have	have	have
a	a	a
deficient	defici	deficient
theology	theolog	theology
.	.	.
They	they	They
do	do	do
not	not	not
know	know	know
God	god	God
because	becaus	because
they	they	they
have	have	have
rejected	reject	rejected
Jesus	jesus	Jesus
Christ	christ	Christ
,	,	,
His	his	His
Son	son	Son
,	,	,
and	and	and
they	they	they
stand	stand	stand
condemned	condemn	condemned
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
that	that	that
that	that	that
statement	statement	statement
is	is	is
Islamophobic	islamophob	Islamophobic
?	?	?
Vought	vought	Vought
Absolutely	absolut	Absolutely
not	not	not
,	,	,
Senator	senat	Senator
.	.	.
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
,	,	,
and	and	and
I	i	I
believe	believ	believe
in	in	in
a	a	a
Christian	christian	Christian
set	set	set
of	of	of
principles	principl	principle
based	base	based
on	on	on
my	my	my
faith	faith	faith
.	.	.
Sanders	sander	Sanders
Forgive	forgiv	Forgive
me	me	me
,	,	,
we	we	we
just	just	just
don	don	don
t	t	t
have	have	have
a	a	a
lot	lot	lot
of	of	of
time	time	time
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
people	peopl	people
in	in	in
the	the	the
Muslim	muslim	Muslim
religion	religion	religion
stand	stand	stand
condemned	condemn	condemned
?	?	?
Is	is	Is
that	that	that
your	your	your
view	view	view
?	?	?
Vought	vought	Vought
Again	again	Again
,	,	,
Senator	senat	Senator
,	,	,
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
,	,	,
and	and	and
I	i	I
wrote	wrote	wrote
that	that	that
piece	piec	piece
in	in	in
accordance	accord	accordance
with	with	with
the	the	the
statement	statement	statement
of	of	of
faith	faith	faith
at	at	at
Wheaton	wheaton	Wheaton
College	colleg	College
.	.	.
Sanders	sander	Sanders
I	i	I
understand	understand	understand
that	that	that
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
how	how	how
many	mani	many
Muslims	muslim	Muslims
there	there	there
are	are	are
in	in	in
America	america	America
.	.	.
Maybe	mayb	Maybe
a	a	a
couple	coupl	couple
million	million	million
.	.	.
Are	are	Are
you	you	you
suggesting	suggest	suggesting
that	that	that
these	these	these
people	peopl	people
stand	stand	stand
condemned	condemn	condemned
?	?	?
What	what	What
about	about	about
Jews	jew	Jews
?	?	?
Do	do	Do
they	they	they
stand	stand	stand
condemned	condemn	condemned
too	too	too
?	?	?
Vought	vought	Vought
Senator	senat	Senator
,	,	,
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
.	.	.
Sanders	sander	Sanders
I	i	I
understand	understand	understand
you	you	you
are	are	are
a	a	a
Christian	christian	Christian
,	,	,
but	but	but
this	this	this
country	countri	country
is	is	is
made	made	made
of	of	of
people	peopl	people
who	who	who
are	are	are
not	not	not
just	just	just
I	i	I
understand	understand	understand
that	that	that
Christianity	christian	Christianity
is	is	is
the	the	the
majority	major	majority
religion	religion	religion
,	,	,
