Massachusetts	massachusett	Massachusetts
Rep	rep	Rep
.	.	.

Jim	jim	Jim
McGovern	mcgovern	McGovern
brought	brought	brought
the	the	the
House	hous	House
down	down	down
with	with	with
a	a	a
scathing	scath	scathing
rebuke	rebuk	rebuke
of	of	of
the	the	the
pathetic	pathet	pathetic
Republican	republican	Republican
healthcare	healthcar	healthcare
bill	bill	bill
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
He	he	He
began	began	began
by	by	by
pointing	point	pointing
out	out	out
that	that	that
the	the	the
bill	bill	bill
destroys	destroy	destroys
all	all	all
of	of	of
the	the	the
good	good	good
things	thing	thing
that	that	that
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
provides	provid	provides
,	,	,
such	such	such
as	as	a
covering	cover	covering
preexisting	preexist	preexisting
conditions	condit	condition
and	and	and
allowing	allow	allowing
kids	kid	kid
to	to	to
stay	stay	stay
on	on	on
their	their	their
parents	parent	parent
insurance	insur	insurance
until	until	until
the	the	the
age	age	age
of	of	of
26	26	26
.	.	.
McGovern	mcgovern	McGovern
conceded	conced	conceded
that	that	that
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
also	also	also
known	known	known
as	as	a
Obamacare	obamacar	Obamacare
,	,	,
is	is	is
not	not	not
perfect	perfect	perfect
.	.	.

It	it	It
has	has	ha
some	some	some
issues	issu	issue
that	that	that
can	can	can
be	be	be
fixed	fix	fixed
,	,	,
and	and	and
Democrats	democrat	Democrats
have	have	have
repeatedly	repeat	repeatedly
offered	offer	offered
to	to	to
work	work	work
with	with	with
Republicans	republican	Republicans
to	to	to
fix	fix	fix
the	the	the
problems	problem	problem
and	and	and
cover	cover	cover
more	more	more
people	peopl	people
while	while	while
also	also	also
bringing	bring	bringing
down	down	down
costs	cost	cost
.	.	.
But	but	But
as	as	a
McGovern	mcgovern	McGovern
noted	note	noted
,	,	,
Republicans	republican	Republicans
are	are	are
only	onli	only
obsessed	obsess	obsessed
with	with	with
repealing	repeal	repealing
the	the	the
law	law	law
.	.	.

They	they	They
have	have	have
no	no	no
interest	interest	interest
in	in	in
fixing	fix	fixing
the	the	the
minor	minor	minor
problems	problem	problem
,	,	,
many	mani	many
of	of	of
which	which	which
they	they	they
created	creat	created
themselves	themselv	themselves
by	by	by
chipping	chip	chipping
away	away	away
at	at	at
the	the	the
law	law	law
over	over	over
the	the	the
years	year	year
.	.	.
So	so	So
far	far	far
,	,	,
the	the	the
Republican	republican	Republican
bill	bill	bill
touted	tout	touted
by	by	by
Trump	trump	Trump
has	has	ha
failed	fail	failed
several	sever	several
times	time	time
in	in	in
the	the	the
House	hous	House
because	becaus	because
even	even	even
many	mani	many
Republicans	republican	Republicans
are	are	are
concerned	concern	concerned
about	about	about
the	the	the
fact	fact	fact
that	that	that
repealing	repeal	repealing
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
would	would	would
strip	strip	strip
healthcare	healthcar	healthcare
away	away	away
from	from	from
millions	million	million
of	of	of
Americans	american	Americans
,	,	,
including	includ	including
their	their	their
own	own	own
constituents	constitu	constituent
.	.	.
For	for	For
months	month	month
,	,	,
Republicans	republican	Republicans
have	have	have
been	been	been
torn	torn	torn
a	a	a
new	new	new
one	one	one
by	by	by
their	their	their
constituents	constitu	constituent
at	at	at
town	town	town
halls	hall	hall
over	over	over
their	their	their
effort	effort	effort
to	to	to
repeal	repeal	repeal
what	what	what
has	has	ha
become	becom	become
a	a	a
very	veri	very
popular	popular	popular
law	law	law
.	.	.

It	it	It
is	is	is
even	even	even
more	more	more
popular	popular	popular
than	than	than
Donald	donald	Donald
Trump	trump	Trump
now	now	now
.	.	.
In	in	In
their	their	their
continued	continu	continued
effort	effort	effort
to	to	to
sell	sell	sell
the	the	the
bill	bill	bill
to	to	to
the	the	the
American	american	American
people	peopl	people
,	,	,
Trump	trump	Trump
and	and	and
House	hous	House
Republicans	republican	Republicans
have	have	have
been	been	been
insisting	insist	insisting
that	that	that
it	it	it
covers	cover	cover
pre	pre	pre
-existing	-exist	-existing
conditions	condit	condition
.	.	.

But	but	But
that	that	that
is	is	is
a	a	a
complete	complet	complete
lie	lie	lie
.	.	.
Nowhere	nowher	Nowhere
in	in	in
the	the	the
Trumpcare	trumpcar	Trumpcare
bill	bill	bill
will	will	will
you	you	you
find	find	find
a	a	a
passage	passag	passage
making	make	making
it	it	it
clear	clear	clear
that	that	that
people	peopl	people
with	with	with
pre	pre	pre
-existing	-exist	-existing
conditions	condit	condition
won	won	won
t	t	t
lose	lose	lose
their	their	their
insurance	insur	insurance
.	.	.

It	it	It
s	s	s
just	just	just
not	not	not
there	there	there
.	.	.
McGovern	mcgovern	McGovern
called	call	called
out	out	out
Republicans	republican	Republicans
for	for	for
this	this	this
lie	lie	lie
on	on	on
the	the	the
House	hous	House
floor	floor	floor
.	.	.

To	to	To
claim	claim	claim
or	or	or
to	to	to
imply	impli	imply
that	that	that
the	the	the
Republican	republican	Republican
plan	plan	plan
covers	cover	cover
people	peopl	people
with	with	with
preexisting	preexist	preexisting
conditions	condit	condition
,	,	,
it	it	it
is	is	is
a	a	a
lie	lie	lie
,	,	,
McGovern	mcgovern	McGovern
declared	declar	declared
.	.	.

It	it	It
is	is	is
a	a	a
lie	lie	lie
.	.	.

And	and	And
let	let	let
s	s	s
be	be	be
honest	honest	honest
about	about	about
it	it	it
.	.	.

This	this	This
does	doe	doe
not	not	not
cover	cover	cover
people	peopl	people
with	with	with
preexisting	preexist	preexisting
conditions	condit	condition
.	.	.

And	and	And
to	to	to
come	come	come
on	on	on
the	the	the
floor	floor	floor
and	and	and
say	say	say
it	it	it
does	doe	doe
,	,	,
to	to	to
try	tri	try
to	to	to
fool	fool	fool
people	peopl	people
,	,	,
well	well	well
,	,	,
you	you	you
may	may	may
get	get	get
away	away	away
with	with	with
it	it	it
in	in	in
the	the	the
short	short	short
term	term	term
,	,	,
you	you	you
may	may	may
get	get	get
a	a	a
headline	headlin	headline
but	but	but
I	i	I
tell	tell	tell
you	you	you
people	peopl	people
will	will	will
figure	figur	figure
out	out	out
soon	soon	soon
enough	enough	enough
when	when	when
they	they	they
are	are	are
denied	deni	denied
health	health	health
care	care	care
coverage	coverag	coverage
.	.	.

Furthermore	furthermor	Furthermore
,	,	,
Republicans	republican	Republicans
refuse	refus	refuse
to	to	to
get	get	get
a	a	a
CBO	cbo	CBO
score	score	score
for	for	for
the	the	the
bill	bill	bill
before	befor	before
