Umm	umm	Umm
Yeah	yeah	Yeah
Okay	okay	Okay
Would	would	Would
it	it	it
be	be	be
acceptable	accept	acceptable
to	to	to
the	the	the
school	school	school
if	if	if
this	this	this
teacher	teacher	teacher
asked	ask	asked
her	her	her
students	student	student
to	to	to
close	close	close
their	their	their
eyes	eye	eye
and	and	and
pretend	pretend	pretend
to	to	to
be	be	be
Jesus	jesus	Jesus
?	?	?
It	it	It
s	s	s
a	a	a
rhetorical	rhetor	rhetorical
question	question	question
of	of	of
course	cours	course
UNION	union	UNION
GROVE	grove	GROVE
,	,	,
Wis	wis	Wis
.	.	.
Pretend	pretend	Pretend
you	you	you
re	re	re
a	a	a
Muslim	muslim	Muslim
.	.	.
That	that	That
s	s	s
what	what	what
a	a	a
10th	10th	10th
grade	grade	grade
World	world	World
History	histori	History
writing	write	writing
assignment	assign	assignment
asks	ask	asks
students	student	student
to	to	to
do	do	do
at	at	at
a	a	a
Wisconsin	wisconsin	Wisconsin
high	high	high
school	school	school
.	.	.
WISN	wisn	WISN
talk	talk	talk
radio	radio	radio
host	host	host
Vicki	vicki	Vicki
McKenna	mckenna	McKenna
posted	post	posted
Union	union	Union
Grove	grove	Grove
High	high	High
School	school	School
teacher	teacher	teacher
Beth	beth	Beth
Urban	urban	Urban
s	s	s
email	email	email
for	for	for
a	a	a
five	five	five
-paragraph	-paragraph	-paragraph
essay	essay	essay
on	on	on
Twitter	twitter	Twitter
.	.	.
It	it	It
reads	read	read
Pretend	pretend	Pretend
you	you	you
are	are	are
1	1	1
.	.	.
Muslim	muslim	Muslim
male	male	male
female	femal	female
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
2	2	2
.	.	.
Give	give	Give
3	3	3
examples	exampl	example
of	of	of
what	what	what
you	you	you
do	do	do
daily	daili	daily
for	for	for
your	your	your
religion	religion	religion
and	and	and
any	ani	any
struggles	struggl	struggle
you	you	you
face	face	face
.	.	.
3	3	3
.	.	.
Again	again	Again
,	,	,
5	5	5
paragraphs	paragraph	paragraph
intro	intro	intro
,	,	,
3	3	3
body	bodi	body
paragraphs	paragraph	paragraph
,	,	,
closing	close	closing
.	.	.
Keep	keep	Keep
in	in	in
mind	mind	mind
we	we	we
ve	ve	ve
been	been	been
doing	do	doing
work	work	work
and	and	and
watching	watch	watching
documentaries	documentari	documentary
that	that	that
have	have	have
the	the	the
facts	fact	fact
needed	need	needed
to	to	to
write	write	write
the	the	the
essay	essay	essay
.	.	.
Union	union	Union
Grove	grove	Grove
Muslim	muslim	Muslim
essay	essay	essay
assignment	assign	assignment
fullEAGnews	fulleagnew	fullEAGnews
emailed	email	emailed
Urban	urban	Urban
to	to	to
obtain	obtain	obtain
more	more	more
information	inform	information
on	on	on
the	the	the
assignment	assign	assignment
but	but	but
she	she	she
did	did	did
not	not	not
respond	respond	respond
.	.	.
Specifically	specif	Specifically
,	,	,
