On	on	On
January	januari	January
22	22	22
,	,	,
in	in	in
response	respons	response
to	to	to
an	an	an
emergency	emerg	emergency
order	order	order
issued	issu	issued
by	by	by
the	the	the
United	unit	United
States	state	States
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
EPA	epa	EPA
over	over	over
the	the	the
Flint	flint	Flint
water	water	water
crisis	crisi	crisis
,	,	,
Michigan	michigan	Michigan
s	s	s
Department	depart	Department
of	of	of
Environmental	environment	Environmental
Quality	qualiti	Quality
DEQ	deq	DEQ
Director	director	Director
,	,	,
Keith	keith	Keith
Creagh	creagh	Creagh
,	,	,
wrote	wrote	wrote
that	that	that
the	the	the
state	state	state
is	is	is
questioning	question	questioning
whether	whether	whether
the	the	the
EPA	epa	EPA
has	has	ha
legal	legal	legal
authority	author	authority
to	to	to
order	order	order
a	a	a
state	state	state
and	and	and
its	it	it
agencies	agenc	agency
to	to	to
act	act	act
to	to	to
protect	protect	protect
the	the	the
health	health	health
of	of	of
its	it	it
citizens	citizen	citizen
.	.	.
The	the	The
order	order	order
,	,	,
issued	issu	issued
by	by	by
the	the	the
EPA	epa	EPA
on	on	on
Thursday	thursday	Thursday
,	,	,
states	state	state
The	the	The
Safe	safe	Safe
Drinking	drink	Drinking
Water	water	Water
Act	act	Act
SDWA	sdwa	SDWA
provides	provid	provides
the	the	the
US	us	US
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
with	with	with
the	the	the
authority	author	authority
to	to	to
order	order	order
actions	action	action
when	when	when
an	an	an
imminent	immin	imminent
and	and	and
substantial	substanti	substantial
endangerment	endanger	endangerment
exists	exist	exists
and	and	and
the	the	the
actions	action	action
taken	taken	taken
by	by	by
the	the	the
state	state	state
and	and	and
or	or	or
local	local	local
authorities	author	authority
are	are	are
inadequate	inadequ	inadequate
to	to	to
protect	protect	protect
public	public	public
health	health	health
.	.	.

EPA	epa	EPA
has	has	ha
determined	determin	determined
that	that	that
the	the	the
city	citi	city
of	of	of
Flint	flint	Flint
and	and	and
the	the	the
state	state	state
of	of	of
Michigan	michigan	Michigan
s	s	s
responses	respons	response
to	to	to
the	the	the
drinking	drink	drinking
water	water	water
crisis	crisi	crisis
in	in	in
Flint	flint	Flint
have	have	have
been	been	been
inadequate	inadequ	inadequate
to	to	to
protect	protect	protect
public	public	public
health	health	health
and	and	and
that	that	that
these	these	these
failures	failur	failure
continue	continu	continue
.	.	.

As	as	As
a	a	a
result	result	result
,	,	,
the	the	the
EPA	epa	EPA
is	is	is
issuing	issu	issuing
this	this	this
emergency	emerg	emergency
order	order	order
to	to	to
make	make	make
sure	sure	sure
that	that	that
the	the	the
necessary	necessari	necessary
actions	action	action
to	to	to
protect	protect	protect
public	public	public
health	health	health
happen	happen	happen
immediately	immedi	immediately
.	.	.

Under	under	Under
the	the	the
order	order	order
,	,	,
the	the	the
state	state	state
of	of	of
