If	if	If
this	this	this
keeps	keep	keep
up	up	up
there	there	there
won	won	won
t	t	t
be	be	be
enough	enough	enough
Republicans	republican	Republicans
left	left	left
to	to	to
justify	justifi	justify
the	the	the
existence	exist	existence
of	of	of
the	the	the
party	parti	party
.	.	.
Utah	utah	Utah
GOP	gop	GOP
state	state	state
Senator	senat	Senator
Mark	mark	Mark
Madsen	madsen	Madsen
attended	attend	attended
the	the	the
Republican	republican	Republican
National	nation	National
Convention	convent	Convention
last	last	last
week	week	week
and	and	and
witnessed	wit	witnessed
his	his	his
state	state	state
make	make	make
every	everi	every
effort	effort	effort
to	to	to
keep	keep	keep
Donald	donald	Donald
Trump	trump	Trump
from	from	from
becoming	becom	becoming
the	the	the
nominee	nomine	nominee
.	.	.

But	but	But
they	they	they
failed	fail	failed
,	,	,
and	and	and
Trump	trump	Trump
gave	gave	gave
a	a	a
gloom	gloom	gloom
and	and	and
doom	doom	doom
acceptance	accept	acceptance
speech	speech	speech
formally	formal	formally
making	make	making
him	him	him
the	the	the
leader	leader	leader
of	of	of
a	a	a
party	parti	party
coming	come	coming
apart	apart	apart
at	at	at
the	the	the
seams	seam	seam
.	.	.
In	in	In
the	the	the
wake	wake	wake
of	of	of
the	the	the
disappointing	disappoint	disappointing
convention	convent	convention
,	,	,
Madsen	madsen	Madsen
decided	decid	decided
that	that	that
the	the	the
time	time	time
was	was	wa
right	right	right
to	to	to
bolt	bolt	bolt
from	from	from
the	the	the
Republican	republican	Republican
Party	parti	Party
because	becaus	because
every	everi	every
decision	decis	decision
and	and	and
inclination	inclin	inclination
I	i	I
had	had	had
before	befor	before
was	was	wa
reinforced	reinforc	reinforced
.	.	.

Although	although	Although
Madsen	madsen	Madsen
claims	claim	claim
that	that	that
Trump	trump	Trump
s	s	s
nomination	nomin	nomination
isn	isn	isn
t	t	t
what	what	what
ultimately	ultim	ultimately
changed	chang	changed
his	his	his
mind	mind	mind
,	,	,
it	it	it
s	s	s
kind	kind	kind
of	of	of
hard	hard	hard
to	to	to
believe	believ	believe
that	that	that
it	it	it
wasn	wasn	wasn
t	t	t
a	a	a
factor	factor	factor
.	.	.

After	after	After
all	all	all
,	,	,
the	the	the
longtime	longtim	longtime
Utah	utah	Utah
Republican	republican	Republican
has	has	ha
concerns	concern	concern
about	about	about
Trump	trump	Trump
s	s	s
inexperience	inexperi	inexperience
.	.	.
In	in	In
fact	fact	fact
,	,	,
Madsen	madsen	Madsen
bizarrely	bizarr	bizarrely
claimed	claim	claimed
that	that	that
he	he	he
is	is	is
leaving	leav	leaving
the	the	the
party	parti	party
because	becaus	because
it	it	it
is	is	is
somehow	somehow	somehow
too	too	too
progressive	progress	progressive
,	,	,
therefore	therefor	therefore
,	,	,
he	he	he
has	has	ha
decided	decid	decided
to	to	to
join	join	join
the	the	the
Libertarian	libertarian	Libertarian
Party	parti	Party
,	,	,
which	which	which
apparently	appar	apparently
frowns	frown	frown
upon	upon	upon
progress	progress	progress
.	.	.
He	he	He
also	also	also
said	said	said
the	the	the
Republican	republican	Republican
Party	parti	Party
makes	make	make
me	me	me
want	want	want
to	to	to
cry	cri	cry
because	becaus	because
I	i	I
ve	ve	ve
invested	invest	invested
a	a	a
lot	lot	lot
in	in	in
that	that	that
party	parti	party
.	.	.

Libertarian	libertarian	Libertarian
Party	parti	Party
Chairman	chairman	Chairman
Nicholas	nichola	Nicholas
Sarwark	sarwark	Sarwark
did	did	did
not	not	not
refrain	refrain	refrain
from	from	from
bashing	bash	bashing
the	the	the
Republican	republican	Republican
Party	parti	Party
and	and	and
said	said	said
that	that	that
the	the	the
reality	realiti	reality
clown	clown	clown
show	show	show
is	is	is
what	what	what
is	is	is
causing	caus	causing
many	mani	many
Republican	republican	Republican
lawmakers	lawmak	lawmaker
to	to	to
abandon	abandon	abandon
ship	ship	ship
.	.	.

After	after	After
the	the	the
disaster	disast	disaster
that	that	that
we	we	we
saw	saw	saw
in	in	in
Cleveland	cleveland	Cleveland
,	,	,
in	in	in
which	which	which
a	a	a
party	parti	party
that	that	that
was	was	wa
once	onc	once
storied	stori	storied
has	has	ha
nominated	nomin	nominated
a	a	a
reality	realiti	reality
show	show	show
star	star	star
for	for	for
president	presid	president
,	,	,
where	where	where
the	the	the
convention	convent	convention
chairman	chairman	chairman
s	s	s
cutting	cut	cutting
off	off	off
the	the	the
microphone	microphon	microphone
of	of	of
a	a	a
sitting	sit	sitting
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
,	,	,
it	it	it
s	s	s
broken	broken	broken
,	,	,
Sarwark	sarwark	Sarwark
said	said	said
.	.	.

It	it	It
s	s	s
fundamentally	fundament	fundamentally
broken	broken	broken
and	and	and
it	it	it
s	s	s
dying	die	dying
.	.	.

Even	even	Even
Madsen	madsen	Madsen
s	s	s
own	own	own
wife	wife	wife
is	is	is
voting	vote	voting
against	against	against
the	the	the
Republican	republican	Republican
Party	parti	Party
and	and	and
she	she	she
also	also	also
had	had	had
no	no	no
problem	problem	problem
blaming	blame	blaming
the	the	the
convention	convent	convention
for	for	for
her	her	her
decision	decis	decision
.	.	.

That	that	That
was	was	wa
my	my	my
tribe	tribe	tribe
,	,	,
Erin	erin	Erin
Madsen	madsen	Madsen
said	said	said
.	.	.

That	that	That
was	was	wa
my	my	my
people	peopl	people
.	.	.

I	i	I
believed	believ	believed
deeply	deepli	deeply
in	in	in
what	what	what
I	i	I
thought	thought	thought
the	the	the
Republican	republican	Republican
Party	parti	Party
believed	believ	believed
.	.	.

But	but	But
after	after	after
having	have	having
gone	gone	gone
to	to	to
the	the	the
convention	convent	convention
in	in	in
Cleveland	cleveland	Cleveland
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
s	s	s
my	my	my
tribe	tribe	tribe
anymore	anymor	anymore
.	.	.

They	they	They
don	don	don
t	t	t
believe	believ	believe
what	what	what
I	i	I
believe	believ	believe
.	.	.

And	and	And
you	you	you
re	re	re
going	go	going
to	to	to
think	think	think
this	this	this
is	is	is
crazy	crazi	crazy
but	but	but
it	it	it
s	s	s
like	like	like
a	a	a
death	death	death
in	in	in
the	the	the
family	famili	family
for	for	for
me	me	me
.	.	.

It	it	It
breaks	break	break
my	my	my
heart	heart	heart
.	.	.

Here	here	Here
s	s	s
video	video	video
of	of	of
Madsen	madsen	Madsen
announcing	announc	announcing
his	his	his
switch	switch	switch
via	via	via
YouTube	youtub	YouTube
.	.	.
