As	as	As
if	if	if
firing	fire	firing
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
wasn	wasn	wasn
t	t	t
stupid	stupid	stupid
enough	enough	enough
,	,	,
Trump	trump	Trump
has	has	ha
gone	gone	gone
and	and	and
driven	driven	driven
two	two	two
more	more	more
nails	nail	nail
into	into	into
his	his	his
own	own	own
coffin	coffin	coffin
this	this	this
evening	even	evening
.	.	.
First	first	First
,	,	,
he	he	he
hired	hire	hired
an	an	an
outside	outsid	outside
law	law	law
firm	firm	firm
to	to	to
send	send	send
a	a	a
certified	certifi	certified
letter	letter	letter
to	to	to
Sen	sen	Sen
.	.	.
Lindsey	lindsey	Lindsey
Graham	graham	Graham
,	,	,
who	who	who
chairs	chair	chair
the	the	the
Senate	senat	Senate
subcommittee	subcommitte	subcommittee
that	that	that
heard	heard	heard
testimony	testimoni	testimony
from	from	from
James	jame	James
Clapper	clapper	Clapper
and	and	and
Sally	salli	Sally
Yates	yate	Yates
on	on	on
May	may	May
8	8	8
,	,	,
regarding	regard	regarding
the	the	the
Russia	russia	Russia
probe	probe	probe
.	.	.
Second	second	Second
,	,	,
he	he	he
s	s	s
meeting	meet	meeting
with	with	with
Vladimir	vladimir	Vladimir
Putin	putin	Putin
s	s	s
top	top	top
diplomat	diplomat	diplomat
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
Sergey	sergey	Sergey
Lavrov	lavrov	Lavrov
,	,	,
in	in	in
the	the	the
White	white	White
House	hous	House
Wednesday	wednesday	Wednesday
morning	morn	morning
.	.	.
The	the	The
Associated	associ	Associated
Press	press	Press
says	say	say
that	that	that
this	this	this
could	could	could
be	be	be
a	a	a
signal	signal	signal
that	that	that
our	our	our
relationship	relationship	relationship
with	with	with
Russia	russia	Russia
is	is	is
improving	improv	improving
again	again	again
,	,	,
but	but	but
in	in	in
the	the	the
wake	wake	wake
of	of	of
the	the	the
clusterfuck	clusterfuck	clusterfuck
that	that	that
was	was	wa
Trump	trump	Trump
s	s	s
entire	entir	entire
Tuesday	tuesday	Tuesday
,	,	,
this	this	this
does	doe	doe
not	not	not
look	look	look
good	good	good
at	at	at
all	all	all
.	.	.
First	first	First
,	,	,
the	the	the
law	law	law
firm	firm	firm
and	and	and
the	the	the
letter	letter	letter
.	.	.
Trump	trump	Trump
wants	want	want
the	the	the
letter	letter	letter
to	to	to
Sen	sen	Sen
.	.	.
Graham	graham	Graham
to	to	to
claim	claim	claim
that	that	that
he	he	he
has	has	ha
no	no	no
connections	connect	connection
to	to	to
Russia	russia	Russia
.	.	.
Seriously	serious	Seriously
.	.	.
He	he	He
s	s	s
hired	hire	hired
an	an	an
outside	outsid	outside
law	law	law
firm	firm	firm
to	to	to
draft	draft	draft
and	and	and
send	send	send
a	a	a
letter	letter	letter
to	to	to
Sen	sen	Sen
.	.	.
Lindsey	lindsey	Lindsey
Graham	graham	Graham
claiming	claim	claiming
that	that	that
he	he	he
has	has	ha
no	no	no
connections	connect	connection
business	busi	business
or	or	or
otherwise	otherwis	otherwise
to	to	to
Russia	russia	Russia
.	.	.
Because	becaus	Because
obviously	obvious	obviously
.	.	.
But	but	But
wait	wait	wait
!	!	!
This	this	This
move	move	move
achieves	achiev	achieves
the	the	the
impossible	imposs	impossible
by	by	by
getting	get	getting
even	even	even
more	more	more
ridiculous	ridicul	ridiculous
than	than	than
that	that	that
!	!	!
Sean	sean	Sean
Spicer	spicer	Spicer
briefed	brief	briefed
the	the	the
White	white	White
House	hous	House
press	press	press
corps	corp	corp
on	on	on
this	this	this
development	develop	development
,	,	,
and	and	and
said	said	said
The	the	The
president	presid	president
,	,	,
obviously	obvious	obviously
,	,	,
was	was	wa
aware	awar	aware
of	of	of
Senator	senat	Senator
Graham	graham	Graham
s	s	s
suggestion	suggest	suggestion
after	after	after
he	he	he
made	made	made
it	it	it
today	today	today
and	and	and
he	he	he
s	s	s
fine	fine	fine
with	with	with
that	that	that
.	.	.
He	he	He
has	has	ha
no	no	no
business	busi	business
in	in	in
Russia	russia	Russia
.	.	.
He	he	He
has	has	ha
no	no	no
connections	connect	connection
to	to	to
Russia	russia	Russia
.	.	.
So	so	So
he	he	he
welcomes	welcom	welcome
that	that	that
.	.	.
In	in	In
fact	fact	fact
,	,	,
he	he	he
is	is	is
already	alreadi	already
charged	charg	charged
a	a	a
leading	lead	leading
law	law	law
firm	firm	firm
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
to	to	to
send	send	send
a	a	a
certified	certifi	certified
letter	letter	letter
to	to	to
Senator	senat	Senator
Graham	graham	Graham
to	to	to
that	that	that
point	point	point
that	that	that
he	he	he
has	has	ha
no	no	no
connections	connect	connection
to	to	to
Russia	russia	Russia
.	.	.
If	if	If
he	he	he
knows	know	know
he	he	he
s	s	s
got	got	got
no	no	no
connections	connect	connection
at	at	at
all	all	all
to	to	to
Russia	russia	Russia
,	,	,
and	and	and
he	he	he
knows	know	know
he	he	he
s	s	s
completely	complet	completely
innocent	innoc	innocent
of	of	of
all	all	all
these	these	these
allegations	alleg	allegation
,	,	,
then	then	then
why	whi	why
hire	hire	hire
an	an	an
outside	outsid	outside
law	law	law
