After	after	After
racists	racist	racist
threw	threw	threw
a	a	a
temper	temper	temper
tantrum	tantrum	tantrum
over	over	over
Old	old	Old
Navy	navi	Navy
s	s	s
ad	ad	ad
featuring	featur	featuring
an	an	an
interracial	interraci	interracial
couple	coupl	couple
,	,	,
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
s	s	s
son	son	son
took	took	took
them	them	them
on	on	on
.	.	.
Oh	oh	Oh
,	,	,
happy	happi	happy
day	day	day
!	!	!
Our	our	Our
#ThankYouEvent	#thankyouev	#ThankYouEvent
is	is	is
finally	final	finally
here	here	here
.	.	.
Take	take	Take
30	30	30
off	off	off
your	your	your
entire	entir	entire
purchase	purchas	purchase
https://t.co/nGQ9Pji1pN	https://t.co/ngq9pji1pn	https://t.co/nGQ9Pji1pN
pic.twitter.com/vq4mIczm6A	pic.twitter.com/vq4miczm6a	pic.twitter.com/vq4mIczm6A
Old	old	Old
Navy	navi	Navy
Official	offici	Official
@OldNavy	@oldnavi	@OldNavy
April	april	April
29	29	29
,	,	,
2016McCain	2016mccain	2016McCain
s	s	s
son	son	son
Jack	jack	Jack
is	is	is
a	a	a
Navy	navi	Navy
lieutenant	lieuten	lieutenant
and	and	and
he	he	he
is	is	is
married	marri	married
to	to	to
Air	air	Air
Force	forc	Force
Reserve	reserv	Reserve
Captain	captain	Captain
Renee	rene	Renee
Swift	swift	Swift
,	,	,
who	who	who
happens	happen	happens
to	to	to
be	be	be
a	a	a
black	black	black
woman	woman	woman
.	.	.
So	so	So
when	when	when
racists	racist	racist
attacked	attack	attacked
interracial	interraci	interracial
marriage	marriag	marriage
on	on	on
Friday	friday	Friday
,	,	,
Jack	jack	Jack
McCain	mccain	McCain
took	took	took
it	it	it
personally	person	personally
.	.	.
Standing	stand	Standing
up	up	up
to	to	to
their	their	their
hate	hate	hate
,	,	,
Jack	jack	Jack
McCain	mccain	McCain
took	took	took
to	to	to
Twitter	twitter	Twitter
and	and	and
told	told	told
the	the	the
racists	racist	racist
to	to	to
basically	basic	basically
go	go	go
f	f	f
ck	ck	ck
themselves	themselv	themselves
.	.	.
To	to	To
the	the	the
people	peopl	people
upset	upset	upset
about	about	about
the	the	the
#OldNavy	#oldnavi	#OldNavy
Scandal	scandal	Scandal
of	of	of
an	an	an
a	a	a
picture	pictur	picture
of	of	of
a	a	a
mixed	mix	mixed
race	race	race
marriage	marriag	marriage
,	,	,
eat	eat	eat
it	it	it
,	,	,
McCain	mccain	McCain
wrote	wrote	wrote
along	along	along
with	with	with
a	a	a
picture	pictur	picture
of	of	of
the	the	the
couple	coupl	couple
