Typically	typic	Typically
,	,	,
children	children	child
view	view	view
Santa	santa	Santa
as	as	a
a	a	a
magical	magic	magical
bearded	beard	bearded
guy	guy	guy
who	who	who
brings	bring	brings
them	them	them
presents	present	present
.	.	.

Sometimes	sometim	Sometimes
he	he	he
s	s	s
white	white	white
,	,	,
sometimes	sometim	sometimes
he	he	he
s	s	s
black	black	black
,	,	,
sometimes	sometim	sometimes
he	he	he
s	s	s
other	other	other
races	race	race
altogether	altogeth	altogether
because	becaus	because
he	he	he
is	is	is
a	a	a
fictional	fiction	fictional
character	charact	character
and	and	and
he	he	he
can	can	can
be	be	be
whatever	whatev	whatever
is	is	is
most	most	most
appropriate	appropri	appropriate
to	to	to
an	an	an
individual	individu	individual
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
this	this	this
is	is	is
not	not	not
a	a	a
concept	concept	concept
that	that	that
conservatives	conserv	conservative
can	can	can
accept	accept	accept
,	,	,
having	have	having
grown	grown	grown
accustomed	accustom	accustomed
to	to	to
their	their	their
familiar	familiar	familiar
,	,	,
chalky	chalki	chalky
-faced	-face	-faced
representation	represent	representation
of	of	of
Santa	santa	Santa
Claus	claus	Claus
.	.	.
After	after	After
WCCO	wcco	WCCO
reported	report	reported
that	that	that
a	a	a
black	black	black
Santa	santa	Santa
would	would	would
be	be	be
coming	come	coming
to	to	to
Mall	mall	Mall
of	of	of
America	america	America
in	in	in
Minneapolis	minneapoli	Minneapolis
,	,	,
Minnesota	minnesota	Minnesota
,	,	,
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
history	histori	history
,	,	,
Trump	trump	Trump
fans	fan	fan
and	and	and
other	other	other
racist	racist	racist
swarmed	swarm	swarmed
to	to	to
show	show	show
their	their	their
displeasure	displeasur	displeasure
with	with	with
the	the	the
fact	fact	fact
that	that	that
this	this	this
Santa	santa	Santa
wasn	wasn	wasn
t	t	t
white	white	white
as	as	a
chalk	chalk	chalk
.	.	.

It	it	It
s	s	s
no	no	no
big	big	big
deal	deal	deal
,	,	,
I	i	I
m	m	m
still	still	still
Santa	santa	Santa
,	,	,
I	i	I
just	just	just
happen	happen	happen
to	to	to
be	be	be
a	a	a
Santa	santa	Santa
of	of	of
Color	color	Color
,	,	,
Santa	santa	Santa
Larry	larri	Larry
Jefferson	jefferson	Jefferson
told	told	told
the	the	the
news	news	news
station	station	station
,	,	,
noting	note	noting
that	that	that
he	he	he
was	was	wa
the	the	the
only	onli	only
Santa	santa	Santa
of	of	of
Color	color	Color
at	at	at
a	a	a
convention	convent	convention
over	over	over
the	the	the
summer	summer	summer
.	.	.

Jefferson	jefferson	Jefferson
says	say	say
that	that	that
a	a	a
child	child	child
recently	recent	recently
commented	comment	commented
on	on	on
his	his	his
skin	skin	skin
color	color	color
,	,	,
but	but	but
in	in	in
the	the	the
end	end	end
Santa	santa	Santa
is	is	is
Santa	santa	Santa
to	to	to
kids	kid	kid
regardless	regardless	regardless
of	of	of
hue	hue	hue
It	it	It
gives	give	give
them	them	them
something	someth	something
to	to	to
identity	ident	identity
with	with	with
,	,	,
but	but	but
Santa	santa	Santa
is	is	is
still	still	still
just	just	just
Santa	santa	Santa
.	.	.

Just	just	Just
Saturday	saturday	Saturday
,	,	,
I	i	I
was	was	wa
doing	do	doing
an	an	an
event	event	event
,	,	,
and	and	and
one	one	one
child	child	child
said	said	said
,	,	,
