Wow	wow	Wow
!	!	!

Poor	poor	Poor
Kathy	kathi	Kathy
Griffin	griffin	Griffin
The	the	The
toxic	toxic	toxic
comedian	comedian	comedian
found	found	found
herself	herself	herself
facing	face	facing
a	a	a
tsunami	tsunami	tsunami
-sized	-size	-sized
backlash	backlash	backlash
after	after	after
she	she	she
held	held	held
a	a	a
severed	sever	severed
,	,	,
and	and	and
bloodied	bloodi	bloodied
head	head	head
of	of	of
President	presid	President
Trump	trump	Trump
,	,	,
during	dure	during
a	a	a
comedy	comedi	comedy
skit	skit	skit
earlier	earlier	earlier
in	in	in
the	the	the
year	year	year
.	.	.

And	and	And
now	now	now
,	,	,
the	the	the
former	former	former
funny	funni	funny
girl	girl	girl
is	is	is
telling	tell	telling
anyone	anyon	anyone
who	who	who
will	will	will
listen	listen	listen
,	,	,
that	that	that
she	she	she
s	s	s
furious	furious	furious
no	no	no
one	one	one
wants	want	want
to	to	to
hire	hire	hire
her	her	her
.	.	.

Kathy	kathi	Kathy
Griffin	griffin	Griffin
starts	start	start
her	her	her
homemade	homemad	homemade
5	5	5
-minute	-minut	-minute
video	video	video
by	by	by
whining	whine	whining
to	to	to
viewers	viewer	viewer
about	about	about
all	all	all
of	of	of
the	the	the
online	onlin	online
hate	hate	hate
by	by	by
trolls	troll	troll
that	that	that
she	she	she
s	s	s
receiving	receiv	receiving
.	.	.

Griffin	griffin	Griffin
then	then	then
goes	goe	go
on	on	on
to	to	to
trash	trash	trash
the	the	the
other	other	other
not	not	not
funny	funni	funny
comedian	comedian	comedian
Lena	lena	Lena
Dunham	dunham	Dunham
,	,	,
who	who	who
wrote	wrote	wrote
about	about	about
sexually	sexual	sexually
assaulting	assault	assaulting
her	her	her
little	littl	little
sister	sister	sister
,	,	,
for	for	for
defending	defend	defending
a	a	a
Hollywood	hollywood	Hollywood
actor	actor	actor
who	who	who
s	s	s
been	been	been
accused	accus	accused
of	of	of
sexually	sexual	sexually
assaulting	assault	assaulting
a	a	a
female	femal	female
actress	actress	actress
.	.	.

Her	her	Her
comments	comment	comment
that	that	that
follow	follow	follow
the	the	the
Dunham	dunham	Dunham
remarks	remark	remark
make	make	make
no	no	no
sense	sens	sense
,	,	,
although	although	although
she	she	she
seems	seem	seems
to	to	to
be	be	be
attempting	attempt	attempting
to	to	to
make	make	make
the	the	the
point	point	point
that	that	that
the	the	the
equally	equal	equally
trashy	trashi	trashy
liberal	liber	liberal
comedian	comedian	comedian
,	,	,
Lena	lena	Lena
Dunham	dunham	Dunham
,	,	,
is	is	is
still	still	still
getting	get	getting
work	work	work
,	,	,
and	and	and
how	how	how
Griffin	griffin	Griffin
just	just	just
doesn	doesn	doesn
t	t	t
think	think	think
that	that	that
it	it	it
s	s	s
fair	fair	fair
.	.	.

After	after	After
all	all	all
,	,	,
Dunham	dunham	Dunham
hates	hate	hate
Trump	trump	Trump
as	as	a
much	much	much
as	as	a
her	her	her
right	right	right
?	?	?
Griffin	griffin	Griffin
tells	tell	tell
the	the	the
camera	camera	camera
that	that	that
appears	appear	appears
to	to	to
be	be	be
set	set	set
up	up	up
in	in	in
her	her	her
living	live	living
room	room	room
,	,	,
I	i	I
just	just	just
