Joshua	joshua	Joshua
James	jame	James
,	,	,
a	a	a
24	24	24
-year-old	-year-old	-year-old
resident	resid	resident
of	of	of
Jupiter	jupit	Jupiter
,	,	,
Florida	florida	Florida
,	,	,
is	is	is
facing	face	facing
charges	charg	charge
of	of	of
assault	assault	assault
with	with	with
a	a	a
deadly	dead	deadly
weapon	weapon	weapon
,	,	,
illegal	illeg	illegal
transportation	transport	transportation
of	of	of
an	an	an
alligator	allig	alligator
,	,	,
and	and	and
theft	theft	theft
.	.	.
The	the	The
charges	charg	charge
were	were	were
filed	file	filed
after	after	after
James	jame	James
threw	threw	threw
a	a	a
three	three	three
-and-a-half	-and-a-half	-and-a-half
foot	foot	foot
long	long	long
,	,	,
living	live	living
American	american	American
alligator	allig	alligator
through	through	through
a	a	a
Wendy	wendi	Wendy
s	s	s
drive	drive	drive
-thru	-thru	-thru
window	window	window
.	.	.
According	accord	According
to	to	to
investigators	investig	investigator
at	at	at
the	the	the
Florida	florida	Florida
Fish	fish	Fish
and	and	and
Wildlife	wildlif	Wildlife
Conservation	conserv	Conservation
Division	divis	Division
,	,	,
James	jame	James
and	and	and
a	a	a
friend	friend	friend
were	were	were
driving	drive	driving
on	on	on
Southern	southern	Southern
Blvd	blvd	Blvd
.	.	.

near	near	near
Loxahatchee	loxahatche	Loxahatchee
,	,	,
in	in	in
Palm	palm	Palm
Beach	beach	Beach
County	counti	County
,	,	,
when	when	when
he	he	he
noticed	notic	noticed
the	the	the
alligator	allig	alligator
at	at	at
the	the	the
side	side	side
of	of	of
the	the	the
road	road	road
.	.	.
He	he	He
pulled	pull	pulled
his	his	his
four	four	four
-door	-door	-door
pickup	pickup	pickup
truck	truck	truck
to	to	to
the	the	the
side	side	side
of	of	of
the	the	the
road	road	road
and	and	and
then	then	then
wrangled	wrangl	wrangled
the	the	the
reptile	reptil	reptile
into	into	into
the	the	the
backseat	backseat	backseat
.	.	.
After	after	After
capturing	captur	capturing
the	the	the
animal	anim	animal
,	,	,
James	jame	James
drove	drove	drove
to	to	to
a	a	a
gas	gas	gas
station	station	station
,	,	,
where	where	where
he	he	he
proceeded	proceed	proceeded
to	to	to
fill	fill	fill
up	up	up
his	his	his
gas	gas	gas
tank	tank	tank
,	,	,
with	with	with
the	the	the
live	live	live
alligator	allig	alligator
in	in	in
the	the	the
backseat	backseat	backseat
.	.	.
He	he	He
then	then	then
headed	head	headed
off	off	off
to	to	to
the	the	the
Wendy	wendi	Wendy
s	s	s
drive	drive	drive
-thru	-thru	-thru
,	,	,
where	where	where
he	he	he
ordered	order	ordered
a	a	a
large	larg	large
drink	drink	drink
.	.	.
After	after	After
the	the	the
server	server	server
handed	hand	handed
him	him	him
his	his	his
beverage	beverag	beverage
,	,	,
he	he	he
reached	reach	reached
into	into	into
the	the	the
back	back	back
of	of	of
the	the	the
truck	truck	truck
,	,	,
grabbed	grab	grabbed
the	the	the
alligator	allig	alligator
,	,	,
and	and	and
threw	threw	threw
it	it	it
through	through	through
the	the	the
drive	drive	drive
-up	-up	-up
window	window	window
,	,	,
into	into	into
the	the	the
restaurant	restaur	restaurant
.	.	.
Florida	florida	Florida
Fish	fish	Fish
and	and	and
Wildlife	wildlif	Wildlife
Conservation	conserv	Conservation
officers	offic	officer
were	were	were
called	call	called
to	to	to
the	the	the
scene	scene	scene
to	to	to
remove	remov	remove
the	the	the
alligator	allig	alligator
from	from	from
the	the	the
restaurant	restaur	restaurant
.	.	.
Conservation	conserv	Conservation
officials	offici	official
took	took	took
this	this	this
picture	pictur	picture
.	.	.
Image	imag	Image
credit	credit	credit
screen	screen	screen
capture	captur	capture
from	from	from
NBC	nbc	NBC
5	5	5
,	,	,
via	via	via
youtubeOn	youtubeon	youtubeOn
February	februari	February
9	9	9
,	,	,
Judge	judg	Judge
Joseph	joseph	Joseph
Marx	marx	Marx
released	releas	released
James	jame	James
on	on	on
6	6	6
,	,	,
000	000	000
bail	bail	bail
.	.	.
As	as	As
part	part	part
of	of	of
the	the	the
terms	term	term
of	of	of
his	his	his
release	releas	release
,	,	,
James	jame	James
is	is	is
barred	bar	barred
from	from	from
visiting	visit	visiting
any	ani	any
Wendy	wendi	Wendy
s	s	s
restaurants	restaur	restaurant
.	.	.

He	he	He
is	is	is
also	also	also
barred	bar	barred
from	from	from
coming	come	coming
into	into	into
contact	contact	contact
with	with	with
any	ani	any
animals	anim	animal
,	,	,
except	except	except
for	for	for
his	his	his
mother	mother	mother
s	s	s
dog	dog	dog
.	.	.
Under	under	Under
Florida	florida	Florida
law	law	law
,	,	,
it	it	it
is	is	is
a	a	a
third	third	third
-degree	-degre	-degree
felony	feloni	felony
to	to	to
kill	kill	kill
,	,	,
attempt	attempt	attempt
to	to	to
kill	kill	kill
,	,	,
possess	possess	posse
or	or	or
capture	captur	capture
an	an	an
alligator	allig	alligator
or	or	or
its	it	it
eggs	egg	egg
without	without	without
a	a	a
license	licens	license
.	.	.

James	jame	James
faces	face	face
up	up	up
to	to	to
five	five	five
years	year	year
in	in	in
prison	prison	prison
on	on	on
that	that	that
charge	charg	charge
alone	alon	alone
.	.	.
Conservation	conserv	Conservation
officials	offici	official
managed	manag	managed
to	to	to
capture	captur	capture
the	the	the
gator	gator	gator
.	.	.

It	it	It
was	was	wa
released	releas	released
into	into	into
a	a	a
nearby	nearbi	nearby
canal	canal	canal
,	,	,
where	where	where
it	it	it
can	can	can
hopefully	hope	hopefully
live	live	live
out	out	out
the	the	the
rest	rest	rest
of	of	of
its	it	it
life	life	life
without	without	without
further	further	further
contact	contact	contact
with	with	with
idiotic	idiot	idiotic
humans	human	human
.	.	.
According	accord	According
to	to	to
James	jame	James
,	,	,
throwing	throw	throwing
the	the	the
alligator	allig	alligator
was	was	wa
just	just	just
a	a	a
funny	funni	funny
prank	prank	prank
.	.	.

The	the	The
people	peopl	people
working	work	working
inside	insid	inside
the	the	the
restaurant	restaur	restaurant
didn	didn	didn
t	t	t
find	find	find
it	it	it
so	so	so
funny	funni	funny
.	.	.

Thankfully	thank	Thankfully
,	,	,
neither	neither	neither
the	the	the
employees	employe	employee
nor	nor	nor
the	the	the
alligator	allig	alligator
were	were	were
injured	injur	injured
during	dure	during
this	this	this
stupid	stupid	stupid
stunt	stunt	stunt
,	,	,
although	although	although
things	thing	thing
could	could	could
have	have	have
ended	end	ended
much	much	much
differently	differ	differently
.	.	.
Here	here	Here
s	s	s
more	more	more
on	on	on
this	this	this
story	stori	story
from	from	from
NBC	nbc	NBC
5	5	5
,	,	,
via	via	via
YouTube	youtub	YouTube
.	.	.

Featured	featur	Featured
image	imag	image
from	from	from
screen	screen	screen
capture	captur	capture
from	from	from
NBC	nbc	NBC
5	5	5
,	,	,
via	via	via
youtube	youtub	youtube

