Max	max	Max
Gracia	gracia	Gracia
,	,	,
a	a	a
22	22	22
-year-old	-year-old	-year-old
resident	resid	resident
of	of	of
Orlando	orlando	Orlando
,	,	,
Florida	florida	Florida
,	,	,
was	was	wa
found	found	found
dead	dead	dead
in	in	in
an	an	an
Orange	orang	Orange
County	counti	County
jail	jail	jail
cell	cell	cell
on	on	on
the	the	the
morning	morn	morning
of	of	of
August	august	August
11	11	11
,	,	,
2015	2015	2015
.	.	.

Autopsy	autopsi	Autopsy
results	result	result
show	show	show
that	that	that
Gracia	gracia	Gracia
died	die	died
of	of	of
sepsis	sepsi	sepsis
,	,	,
after	after	after
wounds	wound	wound
from	from	from
a	a	a
police	polic	police
canine	canin	canine
bite	bite	bite
became	becam	became
infected	infect	infected
.	.	.
As	as	As
WESH	wesh	WESH
reports	report	report
here	here	here
,	,	,
documents	document	document
released	releas	released
following	follow	following
an	an	an
internal	intern	internal
police	polic	police
investigation	investig	investigation
show	show	show
that	that	that
Gracia	gracia	Gracia
was	was	wa
checked	check	checked
into	into	into
the	the	the
jail	jail	jail
infirmary	infirmari	infirmary
following	follow	following
his	his	his
arrest	arrest	arrest
.	.	.

He	he	He
was	was	wa
then	then	then
discharged	discharg	discharged
without	without	without
ever	ever	ever
being	be	being
evaluated	evalu	evaluated
or	or	or
treated	treat	treated
.	.	.
Records	record	Records
obtained	obtain	obtained
by	by	by
WESH	wesh	WESH
show	show	show
that	that	that
on	on	on
the	the	the
night	night	night
before	befor	before
his	his	his
death	death	death
Gracia	gracia	Gracia
was	was	wa
so	so	so
sick	sick	sick
that	that	that
he	he	he
could	could	could
not	not	not
get	get	get
out	out	out
of	of	of
his	his	his
bed	bed	bed
.	.	.
The	the	The
documents	document	document
show	show	show
that	that	that
When	when	When
jail	jail	jail
officers	offic	officer
told	told	told
Gracia	gracia	Gracia
to	to	to
get	get	get
out	out	out
of	of	of
his	his	his
bed	bed	bed
,	,	,
he	he	he
slowly	slowli	slowly
went	went	went
to	to	to
the	the	the
floor	floor	floor
and	and	and
lied	lie	lied
on	on	on
his	his	his
back	back	back
saying	say	saying
that	that	that
he	he	he
could	could	could
not	not	not
move	move	move
anymore	anymor	anymore
.	.	.

Instead	instead	Instead
of	of	of
offering	offer	offering
medical	medic	medical
attention	attent	attention
,	,	,
a	a	a
jail	jail	jail
nurse	nurs	nurse
,	,	,
who	who	who
later	later	later
resigned	resign	resigned
,	,	,
wrote	wrote	wrote
that	that	that
the	the	the
22	22	22
-year-old	-year-old	-year-old
was	was	wa
faking	fake	faking
or	or	or
exaggerating	exagger	exaggerating
his	his	his
medical	medic	medical
condition	condit	condition
and	and	and
inability	inabl	inability
to	to	to
get	get	get
up	up	up
.	.	.

The	the	The
nurse	nurs	nurse
interpreted	interpret	interpreted
his	his	his
illness	ill	illness
as	as	a
an	an	an
implicit	implicit	implicit
refusal	refus	refusal
for	for	for
medication	medic	medication
.	.	.

Gracia	gracia	Gracia
was	was	wa
then	then	then
disciplined	disciplin	disciplined
by	by	by
jail	jail	jail
officials	offici	official
,	,	,
who	who	who
charged	charg	charged
him	him	him
with	with	with
refusal	refus	refusal
to	to	to
follow	follow	follow
orders	order	order
and	and	and
feigning	feign	feigning
an	an	an
illness	ill	illness
.	.	.

He	he	He
died	die	died
in	in	in
his	his	his
cell	cell	cell
hours	hour	hour
later	later	later
.	.	.
Here	here	Here
s	s	s
more	more	more
on	on	on
this	this	this
story	stori	story
from	from	from
Fox	fox	Fox
11	11	11
In	in	In
2013	2013	2013
,	,	,
the	the	the
state	state	state
of	of	of
Florida	florida	Florida
privatized	privat	privatized
healthcare	healthcar	healthcare
services	servic	service
for	for	for
inmates	inmat	inmate
.	.	.

Since	sinc	Since
that	that	that
time	time	time
the	the	the
number	number	number
of	of	of
inmate	inmat	inmate
deaths	death	death
has	has	ha
steadily	steadili	steadily
increased	increas	increased
.	.	.
Up	up	Up
until	until	until
May	may	May
31	31	31
,	,	,
2016	2016	2016
,	,	,
Corizon	corizon	Corizon
,	,	,
a	a	a
private	privat	private
corporation	corpor	corporation
which	which	which
provides	provid	provides
healthcare	healthcar	healthcare
to	to	to
inmates	inmat	inmate
in	in	in
a	a	a
number	number	number
of	of	of
states	state	state
,	,	,
was	was	wa
responsible	respons	responsible
for	for	for
inmate	inmat	inmate
care	care	care
in	in	in
Florida	florida	Florida
.	.	.
After	after	After
thousands	thousand	thousand
