There	there	There
s	s	s
a	a	a
man	man	man
who	who	who
s	s	s
been	been	been
permanently	perman	permanently
banned	ban	banned
from	from	from
Twitter	twitter	Twitter
for	for	for
threats	threat	threat
and	and	and
harassment	harass	harassment
,	,	,
and	and	and
was	was	wa
once	onc	once
known	known	known
as	as	a
the	the	the
most	most	most
hated	hate	hated
man	man	man
on	on	on
the	the	the
Internet	internet	Internet
,	,	,
who	who	who
s	s	s
working	work	working
behind	behind	behind
the	the	the
scenes	scene	scene
to	to	to
advise	advis	advise
,	,	,
and	and	and
even	even	even
approve	approv	approve
of	of	of
,	,	,
some	some	some
of	of	of
Trump	trump	Trump
s	s	s
nominees	nomine	nominee
.	.	.

That	that	That
man	man	man
is	is	is
Charles	charl	Charles
Chuck	chuck	Chuck
Johnson	johnson	Johnson
not	not	not
to	to	to
be	be	be
confused	confus	confused
with	with	with
Little	littl	Little
Green	green	Green
Footballs	footbal	Footballs
Charles	charl	Charles
Johnson	johnson	Johnson
,	,	,
and	and	and
he	he	he
s	s	s
used	use	used
his	his	his
platform	platform	platform
to	to	to
spread	spread	spread
racist	racist	racist
hate	hate	hate
and	and	and
outright	outright	outright
lies	lie	lie
.	.	.
And	and	And
Forbes	forb	Forbes
reports	report	report
that	that	that
he	he	he
s	s	s
working	work	working
to	to	to
help	help	help
pick	pick	pick
Trump	trump	Trump
s	s	s
administration	administr	administration
.	.	.
One	one	One
of	of	of
the	the	the
least	least	least
reputable	reput	reputable
,	,	,
most	most	most
hateful	hate	hateful
,	,	,
vengeful	veng	vengeful
trolls	troll	troll
on	on	on
the	the	the
entire	entir	entire
planet	planet	planet
is	is	is
helping	help	helping
Trump	trump	Trump
s	s	s
transition	transit	transition
team	team	team
with	with	with
various	various	various
nominees	nomine	nominee
.	.	.

And	and	And
not	not	not
just	just	just
any	ani	any
nominees	nomine	nominee
the	the	the
worst	worst	worst
nominees	nomine	nominee
.	.	.

The	the	The
far	far	far
-right	-right	-right
,	,	,
white	white	white
nationalist	nationalist	nationalist
,	,	,
anti	anti	anti
-Semitic	-semit	-Semitic
,	,	,
misogynistic	misogynist	misogynistic
nominees	nomine	nominee
.	.	.

The	the	The
ones	one	one
known	known	known
to	to	to
be	be	be
alt	alt	alt
-right	-right	-right
,	,	,
which	which	which
is	is	is
the	the	the
most	most	most
laughable	laughabl	laughable
term	term	term
for	for	for
that	that	that
crowd	crowd	crowd
ever	ever	ever
.	.	.
Johnson	johnson	Johnson
fancies	fanci	fancy
himself	himself	himself
a	a	a
debunker	debunk	debunker
of	of	of
frauds	fraud	fraud
,	,	,
but	but	but
he	he	he
s	s	s
no	no	no
stranger	stranger	stranger
to	to	to
lies	lie	lie
and	and	and
severely	sever	severely
unethical	uneth	unethical
behavior	behavior	behavior
himself	himself	himself
.	.	.

He	he	He
s	s	s
the	the	the
man	man	man
who	who	who
claimed	claim	claimed
that	that	that
the	the	the
Sony	soni	Sony
hack	hack	hack
,	,	,
which	which	which
happened	happen	happened
at	at	at
the	the	the
hands	hand	hand
of	of	of
North	north	North
Korea	korea	Korea
,	,	,
was	was	wa
actually	actual	actually
an	an	an
inside	insid	inside
job	job	job
.	.	.

This	this	This
is	is	is
the	the	the
man	man	man
who	who	who
tweeted	tweet	tweeted
that	that	that
he	he	he
needed	need	needed
help	help	help
in	in	in
taking	take	taking
out	out	out
DeRay	deray	DeRay
McKesson	mckesson	McKesson
,	,	,
which	which	which
is	is	is
what	what	what
got	got	got
him	him	him
permanently	perman	permanently
banned	ban	banned
he	he	he
claims	claim	claim
he	he	he
was	was	wa
just	just	just
asking	ask	asking
for	for	for
info	info	info
for	for	for
reporting	report	reporting
purposes	purpos	purpose
,	,	,
but	but	but
the	the	the
wording	word	wording
is	is	is
highly	high	highly
suspicious	suspici	suspicious
.	.	.
He	he	He
has	has	ha
a	a	a
history	histori	history
of	of	of
relentlessly	relentless	relentlessly
attacking	attack	attacking
,	,	,
and	and	and
even	even	even
doxing	dox	doxing
,	,	,
elitist	elitist	elitist
journalists	journalist	journalist
,	,	,
left	left	left
-wing	-wing	-wing
activists	activist	activist
,	,	,
lying	lie	lying
women	women	woman
and	and	and
thuggish	thuggish	thuggish
black	black	black
men	men	men
,	,	,
and	and	and
anyone	anyon	anyone
he	he	he
thinks	think	think
has	has	ha
screwed	screw	screwed
him	him	him
over	over	over
in	in	in
some	some	some
way	way	way
.	.	.

You	you	You
know	know	know
,	,	,
typical	typic	typical
troll	troll	troll
stuff	stuff	stuff
that	that	that
puts	put	put
people	peopl	people
in	in	in
real	real	real
-life	-life	-life
danger	danger	danger
.	.	.
Johnson	johnson	Johnson
also	also	also
worked	work	worked
for	for	for
Steve	steve	Steve
Bannon	bannon	Bannon
at	at	at
Breitbart	breitbart	Breitbart
,	,	,
and	and	and
Bannon	bannon	Bannon
is	is	is
a	a	a
known	known	known
white	white	white
nationalist	nationalist	nationalist
.	.	.

Bannon	bannon	Bannon
is	is	is
the	the	the
one	one	one
that	that	that
turned	turn	turned
Breitbart	breitbart	Breitbart
from	from	from
a	a	a
heavily	heavili	heavily
right	right	right
