Arguably	arguabl	Arguably
the	the	the
most	most	most
popular	popular	popular
myth	myth	myth
in	in	in
the	the	the
Pantheon	pantheon	Pantheon
of	of	of
Republican	republican	Republican
fiction	fiction	fiction
is	is	is
the	the	the
idea	idea	idea
that	that	that
there	there	there
s	s	s
somehow	somehow	somehow
a	a	a
liberal	liber	liberal
media	media	medium
conspiracy	conspiraci	conspiracy
to	to	to
suppress	suppress	suppress
conservatism	conservat	conservatism
and	and	and
elevate	elev	elevate
liberalism	liber	liberalism
.	.	.
Horseshit	horseshit	Horseshit
.	.	.
But	but	But
that	that	that
hasn	hasn	hasn
t	t	t
stopped	stop	stopped
slippery	slipperi	slippery
dickface	dickfac	dickface
Ted	ted	Ted
Cruz	cruz	Cruz
from	from	from
furthering	further	furthering
the	the	the
myth	myth	myth
whenever	whenev	whenever
possible	possibl	possible
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
Howard	howard	Howard
Kurtz	kurtz	Kurtz
,	,	,
Cruz	cruz	Cruz
responded	respond	responded
to	to	to
a	a	a
question	question	question
about	about	about
the	the	the
candidate	candid	candidate
s	s	s
base	base	base
and	and	and
its	it	it
distrust	distrust	distrust
of	of	of
the	the	the
mainstream	mainstream	mainstream
media	media	medium
.	.	.
I	i	I
especially	especi	especially
like	like	like
the	the	the
part	part	part
about	about	about
how	how	how
Cruz	cruz	Cruz
s	s	s
face	face	face
scares	scare	scare
small	small	small
children	children	child
.	.	.
Which	which	Which
is	is	is
probably	probabl	probably
true	true	true
.	.	.
Via	via	Via
Crooks	crook	Crooks
Liars	liar	Liars
HOWARD	howard	HOWARD
KURTZ	kurtz	KURTZ
When	when	When
you	you	you
bash	bash	bash
the	the	the
media	media	medium
,	,	,
and	and	and
you	you	you
have	have	have
been	been	been
treated	treat	treated
unfairly	unfair	unfairly
at	at	at
times	time	time
portrayed	portray	portrayed
as	as	a
somebody	somebodi	somebody
who	who	who
scares	scare	scare
little	littl	little
children	children	child
,	,	,
but	but	but
isn	isn	isn
t	t	t
that	that	that
in	in	in
your	your	your
interest	interest	interest
to	to	to
do	do	do
that	that	that
?	?	?
Your	your	Your
base	base	base
loves	love	love
that	that	that
.	.	.
They	they	They
don	don	don
t	t	t
like	like	like
the	the	the
mainstream	mainstream	mainstream
media	media	medium
.	.	.
TED	ted	TED
CRUZ	cruz	CRUZ
There	there	There
is	is	is
a	a	a
reason	reason	reason
they	they	they
don	don	don
t	t	t
like	like	like
the	the	the
mainstream	mainstream	mainstream
media	media	medium
because	becaus	because
they	they	they
are	are	are
partisan	partisan	partisan
liberal	liber	liberal
democrats	democrat	democrat
.	.	.
KURTZ	kurtz	KURTZ
Every	everi	Every
single	singl	single
journalist	journalist	journalist
?	?	?
CRUZ	cruz	CRUZ
Almost	almost	Almost
without	without	without
exception	except	exception
.	.	.
KURTZ	kurtz	KURTZ
Almost	almost	Almost
without	without	without
exception	except	exception
?	?	?
CRUZ	cruz	CRUZ
Almost	almost	Almost
without	without	without
exception	except	exception
they	they	they
have	have	have
a	a	a
partisan	partisan	partisan
agenda	agenda	agenda
.	.	.
And	and	And
we	we	we
understand	understand	understand
let	let	let
s	s	s
take	take	take
a	a	a
substantive	substant	substantive
issue	issu	issue
police	polic	police
officers	offic	officer
.	.	.
If	if	If
you	you	you
have	have	have
one	one	one
police	polic	police
officer	offic	officer
somewhere	somewher	somewhere
who	who	who
does	doe	doe
something	someth	something
he	he	he
shouldn	shouldn	shouldn
t	t	t
have	have	have
,	,	,
the	the	the
press	press	press
will	will	will
breathlessly	breathless	breathlessly
report	report	report
on	on	on
this	this	this
terrible	terribl	terrible
,	,	,
horrible	horribl	horrible
police	polic	police
officer	offic	officer
and	and	and
all	all	all
the	the	the
democratic	democrat	democratic
politicians	politician	politician
will	will	will
jump	jump	jump
in	in	in
and	and	and
demonize	demon	demonize
and	and	and
vilify	vilifi	vilify
the	the	the
cops	cop	cop
.	.	.
Let	let	Let
me	me	me
ask	ask	ask
you	you	you
something	someth	something
?	?	?
How	how	How
come	come	come
the	the	the
press	press	press
doesn	doesn	doesn
t	t	t
tell	tell	tell
stories	stori	story
of	of	of
heroism	heroism	heroism
?	?	?
The	the	The
great	great	great
news	news	news
is	is	is
we	we	we
don	don	don
t	t	t
live	live	live
anymore	anymor	anymore
in	in	in
a	a	a
world	world	world
of	of	of
three	three	three
networks	network	network
that	that	that
have	have	have
a	a	a
stranglehold	stranglehold	stranglehold
on	on	on
information	inform	information
.	.	.
We	we	We
have	have	have
got	got	got
the	the	the
internet	internet	internet
.	.	.
We	we	We
have	have	have
got	got	got
the	the	the
Drudge	drudg	Drudge
Report	report	Report
.	.	.
We	we	We
have	have	have
got	got	got
talk	talk	talk
radio	radio	radio
.	.	.
We	we	We
have	have	have
got	got	got
social	social	social
media	media	medium
.	.	.
We	we	We
ve	ve	ve
got	got	got
the	the	the
ability	abil	ability
to	to	to
go	go	go
directly	direct	directly
around	around	around
,	,	,
and	and	and
directly	direct	directly
to	to	to
the	the	the
people	peopl	people
.	.	.
Yes	yes	Yes
,	,	,
Cruz	cruz	Cruz
believes	believ	belief
every	everi	every
single	singl	single
journalist	journalist	journalist
is	is	is
a	a	a
liberal	liber	liberal
with	with	with
an	an	an
agenda	agenda	agenda
and	and	and
therefore	therefor	therefore
the	the	the
news	news	news
media	media	medium
is	is	is
part	part	part
of	of	of
a	a	a
liberal	liber	liberal
conspiracy	conspiraci	conspiracy
.	.	.
I	i	I
suppose	suppos	suppose
that	that	that
might	might	might
be	be	be
true	true	true
if	if	if
you	you	you
completely	complet	completely
overlook	overlook	overlook
the	the	the
fact	fact	fact
that	that	that
the	the	the
most	most	most
popular	popular	popular
cable	cabl	cable
news	news	news
network	network	network
in	in	in
American	american	American
history	histori	history
is	is	is
decidedly	decid	decidedly
conservative	conserv	conservative
.	.	.
Or	or	Or
that	that	that
50	50	50
percent	percent	percent
of	of	of
broadcast	broadcast	broadcast
radio	radio	radio
is	is	is
controlled	control	controlled
by	by	by
conservative	conserv	conservative
screechers	screecher	screecher
.	.	.
Or	or	Or
that	that	that
most	most	most
news	news	news
media	media	medium
outlets	outlet	outlet
are	are	are
owned	own	owned
by	by	by
conservative	conserv	conservative
multinational	multin	multinational
corporations	corpor	corporation
with	with	with
little	littl	little
interest	interest	interest
in	in	in
liberal	liber	liberal
politics	polit	politics
.	.	.
Or	or	Or
that	that	that
one	one	one
of	of	of
those	those	those
corporations	corpor	corporation
,	,	,
NewsCorp	newscorp	NewsCorp
,	,	,
owns	own	owns
literally	liter	literally
hundreds	hundr	hundred
of	of	of
news	news	news
media	media	medium
outlets	outlet	outlet
around	around	around
the	the	the
world	world	world
.	.	.
Even	even	Even
the	the	the
so	so	so
-called	-call	-called
liberal	liber	liberal
cable	cabl	cable
news	news	news
network	network	network
,	,	,
MSNBC	msnbc	MSNBC
,	,	,
is	is	is
anchored	anchor	anchored
by	by	by
a	a	a
four	four	four
-hour	-hour	-hour
morning	morn	morning
show	show	show
,	,	,
hosted	host	hosted
by	by	by
a	a	a
conservative	conserv	conservative
Republican	republican	Republican
former	former	former
congressman	congressman	congressman
.	.	.
The	the	The
GOP	gop	GOP
persecution	persecut	persecution
complex	complex	complex
is	is	is
powerful	power	powerful
as	as	a
powerful	power	powerful
as	as	a
toddlers	toddler	toddler
who	who	who
think	think	think
toe	toe	toe
-monsters	-monster	-monsters
are	are	are
living	live	living
under	under	under
their	their	their
beds	bed	bed
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
grab	grab	grab
.	.	.
