How	how	How
many	mani	many
American	american	American
taxpayer	taxpay	taxpayer
dollars	dollar	dollar
have	have	have
already	alreadi	already
been	been	been
used	use	used
by	by	by
the	the	the
Obama	obama	Obama
regime	regim	regime
to	to	to
spy	spi	spy
on	on	on
,	,	,
discredit	discredit	discredit
and	and	and
dismantle	dismantl	dismantle
conservative	conserv	conservative
groups	group	group
like	like	like
the	the	the
Tea	tea	Tea
Party	parti	Party
?	?	?

Is	is	Is
anyone	anyon	anyone
else	els	else
beginning	begin	beginning
to	to	to
feel	feel	feel
like	like	like
the	the	the
Obama	obama	Obama
regime	regim	regime
is	is	is
one	one	one
big	big	big
union	union	union
who	who	who
forces	forc	force
members	member	member
to	to	to
pay	pay	pay
dues	due	due
that	that	that
are	are	are
used	use	used
to	to	to
fund	fund	fund
,	,	,
and	and	and
ensure	ensur	ensure
the	the	the
success	success	success
of	of	of
the	the	the
Democrat	democrat	Democrat
party	parti	party
?	?	?

The	the	The
Department	depart	Department
of	of	of
Justice	justic	Justice
is	is	is
concentrating	concentr	concentrating
on	on	on
far	far	far
-right	-right	-right
groups	group	group
in	in	in
a	a	a
new	new	new
study	studi	study
of	of	of
social	social	social
media	media	medium
usage	usag	usage
aimed	aim	aimed
at	at	at
combatting	combat	combatting
violent	violent	violent
extremism	extrem	extremism
.	.	.
The	the	The
Justice	justic	Justice
Department	depart	Department
s	s	s
National	nation	National
Institute	institut	Institute
of	of	of
Justice	justic	Justice
NIJ	nij	NIJ
awarded	award	awarded
Michigan	michigan	Michigan
State	state	State
University	univers	University
585	585	585
,	,	,
719	719	719
for	for	for
the	the	the
study	studi	study
,	,	,
which	which	which
was	was	wa
praised	prais	praised
by	by	by
Eric	eric	Eric
Holder	holder	Holder
,	,	,
the	the	the
former	former	former
attorney	attorney	attorney
general	general	general
,	,	,
earlier	earlier	earlier
this	this	this
year	year	year
.	.	.

There	there	There
is	is	is
currently	current	currently
limited	limit	limited
knowledge	knowledg	knowledge
of	of	of
the	the	the
role	role	role
of	of	of
technology	technolog	technology
and	and	and
computer	comput	computer
mediated	mediat	mediated
communications	communic	communication
CMCs	cmcs	CMCs
,	,	,
such	such	such
as	as	a
Facebook	facebook	Facebook
and	and	and
Twitter	twitter	Twitter
,	,	,
in	in	in
the	the	the
dissemination	dissemin	dissemination
of	of	of
messages	messag	message
that	that	that
promote	promot	promote
extremist	extremist	extremist
agendas	agenda	agenda
and	and	and
radicalize	radic	radicalize
individuals	individu	individual
to	to	to
violence	violenc	violence
,	,	,
according	accord	according
to	to	to
the	the	the
NIJ	nij	NIJ
grant	grant	grant
.	.	.

The	the	The
proposed	propos	proposed
study	studi	study
will	will	will
address	address	address
this	this	this
gap	gap	gap
through	through	through
a	a	a
series	seri	series
of	of	of
qualitative	qualit	qualitative
and	and	and
quantitative	quantit	quantitative
analyses	analys	analysis
of	of	of
posts	post	post
from	from	from
various	various	various
forms	form	form
of	of	of
CMC	cmc	CMC
used	use	used
by	by	by
members	member	member
of	of	of
both	both	both
the	the	the
far	far	far
-right	-right	-right
and	and	and
Islamic	islam	Islamic
extremist	extremist	extremist
movements	movement	movement
.	.	.

The	the	The
study	studi	study
draws	draw	draw
more	more	more
upon	upon	upon
right	right	right
-wing	-wing	-wing
forums	forum	forum
than	than	than
upon	upon	upon
the	the	the
corners	corner	corner
of	of	of
the	the	the
web	web	web
inhabited	inhabit	inhabited
by	by	by
Islamist	islamist	Islamist
extremists	extremist	extremist
.	.	.

We	we	We
will	will	will
collect	collect	collect
posts	post	post
made	made	made
in	in	in
four	four	four
active	activ	active
forums	forum	forum
used	use	used
by	by	by
members	member	member
of	of	of
the	the	the
far	far	far
-right	-right	-right
and	and	and
three	three	three
from	from	from
the	the	the
Islamic	islam	Islamic
Extremist	extremist	Extremist
community	communiti	community
,	,	,
as	as	a
well	well	well
as	as	a
posts	post	post
made	made	made
in	in	in
Facebook	facebook	Facebook
,	,	,
LiveJournal	livejourn	LiveJournal
,	,	,
Twitter	twitter	Twitter
,	,	,
YouTube	youtub	YouTube
,	,	,
and	and	and
Pastebin	pastebin	Pastebin
accounts	account	account
used	use	used
by	by	by
members	member	member
of	of	of
each	each	each
movement	movement	movement
,	,	,
the	the	the
grant	grant	grant
said	said	said
.	.	.

The	the	The
findings	find	finding
will	will	will
be	be	be
used	use	used
to	to	to
document	document	document
both	both	both
the	the	the
prevalence	preval	prevalence
and	and	and
variation	variat	variation
in	in	in
the	the	the
ideological	ideolog	ideological
content	content	content
of	of	of
posts	post	post
from	from	from
members	member	member
of	of	of
each	each	each
movement	movement	movement
,	,	,
the	the	the
grant	grant	grant
continued	continu	continued
.	.	.

In	in	In
addition	addit	addition
,	,	,
we	we	we
will	will	will
assess	assess	ass
the	the	the
value	valu	value
of	of	of
these	these	these
messages	messag	message
in	in	in
the	the	the
social	social	social
status	status	status
of	of	of
the	the	the
individual	individu	individual
posting	post	posting
the	the	the
message	messag	message
and	and	and
the	the	the
function	function	function
of	of	of
radical	radic	radical
messages	messag	message
in	in	in
the	the	the
larger	larger	larger
on	on	on
-line	-line	-line
