Reality	realiti	Reality
show	show	show
star	star	star
turned	turn	turned
president	presid	president
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
a	a	a
limited	limit	limited
vocabulary	vocabulari	vocabulary
.	.	.
French	french	French
translators	translat	translator
have	have	have
noticed	notic	noticed
that	that	that
,	,	,
too	too	too
,	,	,
and	and	and
say	say	say
they	they	they
are	are	are
having	have	having
a	a	a
tough	tough	tough
time	time	time
translating	translat	translating
Trump	trump	Trump
s	s	s
speeches	speech	speech
into	into	into
the	the	the
language	languag	language
of	of	of
Moli	moli	Moli
re	re	re
.	.	.
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
great	great	great
orator	orat	orator
,	,	,
which	which	which
is	is	is
something	someth	something
we	we	we
ve	ve	ve
all	all	all
be	be	be
subjected	subject	subjected
to	to	to
.	.	.
Words	word	Words
like	like	like
,	,	,
sad	sad	sad
!	!	!
are	are	are
used	use	used
in	in	in
his	his	his
tweets	tweet	tweet
as	as	a
if	if	if
that	that	that
s	s	s
a	a	a
complete	complet	complete
sentence	sentenc	sentence
.	.	.
Trump	trump	Trump
said	said	said
bigly	big	bigly
when	when	when
he	he	he
really	realli	really
meant	meant	meant
big	big	big
league	leagu	league
.	.	.
Or	or	Or
maybe	mayb	maybe
he	he	he
didn	didn	didn
t	t	t
mean	mean	mean
big	big	big
league	leagu	league
.	.	.
We	we	We
ll	ll	ll
never	never	never
really	realli	really
know	know	know
.	.	.
After	after	After
Trump	trump	Trump
gives	give	give
a	a	a
speech	speech	speech
,	,	,
his	his	his
supporters	support	supporter
inevitably	inevit	inevitably
jump	jump	jump
in	in	in
to	to	to
explain	explain	explain
to	to	to
the	the	the
rest	rest	rest
of	of	of
us	us	u
what	what	what
he	he	he
really	realli	really
meant	meant	meant
.	.	.
Translator	translat	Translator
B	b	B
reng	reng	reng
re	re	re
Viennot	viennot	Viennot
told	told	told
the	the	the
LA	la	LA
Review	review	Review
of	of	of
Books	book	Books
,	,	,
you	you	you
have	have	have
to	to	to
be	be	be
able	abl	able
to	to	to
get	get	get
into	into	into
someone	someon	someone
s	s	s
mind	mind	mind
to	to	to
translate	translat	translate
the	the	the
speaker	speaker	speaker
but	but	but
when	when	when
he	he	he
Trump	trump	Trump
speaks	speak	speaks
he	he	he
seems	seem	seems
not	not	not
to	to	to
know	know	know
quite	quit	quite
where	where	where
he	he	he
s	s	s
going	go	going
.	.	.
He	he	He
seems	seem	seems
to	to	to
hang	hang	hang
onto	onto	onto
a	a	a
word	word	word
in	in	in
the	the	the
question	question	question
,	,	,
or	or	or
to	to	to
a	a	a
word	word	word
that	that	that
pops	pop	pop
into	into	into
his	his	his
mind	mind	mind
,	,	,
repeating	repeat	repeating
it	it	it
over	over	over
and	and	and
over	over	over
again	again	again
,	,	,
said	said	said
Viennot	viennot	Viennot
.	.	.
He	he	He
shapes	shape	shape
his	his	his
thought	thought	thought
around	around	around
it	it	it
and	and	and
,	,	,
sometimes	sometim	sometimes
,	,	,
succeeds	succeed	succeeds
in	in	in
giving	give	giving
part	part	part
of	of	of
an	an	an
answer	answer	answer
often	often	often
the	the	the
same	same	same
answer	answer	answer
namely	name	namely
,	,	,
that	that	that
he	he	he
won	won	won
the	the	the
election	elect	election
.	.	.
Trump	trump	Trump
seems	seem	seems
to	to	to
go	go	go
from	from	from
point	point	point
A	a	A
the	the	the
question	question	question
to	to	to
point	point	point
B	b	B
himself	himself	himself
,	,	,
most	most	most
of	of	of
the	the	the
time	time	time
with	with	with
no	no	no
real	real	real
logic	logic	logic
,	,	,
she	she	she
continued	continu	continued
.	.	.
It	it	It
s	s	s
as	as	a
if	if	if
he	he	he
had	had	had
thematic	themat	thematic
clouds	cloud	cloud
in	in	in
his	his	his
head	head	head
that	that	that
he	he	he
would	would	would
pick	pick	pick
from	from	from
with	with	with
no	no	no
need	need	need
of	of	of
a	a	a
logical	logic	logical
thread	thread	thread
to	to	to
link	link	link
them	them	them
.	.	.
Trump	trump	Trump
s	s	s
vocabulary	vocabulari	vocabulary
is	is	is
limited	limit	limited
,	,	,
his	his	his
syntax	syntax	syntax
is	is	is
broken	broken	broken
;	;	;
he	he	he
repeats	repeat	repeat
the	the	the
same	same	same
phrases	phrase	phrase
over	over	over
and	and	and
over	over	over
,	,	,
forcing	forc	forcing
the	the	the
translator	translat	translator
to	to	to
follow	follow	follow
suit	suit	suit
,	,	,
she	she	she
said	said	said
.	.	.
She	she	She
continued	continu	continued
to	to	to
say	say	say
that	that	that
reading	read	reading
Trump	trump	Trump
in	in	in
French	french	French
,	,	,
which	which	which
is	is	is
a	a	a
very	veri	very
structured	structur	structured
and	and	and
logical	logic	logical
language	languag	language
,	,	,
reveals	reveal	reveals
the	the	the
poor	poor	poor
quality	qualiti	quality
of	of	of
his	his	his
language	languag	language
and	and	and
,	,	,
consequently	consequ	consequently
,	,	,
of	of	of
his	his	his
thought	thought	thought
.	.	.
As	as	As
the	the	the
Independent	independ	Independent
notes	note	note
,	,	,
Trump	trump	Trump
once	onc	once
referred	refer	referred
to	to	to
swatches	swatch	swatch
of	of	of
land	land	land
,	,	,
when	when	when
he	he	he
really	realli	really
he	he	he
meant	meant	meant
swathes	swath	swathe
of	of	of
land	land	land
.	.	.
Bigly	big	Bigly
swatches	swatch	swatch
of	of	of
land	land	land
.	.	.
Photo	photo	Photo
by	by	by
Scott	scott	Scott
Olson	olson	Olson
Getty	getti	Getty
Images	imag	Images
.	.	.
