Tell	tell	Tell
us	us	u
again	again	again
Barack	barack	Barack
,	,	,
about	about	about
the	the	the
poor	poor	poor
widows	widow	widow
and	and	and
orphans	orphan	orphan
who	who	who
are	are	are
being	be	being
strategically	strateg	strategically
placed	place	placed
in	in	in
our	our	our
small	small	small
towns	town	town
and	and	and
communities	communiti	community
across	across	across
America	america	America
.	.	.
With	with	With
all	all	all
the	the	the
rape	rape	rape
and	and	and
violence	violenc	violence
being	be	being
committed	commit	committed
by	by	by
these	these	these
refugees	refuge	refugee
,	,	,
why	whi	why
in	in	in
the	the	the
world	world	world
would	would	would
we	we	we
welcome	welcom	welcome
these	these	these
savage	savag	savage
animals	anim	animal
into	into	into
our	our	our
country	countri	country
?	?	?
Oh	oh	Oh
that	that	that
s	s	s
right	right	right
to	to	to
vote	vote	vote
for	for	for
Democrats	democrat	Democrats
A	a	A
Muslim	muslim	Muslim
councilor	councilor	councilor
has	has	ha
admitted	admit	admitted
that	that	that
some	some	some
feel	feel	feel
as	as	a
though	though	though
it	it	it
takes	take	take
two	two	two
to	to	to
tango	tango	tango
as	as	a
12	12	12
men	men	men
were	were	were
jailed	jail	jailed
for	for	for
gang	gang	gang
-raping	-rape	-raping
a	a	a
13	13	13
-year-old	-year-old	-year-old
white	white	white
girl	girl	girl
in	in	in
West	west	West
Yorkshire	yorkshir	Yorkshire
.	.	.
The	the	The
gang	gang	gang
of	of	of
men	men	men
from	from	from
Pakistani	pakistani	Pakistani
origin	origin	origin
were	were	were
jailed	jail	jailed
for	for	for
a	a	a
total	total	total
of	of	of
143	143	143
years	year	year
at	at	at
Bradford	bradford	Bradford
Crown	crown	Crown
Court	court	Court
today	today	today
,	,	,
for	for	for
13	13	13
months	month	month
of	of	of
horrendous	horrend	horrendous
abuse	abus	abuse
of	of	of
the	the	the
British	british	British
white	white	white
girl	girl	girl
in	in	in
2011	2011	2011
and	and	and
2012	2012	2012
.	.	.
However	howev	However
,	,	,
the	the	the
Councillor	councillor	Councillor
for	for	for
Keighley	keighley	Keighley
Central	central	Central
,	,	,
where	where	where
the	the	the
abuse	abus	abuse
took	took	took
place	place	place
,	,	,
has	has	ha
admitted	admit	admitted
that	that	that
some	some	some
members	member	member
of	of	of
the	the	the
community	communiti	community
felt	felt	felt
it	it	it
takes	take	take
two	two	two
to	to	to
tango	tango	tango
and	and	and
that	that	that
the	the	the
girl	girl	girl
may	may	may
have	have	have
played	play	played
her	her	her
part	part	part
.	.	.
Zafar	zafar	Zafar
Ali	ali	Ali
,	,	,
who	who	who
has	has	ha
been	been	been
a	a	a
member	member	member
of	of	of
the	the	the
Keighley	keighley	Keighley
Mosque	mosqu	Mosque
for	for	for
decades	decad	decade
believes	believ	belief
that	that	that
some	some	some
of	of	of
the	the	the
men	men	men
may	may	may
have	have	have
attended	attend	attended
in	in	in
the	the	the
past	past	past
,	,	,
but	but	but
said	said	said
the	the	the
Muslim	muslim	Muslim
community	communiti	community
totally	total	totally
condemn	condemn	condemn
their	their	their
actions	action	action
.	.	.
He	he	He
told	told	told
MailOnline	mailonlin	MailOnline
Everyone	everyon	Everyone
now	now	now
believes	believ	belief
that	that	that
justice	justic	justice
has	has	ha
been	been	been
done	done	done
,	,	,
we	we	we
need	need	need
to	to	to
move	move	move
forward	forward	forward
and	and	and
it	it	it
is	is	is
a	a	a
lesson	lesson	lesson
for	for	for
the	the	the
whole	whole	whole
Muslim	muslim	Muslim
community	communiti	community
.	.	.
There	there	There
are	are	are
a	a	a
few	few	few
bad	bad	bad
apples	appl	apple
but	but	but
this	this	this
does	doe	doe
not	not	not
represent	repres	represent
the	the	the
Muslim	muslim	Muslim
community	communiti	community
as	as	a
a	a	a
whole	whole	whole
and	and	and
any	ani	any
sensible	sensibl	sensible
Muslim	muslim	Muslim
totally	total	totally
condemns	condemn	condemns
these	these	these
actions	action	action
.	.	.
Eleven	eleven	Eleven
of	of	of
the	the	the
men	men	men
were	were	were
today	today	today
jailed	jail	jailed
for	for	for
rape	rape	rape
and	and	and
a	a	a
twelfth	twelfth	twelfth
man	man	man
was	was	wa
jailed	jail	jailed
for	for	for
sexual	sexual	sexual
activity	activ	activity
with	with	with
a	a	a
child	child	child
under	under	under
16	16	16
today	today	today
at	at	at
Bradford	bradford	Bradford
Crown	crown	Crown
Court	court	Court
,	,	,
but	but	but
the	the	the
ringleader	ringlead	ringleader
has	has	ha
fled	fled	fled
to	to	to
Bangladesh	bangladesh	Bangladesh
.	.	.
West	west	West
Yorkshire	yorkshir	Yorkshire
Police	polic	Police
confirmed	confirm	confirmed
that	that	that
the	the	the
men	men	men
jailed	jail	jailed
were	were	were
of	of	of
Pakistani	pakistani	Pakistani
origin	origin	origin
.	.	.
The	the	The
sentences	sentenc	sentence
come	come	come
as	as	a
it	it	it
emerged	emerg	emerged
that	that	that
Ringleader	ringlead	Ringleader
Ahmed	ahm	Ahmed
Al	al	Al
-Choudhury	-choudhuri	-Choudhury
who	who	who
