Donald	donald	Donald
Trump	trump	Trump
is	is	is
someone	someon	someone
who	who	who
abuses	abus	abuse
the	the	the
judicial	judici	judicial
system	system	system
to	to	to
help	help	help
enrich	enrich	enrich
himself	himself	himself
.	.	.

In	in	In
fact	fact	fact
,	,	,
USA	usa	USA
Today	today	Today
has	has	ha
uncovered	uncov	uncovered
that	that	that
Trump	trump	Trump
is	is	is
or	or	or
has	has	ha
been	been	been
involved	involv	involved
in	in	in
an	an	an
eye	eye	eye
-popping	-pop	-popping
4	4	4
,	,	,
000	000	000
lawsuits	lawsuit	lawsuit
.	.	.
USA	usa	USA
Today	today	Today
has	has	ha
been	been	been
covering	cover	covering
this	this	this
for	for	for
a	a	a
while	while	while
.	.	.

As	as	As
of	of	of
May	may	May
,	,	,
they	they	they
had	had	had
uncovered	uncov	uncovered
over	over	over
100	100	100
lawsuits	lawsuit	lawsuit
.	.	.

In	in	In
June	june	June
,	,	,
that	that	that
number	number	number
went	went	went
up	up	up
to	to	to
over	over	over
3	3	3
,	,	,
500	500	500
.	.	.

Now	now	Now
,	,	,
he	he	he
s	s	s
up	up	up
to	to	to
more	more	more
than	than	than
4	4	4
,	,	,
000	000	000
and	and	and
many	mani	many
are	are	are
as	as	a
frivolous	frivol	frivolous
as	as	a
you	you	you
might	might	might
imagine	imagin	imagine
.	.	.
Trump	trump	Trump
is	is	is
an	an	an
argument	argument	argument
for	for	for
why	whi	why
rich	rich	rich
people	peopl	people
should	should	should
pay	pay	pay
more	more	more
in	in	in
taxes	tax	tax
.	.	.

Every	everi	Every
single	singl	single
lawsuit	lawsuit	lawsuit
that	that	that
Trump	trump	Trump
engages	engag	engages
in	in	in
to	to	to
protect	protect	protect
his	his	his
business	busi	business
costs	cost	cost
taxpayers	taxpay	taxpayer
money	money	money
and	and	and
he	he	he
spends	spend	spends
a	a	a
hell	hell	hell
of	of	of
a	a	a
lot	lot	lot
of	of	of
taxpayer	taxpay	taxpayer
money	money	money
in	in	in
the	the	the
courts	court	court
.	.	.

He	he	He
uses	use	us
them	them	them
to	to	to
renegotiate	renegoti	renegotiate
his	his	his
bills	bill	bill
,	,	,
to	to	to
defend	defend	defend
his	his	his
refusal	refus	refusal
to	to	to
pay	pay	pay
taxes	tax	tax
,	,	,
to	to	to
iron	iron	iron
out	out	out
personal	person	personal
beefs	beef	beef
and	and	and
we	we	we
all	all	all
know	know	know
how	how	how
he	he	he
racks	rack	rack
those	those	those
up	up	up
and	and	and
whatever	whatev	whatever
floats	float	float
his	his	his
litigious	litigi	litigious
boat	boat	boat
on	on	on
any	ani	any
given	given	given
day	day	day
.	.	.
Here	here	Here
s	s	s
a	a	a
breakdown	breakdown	breakdown
The	the	The
bulk	bulk	bulk
of	of	of
the	the	the
cases	case	case
involve	involv	involve
his	his	his
casinos	casino	casino
.	.	.

There	there	There
are	are	are
1	1	1
,	,	,
863	863	863
casino	casino	casino
cases	case	case
and	and	and
overwhelmingly	overwhelm	overwhelmingly
,	,	,
Trump	trump	Trump
is	is	is
the	the	the
one	one	one
suing	su	suing
.	.	.
There	there	There
are	are	are
79	79	79
cases	case	case
involving	involv	involving
branding	brand	branding
or	or	or
trademark	trademark	trademark
disputes	disput	dispute
.	.	.
There	there	There
are	are	are
206	206	206
contract	contract	contract
dispute	disput	dispute
cases	case	case
and	and	and
in	in	in
more	more	more
than	than	than
2	2	2
3	3	3
of	of	of
them	them	them
,	,	,
Trump	trump	Trump
is	is	is
being	be	being
sued	su	sued
