During	dure	During
a	a	a
discussion	discuss	discussion
about	about	about
sexual	sexual	sexual
harassment	harass	harassment
charges	charg	charge
against	against	against
FOX	fox	FOX
News	news	News
host	host	host
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
,	,	,
blogger	blogger	blogger
Debbie	debbi	Debbie
Schlussel	schlussel	Schlussel
was	was	wa
asked	ask	asked
by	by	by
radio	radio	radio
host	host	host
Pat	pat	Pat
Cambell	cambel	Cambell
of	of	of
1170	1170	1170
Talk	talk	Talk
Radio	radio	Radio
if	if	if
anyone	anyon	anyone
at	at	at
FOX	fox	FOX
News	news	News
made	made	made
her	her	her
feel	feel	feel
uncomfortable	uncomfort	uncomfortable
?	?	?

or	or	or
if	if	if
sexual	sexual	sexual
advances	advanc	advance
were	were	were
made	made	made
on	on	on
her	her	her
?	?	?

Campbell	campbel	Campbell
asked	ask	asked
What	what	What
do	do	do
you	you	you
make	make	make
of	of	of
this	this	this
whole	whole	whole
thing	thing	thing
?	?	?

Schlussel	schlussel	Schlussel
responded	respond	responded
,	,	,
Well	well	Well
,	,	,
only	onli	only
by	by	by
Sean	sean	Sean
Hannity	hanniti	Hannity
,	,	,
not	not	not
by	by	by
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
.	.	.

Campbell	campbel	Campbell
stopped	stop	stopped
her	her	her
Whoa	whoa	Whoa
Wait	wait	Wait
,	,	,
wait	wait	wait
,	,	,
wait	wait	wait
!	!	!

Say	say	Say
that	that	that
again	again	again
.	.	.

Schussed	schuss	Schussed
responded	respond	responded
Only	onli	Only
by	by	by
Sean	sean	Sean
Hannity	hanniti	Hannity
,	,	,
not	not	not
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
.	.	.

Although	although	Although
listeners	listen	listener
get	get	get
the	the	the
sense	sens	sense
the	the	the
whole	whole	whole
interview	interview	interview
was	was	wa
a	a	a
set	set	set
-up	-up	-up
,	,	,
Campbell	campbel	Campbell
appears	appear	appears
shocked	shock	shocked
by	by	by
this	this	this
new	new	new
sexual	sexual	sexual
harassment	harass	harassment
allegation	alleg	allegation
being	be	being
made	made	made
against	against	against
Sean	sean	Sean
Hannity	hanniti	Hannity
and	and	and
asks	ask	asks
again	again	again
,	,	,
Sean	sean	Sean
Hannity	hanniti	Hannity
what	what	what
?	?	?

He	he	He
hit	hit	hit
on	on	on
you	you	you
,	,	,
or	or	or
he	he	he
made	made	made
you	you	you
feel	feel	feel
uncomfortable	uncomfort	uncomfortable
?	?	?

to	to	to
which	which	which
Schlussel	schlussel	Schlussel
responded	respond	responded
,	,	,
Yeah	yeah	Yeah
.	.	.

She	she	She
then	then	then
went	went	went
on	on	on
to	to	to
explain	explain	explain
her	her	her
so	so	so
-called	-call	-called
experience	experi	experience
with	with	with
Hannity	hanniti	Hannity
.	.	.
After	after	After
she	she	she
finished	finish	finished
her	her	her
story	stori	story
where	where	where
she	she	she
claims	claim	claim
Hannity	hanniti	Hannity
asked	ask	asked
her	her	her
to	to	to
come	come	come
back	back	back
to	to	to
his	his	his
hotel	hotel	hotel
,	,	,
and	and	and
that	that	that
she	she	she
received	receiv	received
horrible	horribl	horrible
treatment	treatment	treatment
from	from	from
him	him	him
and	and	and
his	his	his
executive	execut	executive
producer	produc	producer
after	after	after
she	she	she
declined	declin	declined
his	his	his
offer	offer	offer
,	,	,
She	she	She
went	went	went
on	on	on
to	to	to
claim	claim	claim
that	that	that
he	he	he
never	never	never
booked	book	booked
her	her	her
on	on	on
his	his	his
show	show	show
again	again	again
and	and	and
that	that	that
she	she	she
got	got	got
a	a	a
very	veri	very
weird	weird	weird
feeling	feel	feeling
about	about	about
it	it	it
.	.	.

This	this	This
kind	kind	kind
of	of	of
stuff	stuff	stuff
very	veri	very
uh	uh	uh
all	all	all
over	over	over
the	the	the
place	place	place
at	at	at
Fox	fox	Fox
News	news	News
and	and	and
with	with	with
anything	anyth	anything
that	that	that
has	has	ha
to	to	to
do	do	do
with	with	with
Sean	sean	Sean
Hannity	hanniti	Hannity
.	.	.

She	she	She
then	then	then
went	went	went
on	on	on
to	to	to
make	make	make
an	an	an
infer	infer	infer
that	that	that
Hannity	hanniti	Hannity
s	s	s
executive	execut	executive
producer	produc	producer
Jill	jill	Jill
Vitale	vital	Vitale
quit	quit	quit
the	the	the
show	show	show
because	becaus	because
Sean	sean	Sean
Hannity	hanniti	Hannity
wanted	want	wanted
something	someth	something
from	from	from
her	her	her
and	and	and
she	she	she
wouldn	wouldn	wouldn
t	t	t
give	give	give
it	it	it
.	.	.

Schlussel	schlussel	Schlussel
claimed	claim	claimed
that	that	that
everyone	everyon	everyone
should	should	should
start	start	start
looking	look	looking
into	into	into
it	it	it
because	becaus	because
,	,	,
it	it	it
s	s	s
not	not	not
an	an	an
above	abov	above
-board	-board	-board
story	stori	story
.	.	.

Here	here	Here
is	is	is
Jill	jill	Jill
Vitale	vital	Vitale
s	s	s
response	respons	response
to	to	to
the	the	the
LIE	lie	LIE
Schlussel	schlussel	Schlussel
told	told	told
radio	radio	radio
host	host	host
Pat	pat	Pat
Campbell	campbel	Campbell
,	,	,
when	when	when
she	she	she
inferred	infer	inferred
the	the	the
reason	reason	reason
Vitale	vital	Vitale
left	left	left
Hannity	hanniti	Hannity
s	s	s
radio	radio	radio
show	show	show
had	had	had
to	to	to
do	do	do
with	with	with
Hannity	hanniti	Hannity
s	s	s
inappropriate	inappropri	inappropriate
sexual	sexual	sexual
behavior	behavior	behavior
I	i	I
left	left	left
because	becaus	because
I	i	I
had	had	had
kids	kid	kid
!	!	!

https://t.co/Ek81EVGkrH	https://t.co/ek81evgkrh	https://t.co/Ek81EVGkrH
Jill	jill	Jill
Vitale	vital	Vitale
@Flirtyflipper	@flirtyflipp	@Flirtyflipper
April	april	April
23	23	23
,	,	,
2017Sean	2017sean	2017Sean
