After	after	After
Roy	roy	Roy
Moore	moor	Moore
s	s	s
ugly	ugli	ugly
loss	loss	loss
in	in	in
the	the	the
Alabama	alabama	Alabama
Senate	senat	Senate
race	race	race
last	last	last
night	night	night
,	,	,
President	presid	President
Trump	trump	Trump
took	took	took
the	the	the
high	high	high
road	road	road
and	and	and
congratulated	congratul	congratulated
Democrat	democrat	Democrat
candidate	candid	candidate
Doug	doug	Doug
Jones	jone	Jones
who	who	who
won	won	won
by	by	by
less	less	le
than	than	than
1	1	1
of	of	of
the	the	the
vote	vote	vote
.	.	.

President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
Congratulations	congratul	Congratulations
to	to	to
Doug	doug	Doug
Jones	jone	Jones
on	on	on
a	a	a
hard	hard	hard
fought	fought	fought
victory	victori	victory
.	.	.

The	the	The
write	write	write
-in	-in	-in
votes	vote	vote
played	play	played
a	a	a
very	veri	very
big	big	big
factor	factor	factor
,	,	,
but	but	but
a	a	a
win	win	win
is	is	is
a	a	a
win	win	win
.	.	.

The	the	The
people	peopl	people
of	of	of
Alabama	alabama	Alabama
are	are	are
great	great	great
,	,	,
and	and	and
the	the	the
Republicans	republican	Republicans
will	will	will
have	have	have
another	anoth	another
shot	shot	shot
at	at	at
this	this	this
seat	seat	seat
in	in	in
a	a	a
very	veri	very
short	short	short
period	period	period
of	of	of
time	time	time
.	.	.

It	it	It
never	never	never
ends	end	end
!	!	!

Congratulations	congratul	Congratulations
to	to	to
Doug	doug	Doug
Jones	jone	Jones
on	on	on
a	a	a
hard	hard	hard
fought	fought	fought
victory	victori	victory
.	.	.

The	the	The
write	write	write
-in	-in	-in
votes	vote	vote
played	play	played
a	a	a
very	veri	very
big	big	big
factor	factor	factor
,	,	,
but	but	but
a	a	a
win	win	win
is	is	is
a	a	a
win	win	win
.	.	.

The	the	The
people	peopl	people
of	of	of
Alabama	alabama	Alabama
are	are	are
great	great	great
,	,	,
and	and	and
the	the	the
Republicans	republican	Republicans
will	will	will
have	have	have
another	anoth	another
shot	shot	shot
at	at	at
this	this	this
seat	seat	seat
in	in	in
a	a	a
very	veri	very
short	short	short
period	period	period
of	of	of
time	time	time
.	.	.

It	it	It
never	never	never
ends	end	end
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
13	13	13
,	,	,
2017Trump	2017trump	2017Trump
then	then	then
tweeted	tweet	tweeted
an	an	an
explanation	explan	explanation
as	as	a
to	to	to
why	whi	why
he	he	he
didn	didn	didn
t	t	t
get	get	get
behind	behind	behind
Roy	roy	Roy
Moore	moor	Moore
in	in	in
the	the	the
primary	primari	primary
,	,	,
and	and	and
chose	chose	chose
instead	instead	instead
,	,	,
to	to	to
support	support	support
his	his	his
Republican	republican	Republican
opponent	oppon	opponent
Luther	luther	Luther
Strange	strang	Strange
.	.	.
President	presid	President
Trump	trump	Trump
